method	trait	trait_arm	score	disorder	threshold	phenotype	stratum	n	n_families	n_multi_families	n_pairs	beta_within	se_within	p_within	beta_between	se_between	p_between	beta_diff	se_diff	z_diff	p_diff
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p001	baseline_thickness	EUR	4308	3601	691	726	0.0165032702793125	0.0394726995921631	0.675998471614166	-0.0163100768045789	0.0167259527595411	0.329558438214781	-0.0328133470838914	0.0428638596245213	-0.765524788745803	0.4439591112738
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p01	baseline_thickness	EUR	4308	3601	691	726	-0.00833649205088305	0.0405322956762303	0.837100361095797	-0.0175590371662258	0.0167028851483935	0.293210376190122	-0.00922254511534271	0.0438415563028536	-0.21036080589006	0.833386080573433
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p05	baseline_thickness	EUR	4308	3601	691	726	0.0397405915578185	0.0400901585943969	0.321868705876554	-0.0107939130271751	0.0168156607283504	0.520981169048098	-0.0505345045849936	0.0434817244151247	-1.16220102272245	0.245153819343413
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p1	baseline_thickness	EUR	4308	3601	691	726	0.0429627885496453	0.0414748405586693	0.300593857321738	-0.0105034834809409	0.0168617192317817	0.533377156009448	-0.0534662720305861	0.0447788849329976	-1.19400632933552	0.232475492207328
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p5	baseline_thickness	EUR	4308	3601	691	726	0.0346814701901696	0.0419335215706926	0.408467466945249	0.00670115844377285	0.0169741337485327	0.693023829224716	-0.0279803117463967	0.0452641653085011	-0.61815591993567	0.536472563721592
CT	SCZ	SCZ_pooled	raw	SCZpooled	1	baseline_thickness	EUR	4308	3601	691	726	0.0399270289355621	0.042370355329018	0.346325548469999	0.00786793460684127	0.0169782872378648	0.643097348359039	-0.0320590943287208	0.045671437847365	-0.701950624717861	0.482709956032654
CT	SCZ	SCZ_pooled	raw	SCZpooled	1e-5	baseline_thickness	EUR	4308	3601	691	726	0.0153610912592035	0.0384168957259103	0.689378915513498	-0.0144561475486305	0.0167215290177721	0.387358110259221	-0.0298172388078341	0.0418761781530598	-0.712033431008208	0.476444074470564
CT	SCZ	SCZ_pooled	raw	SCZpooled	5e-8	baseline_thickness	EUR	4308	3601	691	726	0.0112398734871496	0.037901686272056	0.766889463012947	-0.01868684162439	0.0167810117346513	0.265537649227019	-0.0299267151115396	0.0414200078662639	-0.722518334814574	0.469975856977072
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p001	baseline_thickness	full	8596	7198	1350	1449	-0.0140696894904478	0.0285174165739453	0.621823233839646	-0.00314248065776748	0.0118811888549889	0.79140837108527	0.0109272088326803	0.0308805934665757	0.353853589132204	0.723448610008457
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p01	baseline_thickness	full	8596	7198	1350	1449	-0.0187721244055239	0.0327511267798062	0.56661347268537	-0.00100080653118711	0.0132928864280795	0.939986952018643	0.0177713178743368	0.035297610115772	0.503470853013814	0.614633267759323
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p05	baseline_thickness	full	8596	7198	1350	1449	0.00630852781065671	0.0347992726672774	0.856170038804575	0.00690200072153602	0.0142572799051275	0.628326959825473	0.000593472910879309	0.0374739903450496	0.0158369286380976	0.98736448733326
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p1	baseline_thickness	full	8596	7198	1350	1449	0.0120723069721131	0.0368331157828757	0.74314190025237	0.00750007453084637	0.0146653831321473	0.609077099434017	-0.0045722324412667	0.0394973493309536	-0.115760488202774	0.90784236577257
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p5	baseline_thickness	full	8596	7198	1350	1449	0.00373925088958562	0.0390831106287346	0.923792179759861	0.0168669982372291	0.0154871318499682	0.276146941155045	0.0131277473476434	0.0418208165512092	0.313904615697033	0.753593484634224
