method	trait	trait_arm	discovery_ancestry	target_stratum	matched	score	discovery_gwas	phenotype	threshold	n	n_families	n_snps	beta	se	p	p_adj
CT	SCZ	SCZ_pooled	multi	full	yes	raw	PGC3 primary (EUR+EAS+AFR+LAT)	global_slope	0p05	8596	7198	74127	-0.039511204794316	0.0127514101031345	0.00195117267096925	0.015609381367754
CT	SCZ	SCZ_pooled	multi	full	yes	zanc	PGC3 primary (EUR+EAS+AFR+LAT)	global_slope	0p05	8596	7198	74127	-0.0336942143386709	0.0103671824042967	0.00115841233572754	0.00926729868582032
PRSCS	SCZ	SCZ_pooled	multi	full	yes	raw	PGC3 primary (EUR+EAS+AFR+LAT)	global_slope	prscs	8596	7198	1088729	-0.0383254542422584	0.0165963550077131	0.0209535882317124	0.0209535882317124
PRSCS	SCZ	SCZ_pooled	multi	full	yes	zanc	PGC3 primary (EUR+EAS+AFR+LAT)	global_slope	prscs	8596	7198	1088729	-0.0241731607310204	0.0104097615949384	0.0202488465324638	0.0202488465324638
SBayesR	SCZ	SCZ_pooled	multi	full	yes	raw	PGC3 primary (EUR+EAS+AFR+LAT)	global_slope	sbr	8596	7198	1075055	-0.0691343424112728	0.0223548251153694	0.00199082344694089	0.00199082344694089
SBayesR	SCZ	SCZ_pooled	multi	full	yes	zanc	PGC3 primary (EUR+EAS+AFR+LAT)	global_slope	sbr	8596	7198	1075055	-0.0302618602724526	0.0104719979875671	0.00386519252623134	0.00386519252623134
SBayesRC	SCZ	SCZ_pooled	multi	full	yes	raw	PGC3 primary (EUR+EAS+AFR+LAT)	global_slope	sbrc	8596	7198	1154522	-0.0459833647425076	0.016342222022976	0.00490800415469819	0.00490800415469819
SBayesRC	SCZ	SCZ_pooled	multi	full	yes	zanc	PGC3 primary (EUR+EAS+AFR+LAT)	global_slope	sbrc	8596	7198	1154522	-0.0289279012570905	0.0103880952382203	0.00536980157971751	0.00536980157971751
CT	SCZ	SCZ_pooled	multi	EUR	no	raw	PGC3 primary (EUR+EAS+AFR+LAT)	global_slope	0p5	4308	3601	294886	-0.0424810169848953	0.0147222110396993	0.00392880515385356	0.0314304412308284
PRSCS	SCZ	SCZ_pooled	multi	EUR	no	raw	PGC3 primary (EUR+EAS+AFR+LAT)	global_slope	prscs	4308	3601	1088729	-0.0257025791604652	0.0145095615031014	0.0765656513103824	0.0765656513103824
SBayesR	SCZ	SCZ_pooled	multi	EUR	no	raw	PGC3 primary (EUR+EAS+AFR+LAT)	global_slope	sbr	4308	3601	1075055	-0.0241071737078258	0.0145149628088862	0.0968204989313219	0.0968204989313219
SBayesRC	SCZ	SCZ_pooled	multi	EUR	no	raw	PGC3 primary (EUR+EAS+AFR+LAT)	global_slope	sbrc	4308	3601	1154522	-0.0298409549228766	0.0144578529897222	0.0390812367612069	0.0390812367612069
CT	SCZ	SCZ_eur	EUR	EUR	yes	raw	PGC3 european	global_slope	1	4308	3601	396598	-0.0382449750732833	0.0146532917937058	0.00908828567674921	0.0727062854139937
PRSCS	SCZ	SCZ_eur	EUR	EUR	yes	raw	PGC3 european	global_slope	prscs	4308	3601	1088629	-0.0261229693689971	0.0146283582416503	0.0742111975283298	0.0742111975283298
SBayesR	SCZ	SCZ_eur	EUR	EUR	yes	raw	PGC3 european	global_slope	sbr	4308	3601	1082571	-0.0265702418902617	0.0146950237517761	0.0706634232424904	0.0706634232424904
SBayesRC	SCZ	SCZ_eur	EUR	EUR	yes	raw	PGC3 european	global_slope	sbrc	4308	3601	1154522	-0.0269757028288829	0.0145943769861633	0.0646228142270162	0.0646228142270162
CT	SCZ	SCZ_eur	EUR	full	no	raw	PGC3 european	global_slope	1	8596	7198	396598	-0.0679127630859138	0.0226363703207004	0.00270657374136496	0.0216525899309197
CT	SCZ	SCZ_eur	EUR	full	no	zanc	PGC3 european	global_slope	0p05	8596	7198		-0.0306423134825234	0.0103827727607098	0.00317379053758226	0.0253903243006581
PRSCS	SCZ	SCZ_eur	EUR	full	no	raw	PGC3 european	global_slope	prscs	8596	7198	1088629	-0.0564965858474253	0.0248995828204842	0.0232958831986219	0.0232958831986219
PRSCS	SCZ	SCZ_eur	EUR	full	no	zanc	PGC3 european	global_slope	prscs	8596	7198	1088629	-0.0209134188191668	0.0105516869491186	0.047513698431358	0.047513698431358
SBayesR	SCZ	SCZ_eur	EUR	full	no	raw	PGC3 european	global_slope	sbr	8596	7198	1082571	-0.100524204777305	0.0320534083931678	0.00171792879461027	0.00171792879461027
SBayesR	SCZ	SCZ_eur	EUR	full	no	zanc	PGC3 european	global_slope	sbr	8596	7198	1082571	-0.0258392722158254	0.010647739808667	0.0152572858005987	0.0152572858005987
SBayesRC	SCZ	SCZ_eur	EUR	full	no	raw	PGC3 european	global_slope	sbrc	8596	7198	1154522	-0.0705566585405539	0.0243785361668669	0.00381120300223791	0.00381120300223791
SBayesRC	SCZ	SCZ_eur	EUR	full	no	zanc	PGC3 european	global_slope	sbrc	8596	7198	1154522	-0.0262695769317858	0.0105311660588206	0.0126348010821554	0.0126348010821554
CT	MDD	MDD_pooled	multi	full	yes	raw	PGC MDD2025 div (trans-ancestry)	global_slope	0p1	8596	7198	85220	-0.0441536312015478	0.0203220273166537	0.0298316309879321	0.238653047903457
CT	MDD	MDD_pooled	multi	full	yes	zanc	PGC MDD2025 div (trans-ancestry)	global_slope	0p1	8596	7198	85220	-0.0215835978327403	0.0104563178872937	0.0390335549605716	0.312268439684573
PRSCS	MDD	MDD_pooled	multi	full	yes	raw	PGC MDD2025 div (trans-ancestry)	global_slope	prscs	8596	7198	972307	-0.039460351139612	0.0188362463754507	0.0362091866158834	0.0362091866158834
PRSCS	MDD	MDD_pooled	multi	full	yes	zanc	PGC MDD2025 div (trans-ancestry)	global_slope	prscs	8596	7198	972307	-0.0206400809013562	0.0104380211873585	0.0480309849705774	0.0480309849705774
