method	trait	trait_arm	discovery_ancestry	target_stratum	matched	score	discovery_gwas	phenotype	threshold	n	n_families	n_snps	beta	se	p	p_adj
CT	SCZ	SCZ_pooled	multi	full	yes	raw	PGC3 primary (EUR+EAS+AFR+LAT)	baseline_thickness	1	8596	7198	396516	0.0165208979858337	0.0145346573508372	0.255714365053869	1
CT	SCZ	SCZ_pooled	multi	full	yes	raw	PGC3 primary (EUR+EAS+AFR+LAT)	global_slope	0p05	8596	7198	74127	-0.039511204794316	0.0127514101031345	0.00195117267096925	0.015609381367754
CT	SCZ	SCZ_pooled	multi	full	yes	raw	PGC3 primary (EUR+EAS+AFR+LAT)	slope_PC1	0p05	8596	7198	74127	0.0374677181163993	0.0131955861525315	0.00453102536337897	0.0362482029070318
CT	SCZ	SCZ_pooled	multi	full	yes	raw	PGC3 primary (EUR+EAS+AFR+LAT)	slope_PC2	0p5	8596	7198	294886	0.0248348401602936	0.0147657880017095	0.0926235349947989	0.740988279958391
CT	SCZ	SCZ_pooled	multi	full	yes	raw	PGC3 primary (EUR+EAS+AFR+LAT)	slope_PC3	1	8596	7198	396516	-0.0296270699315309	0.0146809954044016	0.0436188067752159	0.348950454201727
CT	SCZ	SCZ_pooled	multi	EUR	no	raw	PGC3 primary (EUR+EAS+AFR+LAT)	baseline_thickness	0p01	4308	3601	28912	-0.0162206309180976	0.0154405489528376	0.293537622863032	1
CT	SCZ	SCZ_pooled	multi	EUR	no	raw	PGC3 primary (EUR+EAS+AFR+LAT)	global_slope	0p5	4308	3601	294886	-0.0424810169848953	0.0147222110396993	0.00392880515385356	0.0314304412308284
CT	SCZ	SCZ_pooled	multi	EUR	no	raw	PGC3 primary (EUR+EAS+AFR+LAT)	slope_PC1	1	4308	3601	396516	0.0352240893754291	0.0153513502158775	0.0218132041008363	0.17450563280669
CT	SCZ	SCZ_pooled	multi	EUR	no	raw	PGC3 primary (EUR+EAS+AFR+LAT)	slope_PC2	1	4308	3601	396516	0.0195648568716898	0.0158291660428958	0.216531091635429	1
CT	SCZ	SCZ_pooled	multi	EUR	no	raw	PGC3 primary (EUR+EAS+AFR+LAT)	slope_PC3	1	4308	3601	396516	-0.0285038894655132	0.0157586385092025	0.0705608672702773	0.564486938162219
CT	SCZ	SCZ_pooled	multi	full	yes	zanc	PGC3 primary (EUR+EAS+AFR+LAT)	baseline_thickness	1	8596	7198	396516	0.0149693629046116	0.0109398713265015	0.171244885998836	1
CT	SCZ	SCZ_pooled	multi	full	yes	zanc	PGC3 primary (EUR+EAS+AFR+LAT)	global_slope	0p05	8596	7198	74127	-0.0336942143386709	0.0103671824042967	0.00115841233572754	0.00926729868582032
CT	SCZ	SCZ_pooled	multi	full	yes	zanc	PGC3 primary (EUR+EAS+AFR+LAT)	slope_PC1	0p5	8596	7198		0.0363026953774516	0.0108462667734572	0.000820657837604213	0.0065652627008337
CT	SCZ	SCZ_pooled	multi	full	yes	zanc	PGC3 primary (EUR+EAS+AFR+LAT)	slope_PC2	0p5	8596	7198	294886	0.0213918697810208	0.0111293991635502	0.0546279751203556	0.437023800962845
CT	SCZ	SCZ_pooled	multi	full	yes	zanc	PGC3 primary (EUR+EAS+AFR+LAT)	slope_PC3	1	8596	7198	396516	-0.029567050459141	0.011029293960308	0.00736038448334253	0.0588830758667403
CT	SCZ	SCZ_eur	EUR	full	no	raw	PGC3 european	baseline_thickness	0p5	8596	7198	289986	0.0403450979341778	0.0234079739683956	0.0848231442652415	0.678585154121932
CT	SCZ	SCZ_eur	EUR	full	no	raw	PGC3 european	global_slope	1	8596	7198	396598	-0.0679127630859138	0.0226363703207004	0.00270657374136496	0.0216525899309197
CT	SCZ	SCZ_eur	EUR	full	no	raw	PGC3 european	slope_PC1	0p01	8596	7198	26079	0.0578822811788331	0.0170928304974218	0.000711693810053139	0.00569355048042511
CT	SCZ	SCZ_eur	EUR	full	no	raw	PGC3 european	slope_PC2	0p01	8596	7198	26079	0.038190517573321	0.0175365520445386	0.0294520800977744	0.235616640782195
CT	SCZ	SCZ_eur	EUR	full	no	raw	PGC3 european	slope_PC3	1	8596	7198	396598	-0.0521252418568649	0.0237886431212257	0.0284672088756422	0.227737671005138
CT	SCZ	SCZ_eur	EUR	EUR	yes	raw	PGC3 european	baseline_thickness	5e-8	4308	3601	332	-0.0174853102055125	0.015352863138471	0.254810196167508	1
CT	SCZ	SCZ_eur	EUR	EUR	yes	raw	PGC3 european	global_slope	1	4308	3601	396598	-0.0382449750732833	0.0146532917937058	0.00908828567674921	0.0727062854139937
CT	SCZ	SCZ_eur	EUR	EUR	yes	raw	PGC3 european	slope_PC1	0p01	4308	3601	26079	0.0420891296552306	0.0150928537467524	0.00531793260710946	0.0425434608568757
CT	SCZ	SCZ_eur	EUR	EUR	yes	raw	PGC3 european	slope_PC2	1	4308	3601	396598	0.0378722316904264	0.0157202997042924	0.0160356778599652	0.128285422879722
CT	SCZ	SCZ_eur	EUR	EUR	yes	raw	PGC3 european	slope_PC3	0p05	4308	3601	69501	-0.0237066155133273	0.0155236384984285	0.126807071182051	1
CT	SCZ	SCZ_eur	EUR	full	no	zanc	PGC3 european	baseline_thickness	0p5	8596	7198	289986	0.0289646352788699	0.0108858597265836	0.00781120859606389	0.0624896687685111
CT	SCZ	SCZ_eur	EUR	full	no	zanc	PGC3 european	global_slope	0p05	8596	7198		-0.0306423134825234	0.0103827727607098	0.00317379053758226	0.0253903243006581
CT	SCZ	SCZ_eur	EUR	full	no	zanc	PGC3 european	slope_PC1	0p01	8596	7198	26079	0.0329329469656602	0.0107090882247476	0.00211044123566475	0.016883529885318
CT	SCZ	SCZ_eur	EUR	full	no	zanc	PGC3 european	slope_PC2	0p01	8596	7198	26079	0.0255039657461699	0.0109849098919282	0.0202722031458248	0.162177625166598
CT	SCZ	SCZ_eur	EUR	full	no	zanc	PGC3 european	slope_PC3	1	8596	7198	396598	-0.0106684365349722	0.0109916512758226	0.331779639465292	1
CT	MDD	MDD_pooled	multi	full	yes	raw	PGC MDD2025 div (trans-ancestry)	baseline_thickness	1	8596	7198	267904	-0.0559180217146053	0.0223896534840483	0.0125261446746794	0.100209157397435
CT	MDD	MDD_pooled	multi	full	yes	raw	PGC MDD2025 div (trans-ancestry)	global_slope	0p1	8596	7198	85220	-0.0441536312015478	0.0203220273166537	0.0298316309879321	0.238653047903457
CT	MDD	MDD_pooled	multi	full	yes	raw	PGC MDD2025 div (trans-ancestry)	slope_PC1	1	8596	7198	267904	0.0530848350778013	0.0223188424319714	0.017407668914999	0.139261351319992
CT	MDD	MDD_pooled	multi	full	yes	raw	PGC MDD2025 div (trans-ancestry)	slope_PC2	0p01	8596	7198	24603	0.0231948569982309	0.0172945980003571	0.179905226706562	1
CT	MDD	MDD_pooled	multi	full	yes	raw	PGC MDD2025 div (trans-ancestry)	slope_PC3	0p1	8596	7198	85220	-0.0413216831397778	0.0213530779145736	0.0530049202125559	0.424039361700447
CT	MDD	MDD_pooled	multi	EUR	no	raw	PGC MDD2025 div (trans-ancestry)	baseline_thickness	0p001	4308	3601	8358	-0.0261131323846371	0.0154020089425186	0.0900651864044573	0.720521491235659
CT	MDD	MDD_pooled	multi	EUR	no	raw	PGC MDD2025 div (trans-ancestry)	global_slope	0p001	4308	3601	8358	-0.0227644080992553	0.0144838622595807	0.116096220067719	0.928769760541749
CT	MDD	MDD_pooled	multi	EUR	no	raw	PGC MDD2025 div (trans-ancestry)	slope_PC1	1	4308	3601	267904	0.02307819646476	0.0152366812066373	0.129941671689123	1
CT	MDD	MDD_pooled	multi	EUR	no	raw	PGC MDD2025 div (trans-ancestry)	slope_PC2	0p5	4308	3601	204104	0.0206356400926058	0.0157077295131976	0.18901316464151	1
CT	MDD	MDD_pooled	multi	EUR	no	raw	PGC MDD2025 div (trans-ancestry)	slope_PC3	0p01	4308	3601	24603	-0.0179913160525856	0.0154715519523339	0.244952886340404	1
CT	MDD	MDD_pooled	multi	full	yes	zanc	PGC MDD2025 div (trans-ancestry)	baseline_thickness	1	8596	7198	267904	-0.0141141847269937	0.0109279752855375	0.196543235721542	1
CT	MDD	MDD_pooled	multi	full	yes	zanc	PGC MDD2025 div (trans-ancestry)	global_slope	0p1	8596	7198	85220	-0.0215835978327403	0.0104563178872937	0.0390335549605716	0.312268439684573
CT	MDD	MDD_pooled	multi	full	yes	zanc	PGC MDD2025 div (trans-ancestry)	slope_PC1	0p1	8596	7198		0.0177271964320458	0.0108203625936796	0.101394629668766	0.811157037350129
CT	MDD	MDD_pooled	multi	full	yes	zanc	PGC MDD2025 div (trans-ancestry)	slope_PC2	0p01	8596	7198	24603	0.0155305610600139	0.011020283863506	0.158793490710239	1
CT	MDD	MDD_pooled	multi	full	yes	zanc	PGC MDD2025 div (trans-ancestry)	slope_PC3	5e-8	8596	7198		-0.012402924794426	0.010809103406818	0.251228905930737	1
CT	MDD	MDD_eur	EUR	full	no	raw	PGC MDD2025 eur	baseline_thickness	0p01	8596	7198	29378	-0.0323830537182823	0.0149951354003118	0.0308336450765087	0.24666916061207
CT	MDD	MDD_eur	EUR	full	no	raw	PGC MDD2025 eur	global_slope	0p5	8596	7198	284457	-0.0408873830043604	0.0181422220337949	0.0242409399671011	0.193927519736809
CT	MDD	MDD_eur	EUR	full	no	raw	PGC MDD2025 eur	slope_PC1	0p01	8596	7198	29378	0.0371691377299852	0.0149617708292133	0.0130017561913662	0.104014049530929
CT	MDD	MDD_eur	EUR	full	no	raw	PGC MDD2025 eur	slope_PC2	1	8596	7198	381411	0.0300149828215955	0.0192345359893388	0.118687353737395	0.949498829899161
CT	MDD	MDD_eur	EUR	full	no	raw	PGC MDD2025 eur	slope_PC3	0p01	8596	7198	29378	-0.0445193953831822	0.015188974774895	0.00338780567695239	0.0271024454156191
CT	MDD	MDD_eur	EUR	EUR	yes	raw	PGC MDD2025 eur	baseline_thickness	0p01	4308	3601	29378	-0.0221683213516391	0.015371924380638	0.149338530101803	1
CT	MDD	MDD_eur	EUR	EUR	yes	raw	PGC MDD2025 eur	global_slope	1e-5	4308	3601	1660	-0.0235205874265649	0.0144391999559421	0.103403669558717	0.827229356469735
CT	MDD	MDD_eur	EUR	EUR	yes	raw	PGC MDD2025 eur	slope_PC1	0p5	4308	3601	284457	0.0252140811108689	0.0152756926456545	0.0988997098160211	0.791197678528169
CT	MDD	MDD_eur	EUR	EUR	yes	raw	PGC MDD2025 eur	slope_PC2	0p5	4308	3601	284457	0.0216232914310141	0.015742398471832	0.169651550772608	1
CT	MDD	MDD_eur	EUR	EUR	yes	raw	PGC MDD2025 eur	slope_PC3	0p001	4308	3601	9120	-0.0352064761085668	0.0154451213595545	0.022691851110299	0.181534808882392
CT	MDD	MDD_eur	EUR	full	no	zanc	PGC MDD2025 eur	baseline_thickness	0p01	8596	7198	29378	-0.0146089114345046	0.0107472783223677	0.174083494768457	1
CT	MDD	MDD_eur	EUR	full	no	zanc	PGC MDD2025 eur	global_slope	1	8596	7198		-0.0233475748010744	0.0104571978882068	0.0255976058500309	0.204780846800247
CT	MDD	MDD_eur	EUR	full	no	zanc	PGC MDD2025 eur	slope_PC1	0p01	8596	7198	29378	0.0217770491206876	0.0107082186472611	0.0420170574539541	0.336136459631633
CT	MDD	MDD_eur	EUR	full	no	zanc	PGC MDD2025 eur	slope_PC2	1	8596	7198	381411	0.0176569799176005	0.0110954834492893	0.11156654942965	0.892532395437199
CT	MDD	MDD_eur	EUR	full	no	zanc	PGC MDD2025 eur	slope_PC3	0p01	8596	7198	29378	-0.0230110004677228	0.0108727610962564	0.034342197185197	0.274737577481576
CT	ASD	ASD	EUR	full	no	raw	SPARK+iPSYCH+PGC (no strata)	baseline_thickness	1e-5	8596	7198	69	-0.0402619579199039	0.0110722617173257	0.000278214127041628	0.00222571301633302
CT	ASD	ASD	EUR	full	no	raw	SPARK+iPSYCH+PGC (no strata)	global_slope	1e-5	8596	7198	69	0.0391212835964816	0.0107041042721076	0.000258992475674464	0.00207193980539571
CT	ASD	ASD	EUR	full	no	raw	SPARK+iPSYCH+PGC (no strata)	slope_PC1	0p01	8596	7198	8636	0.0242925534360857	0.0108273742729774	0.0248838113854382	0.199070491083506
CT	ASD	ASD	EUR	full	no	raw	SPARK+iPSYCH+PGC (no strata)	slope_PC2	0p01	8596	7198	8636	0.0210666954612583	0.0111047973824299	0.0578527637545454	0.462822110036363
CT	ASD	ASD	EUR	full	no	raw	SPARK+iPSYCH+PGC (no strata)	slope_PC3	0p01	8596	7198	8636	-0.0252735146168752	0.0109934981025032	0.0215331775207656	0.172265420166125
CT	ASD	ASD	EUR	EUR	yes	raw	SPARK+iPSYCH+PGC (no strata)	baseline_thickness	1e-5	4308	3601	69	-0.0424525393138793	0.0152556785422226	0.00541380730195347	0.0433104584156277
CT	ASD	ASD	EUR	EUR	yes	raw	SPARK+iPSYCH+PGC (no strata)	global_slope	1e-5	4308	3601	69	0.0337502565646909	0.0144069105348172	0.0191950755809221	0.153560604647377
CT	ASD	ASD	EUR	EUR	yes	raw	SPARK+iPSYCH+PGC (no strata)	slope_PC1	5e-8	4308	3601	4	0.0268612970958835	0.0149753536231739	0.0729350782908671	0.583480626326937
CT	ASD	ASD	EUR	EUR	yes	raw	SPARK+iPSYCH+PGC (no strata)	slope_PC2	0p01	4308	3601	8636	0.0189458126286649	0.0155380419405688	0.222795059765496	1
CT	ASD	ASD	EUR	EUR	yes	raw	SPARK+iPSYCH+PGC (no strata)	slope_PC3	1e-5	4308	3601	69	-0.0352050443827516	0.0153815787789672	0.022142483205791	0.177139865646328
