label,slope_adjusted,slope_total,slope_t,tau_slope,baseline_thickness,slopePC1,slopePC2,slopePC3,scPC1,scPC2,scPC3,reliability,region,lobe,hidden,h2,h2_rMZ,h2_rDZ
rh_parstriangularis,-0.0222955,-0.0222955,-147.386,0.0058848,2.69863,-0.296381,0.900969,1.3683,-0.296381,0.900969,1.3683,0.181248,parstriangularis,frontal,False,0.171246,0.192707,0.107084
rh_pericalcarine,-0.0127002,-0.0127002,-78.2148,0.00525419,1.78793,1.33382,-2.28858,-1.30294,1.33382,-2.28858,-1.30294,0.120428,pericalcarine,occipital,False,0.320869,0.291981,0.131547
rh_postcentral,-0.0181578,-0.0181578,-112.859,0.00696958,2.25885,0.187334,-0.909392,0.466168,0.187334,-0.909392,0.466168,0.279113,postcentral,parietal,False,0.233773,0.361448,0.244562
rh_posteriorcingulate,-0.0198367,-0.0198367,-166.292,0.00493084,2.53354,0.608424,0.512843,0.14628,0.608424,0.512843,0.14628,0.210497,posteriorcingulate,cingulate,False,0.375155,0.23212,0.0445431
rh_precentral,-0.00656292,-0.00656292,-37.2826,0.00573047,2.73193,-0.08943,-0.833328,0.884827,-0.08943,-0.833328,0.884827,0.121907,precentral,frontal,False,0.716147,0.41341,0.0553363
rh_precuneus,-0.0243172,-0.0243172,-218.114,0.00512155,2.60057,-1.34223,-1.03041,0.697232,-1.34223,-1.03041,0.697232,0.243093,precuneus,parietal,False,0.351727,0.383851,0.207987
rh_rostralanteriorcingulate,-0.0211251,-0.0211251,-92.0676,0.00849917,2.85559,1.83702,1.2967,-0.84435,1.83702,1.2967,-0.84435,0.178014,rostralanteriorcingulate,cingulate,False,-0.313679,0.0735833,0.230423
rh_rostralmiddlefrontal,-0.0251766,-0.0251766,-177.589,0.00513219,2.55842,-0.691002,0.642657,1.78912,-0.691002,0.642657,1.78912,0.153528,rostralmiddlefrontal,frontal,False,0.106508,0.321482,0.268228
rh_superiorfrontal,-0.0210411,-0.0210411,-155.532,0.0055944,2.97558,-1.19698,0.541746,1.89346,-1.19698,0.541746,1.89346,0.201151,superiorfrontal,frontal,False,0.356012,0.414087,0.236081
rh_superiorparietal,-0.0221828,-0.0221828,-158.833,0.00604334,2.43407,-1.27382,-1.72987,1.25438,-1.27382,-1.72987,1.25438,0.215938,superiorparietal,parietal,False,0.522744,0.501722,0.24035
rh_superiortemporal,-0.0161598,-0.0161598,-116.483,0.00704104,3.02989,-1.10043,0.648078,0.141705,-1.10043,0.648078,0.141705,0.298118,superiortemporal,temporal,False,0.281399,0.3428,0.2021
rh_supramarginal,-0.0190658,-0.0190658,-119.425,0.00787489,2.7601,-0.490205,-0.386061,1.19487,-0.490205,-0.386061,1.19487,0.314845,supramarginal,parietal,False,0.423636,0.35267,0.140852
rh_temporalpole,-0.00441262,-0.00441262,-10.415,0.0098645,3.78252,1.24751,0.184213,-1.25157,1.24751,0.184213,-1.25157,0.0627316,temporalpole,temporal,True,0.134503,0.145206,0.0779543
rh_transversetemporal,-0.0180883,-0.0180883,-93.2812,0.00751957,2.72361,0.187452,0.146396,-0.558145,0.187452,0.146396,-0.558145,0.19457,transversetemporal,temporal,False,0.121722,0.164542,0.103682
