label,slope_adjusted,slope_total,slope_t,tau_slope,baseline_thickness,slopePC1,slopePC2,slopePC3,scPC1,scPC2,scPC3,reliability,region,lobe,hidden,h2,h2_rMZ,h2_rDZ
lh_bankssts,-0.0226226,-0.0226226,-165.064,0.0057977,2.67131,-0.103299,0.206625,0.0662577,-0.103299,0.206625,0.0662577,0.281326,bankssts,temporal,False,0.36675,0.31084,0.127465
lh_caudalanteriorcingulate,-0.0187363,-0.0187363,-104.655,0.00570934,2.59921,1.82619,0.938643,-0.50809,1.82619,0.938643,-0.50809,0.179903,caudalanteriorcingulate,cingulate,False,0.28508,0.282781,0.140241
lh_caudalmiddlefrontal,-0.0134903,-0.0134903,-90.1625,0.00514721,2.82832,-0.978869,-0.10697,1.53564,-0.978869,-0.10697,1.53564,0.138673,caudalmiddlefrontal,frontal,False,0.281271,0.325284,0.184649
lh_cuneus,-0.0189339,-0.0189339,-151.484,0.00435882,2.02813,0.126824,-1.90268,-1.08637,0.126824,-1.90268,-1.08637,0.18712,cuneus,occipital,False,0.0579532,0.238355,0.209378
lh_entorhinal,-0.00150785,-0.00150785,-4.09783,0.0112132,3.22894,1.46196,0.099957,-1.41715,1.46196,0.099957,-1.41715,0.122886,entorhinal,temporal,True,0.326354,0.240511,0.0773346
lh_frontalpole,-0.0313713,-0.0313713,-107.011,0.0119467,2.99667,1.42368,0.742848,0.795305,1.42368,0.742848,0.795305,0.267515,frontalpole,frontal,True,0.565729,0.373733,0.0908681
lh_fusiform,-0.01728,-0.01728,-143.24,0.00482945,2.82601,-0.837758,0.343393,-1.22922,-0.837758,0.343393,-1.22922,0.185251,fusiform,temporal,True,0.252647,0.304114,0.177791
lh_inferiorparietal,-0.026429,-0.026429,-200.045,0.00604929,2.65064,-1.27097,-0.702127,0.77076,-1.27097,-0.702127,0.77076,0.249653,inferiorparietal,parietal,False,-0.133217,0.230616,0.297225
lh_inferiortemporal,-0.0190404,-0.0190404,-135.822,0.00576318,2.9136,-0.875492,0.623422,-0.786528,-0.875492,0.623422,-0.786528,0.206369,inferiortemporal,temporal,False,0.382436,0.329524,0.138306
lh_insula,-0.0166024,-0.0166024,-75.3942,0.00805169,3.06966,1.39099,1.17251,-1.68491,1.39099,1.17251,-1.68491,0.17996,insula,insula,False,0.412126,0.239208,0.0331453
lh_isthmuscingulate,-0.0208668,-0.0208668,-158.019,0.00517617,2.37963,0.587602,0.355487,-0.00587701,0.587602,0.355487,-0.00587701,0.186948,isthmuscingulate,cingulate,False,0.169552,0.277174,0.192399
lh_lateraloccipital,-0.0155635,-0.0155635,-132.589,0.00460089,2.24877,-1.14967,-1.53994,-0.642931,-1.14967,-1.53994,-0.642931,0.180167,lateraloccipital,occipital,False,0.207628,0.360921,0.257107
lh_lateralorbitofrontal,-0.0224167,-0.0224167,-138.367,0.0065983,2.839,0.0936483,0.971895,-0.311197,0.0936483,0.971895,-0.311197,0.193025,lateralorbitofrontal,frontal,False,0.238022,0.247302,0.128291
lh_lingual,-0.0177352,-0.0177352,-154.463,0.00386212,2.13765,-0.0730086,-1.48989,-1.4208,-0.0730086,-1.48989,-1.4208,0.169248,lingual,occipital,False,0.324794,0.42777,0.265373
lh_medialorbitofrontal,-0.0211686,-0.0211686,-111.332,0.0074276,2.57849,1.15458,1.2117,-0.483476,1.15458,1.2117,-0.483476,0.209178,medialorbitofrontal,frontal,False,0.269215,0.243176,0.108569
lh_middletemporal,-0.0187885,-0.0187885,-119.547,0.00625456,3.02339,-0.714694,0.56317,-0.221321,-0.714694,0.56317,-0.221321,0.220203,middletemporal,temporal,False,0.534531,0.488107,0.220841
lh_paracentral,-0.0247906,-0.0247906,-159.06,0.00709787,2.69756,-0.960226,-1.19744,0.808326,-0.960226,-1.19744,0.808326,0.239077,paracentral,frontal,False,0.443182,0.373403,0.151812
lh_parahippocampal,-0.0142557,-0.0142557,-75.0316,0.00816045,2.84576,1.03139,0.523495,-1.0451,1.03139,0.523495,-1.0451,0.211845,parahippocampal,temporal,True,-0.0851123,0.0723381,0.114894
lh_parsopercularis,-0.0148844,-0.0148844,-111.457,0.00571748,2.82785,-0.565871,0.560098,0.651867,-0.565871,0.560098,0.651867,0.211194,parsopercularis,frontal,False,0.376739,0.322211,0.133842
lh_parsorbitalis,-0.0266323,-0.0266323,-144.07,0.00745037,2.95738,0.0275881,0.831099,0.737134,0.0275881,0.831099,0.737134,0.203447,parsorbitalis,frontal,False,0.402668,0.349727,0.148392
lh_parstriangularis,-0.0208007,-0.0208007,-142.331,0.00564753,2.71782,-0.466304,0.635349,1.09454,-0.466304,0.635349,1.09454,0.178441,parstriangularis,frontal,False,0.23992,0.33262,0.21266
lh_pericalcarine,-0.0121048,-0.0121048,-79.6581,0.00506742,1.79673,0.809288,-2.14508,-1.29559,0.809288,-2.14508,-1.29559,0.133174,pericalcarine,occipital,False,0.255667,0.346827,0.218994
lh_postcentral,-0.0183544,-0.0183544,-133.554,0.00570862,2.2772,-0.313299,-1.11957,0.408406,-0.313299,-1.11957,0.408406,0.246482,postcentral,parietal,False,0.618551,0.526173,0.216898
lh_posteriorcingulate,-0.0209367,-0.0209367,-176.809,0.00450546,2.53921,0.544071,0.609183,0.34619,0.544071,0.609183,0.34619,0.197894,posteriorcingulate,cingulate,False,0.473922,0.305663,0.0687019
lh_precentral,-0.00620536,-0.00620536,-39.2671,0.00605096,2.77399,-0.299168,-1.02157,0.721336,-0.299168,-1.02157,0.721336,0.176673,precentral,frontal,False,0.716207,0.488452,0.130349
lh_precuneus,-0.0253859,-0.0253859,-225.377,0.00496803,2.58565,-1.47144,-1.03153,0.674406,-1.47144,-1.03153,0.674406,0.226275,precuneus,parietal,False,0.30704,0.386454,0.232934
lh_rostralanteriorcingulate,-0.0190975,-0.0190975,-78.147,0.00862786,2.88771,1.64117,1.31527,-1.03412,1.64117,1.31527,-1.03412,0.187996,rostralanteriorcingulate,cingulate,False,0.0379598,0.212323,0.193343
lh_rostralmiddlefrontal,-0.0228468,-0.0228468,-169.989,0.00513313,2.6048,-1.01332,0.443258,1.59648,-1.01332,0.443258,1.59648,0.167593,rostralmiddlefrontal,frontal,False,0.128488,0.381691,0.317447
lh_superiorfrontal,-0.0208466,-0.0208466,-155.755,0.00605491,3.01142,-1.28322,0.497068,1.92522,-1.28322,0.497068,1.92522,0.238192,superiorfrontal,frontal,False,0.340072,0.48054,0.310504
lh_superiorparietal,-0.022855,-0.022855,-166.025,0.00579784,2.42752,-1.26345,-1.80913,1.23981,-1.26345,-1.80913,1.23981,0.206145,superiorparietal,parietal,False,0.101648,0.367568,0.316744
lh_superiortemporal,-0.0156596,-0.0156596,-113.828,0.006442,3.01073,-1.1232,0.639398,-0.460977,-1.1232,0.639398,-0.460977,0.269464,superiortemporal,temporal,False,0.429013,0.420599,0.206093
lh_supramarginal,-0.021036,-0.021036,-136.715,0.00718399,2.77047,-0.856956,-0.370013,0.900769,-0.856956,-0.370013,0.900769,0.285374,supramarginal,parietal,False,0.360601,0.318456,0.138155
lh_temporalpole,-0.00826725,-0.00826725,-20.0796,0.00788896,3.65062,1.84831,-0.168131,-0.70698,1.84831,-0.168131,-0.70698,0.0541566,temporalpole,temporal,True,0.333835,0.300009,0.133092
lh_transversetemporal,-0.018432,-0.018432,-99.1963,0.00709974,2.72549,0.069351,0.0500275,-0.593114,0.069351,0.0500275,-0.593114,0.177491,transversetemporal,temporal,False,0.438194,0.216467,-0.00262986
rh_bankssts,-0.0215859,-0.0215859,-157.576,0.00607337,2.76761,-0.231548,0.515871,0.0706071,-0.231548,0.515871,0.0706071,0.276954,bankssts,temporal,False,0.115801,0.212443,0.154543
rh_caudalanteriorcingulate,-0.017783,-0.017783,-115.487,0.0055964,2.50993,1.79317,0.905864,-0.413673,1.79317,0.905864,-0.413673,0.242713,caudalanteriorcingulate,cingulate,False,0.257947,0.329233,0.200259
rh_caudalmiddlefrontal,-0.0157541,-0.0157541,-100.959,0.00476559,2.78794,-0.57253,0.0302729,1.54365,-0.57253,0.0302729,1.54365,0.137826,caudalmiddlefrontal,frontal,False,0.290782,0.387611,0.24222
rh_cuneus,-0.0197135,-0.0197135,-153.788,0.00481021,2.06643,-0.155437,-2.02044,-1.05586,-0.155437,-2.02044,-1.05586,0.17278,cuneus,occipital,False,0.367664,0.28708,0.103248
rh_entorhinal,-0.00275221,-0.00275221,-6.88624,0.0121814,3.3349,1.64446,0.351698,-1.36629,1.64446,0.351698,-1.36629,0.168488,entorhinal,temporal,True,0.600896,0.443125,0.142678
rh_frontalpole,-0.0300849,-0.0300849,-106.555,0.0106658,2.97077,1.55561,0.85351,0.715681,1.55561,0.85351,0.715681,0.291305,frontalpole,frontal,True,0.224029,0.203529,0.0915152
rh_fusiform,-0.0167802,-0.0167802,-135.694,0.00557646,2.8492,-0.647981,0.281042,-1.32366,-0.647981,0.281042,-1.32366,0.238334,fusiform,temporal,True,0.377021,0.308989,0.120478
rh_inferiorparietal,-0.0230628,-0.0230628,-179.492,0.0056677,2.68986,-1.34957,-0.75889,0.699468,-1.34957,-0.75889,0.699468,0.229178,inferiorparietal,parietal,False,0.511088,0.347084,0.0915397
rh_inferiortemporal,-0.0187925,-0.0187925,-138.183,0.00602792,2.93295,-0.834806,0.536426,-0.87822,-0.834806,0.536426,-0.87822,0.243995,inferiortemporal,temporal,False,0.294084,0.351316,0.204274
rh_insula,-0.0186965,-0.0186965,-81.9346,0.0077157,3.12612,1.48507,1.21101,-1.72902,1.48507,1.21101,-1.72902,0.162274,insula,insula,False,0.0321711,0.232194,0.216108
rh_isthmuscingulate,-0.0199175,-0.0199175,-147.323,0.00553731,2.39013,0.782596,0.187288,-0.000378897,0.782596,0.187288,-0.000378897,0.194493,isthmuscingulate,cingulate,False,0.145694,0.156623,0.083776
rh_lateraloccipital,-0.0154401,-0.0154401,-130.398,0.00483396,2.32325,-1.17087,-1.42582,-0.767989,-1.17087,-1.42582,-0.767989,0.191862,lateraloccipital,occipital,False,0.334383,0.356217,0.189026
rh_lateralorbitofrontal,-0.0213181,-0.0213181,-120.279,0.00541572,2.79906,0.406301,1.39672,-0.518762,0.406301,1.39672,-0.518762,0.133629,lateralorbitofrontal,frontal,False,0.0839725,0.219773,0.177787
rh_lingual,-0.019422,-0.019422,-165.374,0.00426265,2.16215,-0.106929,-1.64722,-1.54031,-0.106929,-1.64722,-1.54031,0.165702,lingual,occipital,False,0.156864,0.264943,0.186512
rh_medialorbitofrontal,-0.0245388,-0.0245388,-137.875,0.00727087,2.58052,0.698572,1.37577,-0.137684,0.698572,1.37577,-0.137684,0.214071,medialorbitofrontal,frontal,False,0.101411,0.173271,0.122566
rh_middletemporal,-0.0189697,-0.0189697,-123.425,0.0072398,3.039,-0.723434,0.573654,-0.127542,-0.723434,0.573654,-0.127542,0.283676,middletemporal,temporal,False,0.545104,0.500401,0.227849
rh_paracentral,-0.0221304,-0.0221304,-142.736,0.00732677,2.69157,-0.701831,-1.12746,0.743152,-0.701831,-1.12746,0.743152,0.258184,paracentral,frontal,False,0.488673,0.36894,0.124604
rh_parahippocampal,-0.0146264,-0.0146264,-81.8313,0.00627526,2.7796,1.0247,0.421597,-0.863076,1.0247,0.421597,-0.863076,0.142646,parahippocampal,temporal,True,-0.083265,0.144691,0.186324
rh_parsopercularis,-0.0159814,-0.0159814,-122.003,0.00521422,2.82334,-0.342848,0.847949,0.868888,-0.342848,0.847949,0.868888,0.182682,parsopercularis,frontal,False,0.147415,0.21098,0.137272
rh_parsorbitalis,-0.0269546,-0.0269546,-152.259,0.00692172,2.93473,0.109812,1.06538,0.863012,0.109812,1.06538,0.863012,0.197721,parsorbitalis,frontal,False,0.0554656,0.198295,0.170562
