split,phenotype,defined_on,h2,r_MZ,r_DZ,n_MZ,n_DZ
7,slope PC3,train (PCA),0.328089,0.393402,0.229358,131,213
7,top-10 h2 regions (mean),train (h2),0.169854,0.410157,0.32523,131,213
8,global mean slope,none,0.543189,0.54925,0.277655,145,192
8,slope PC1,train (PCA),0.745564,0.50733,0.134548,145,192
8,slope PC2,train (PCA),0.322226,0.416052,0.254939,145,192
8,slope PC3,train (PCA),0.659764,0.519117,0.189235,145,192
8,top-10 h2 regions (mean),train (h2),0.492001,0.4909,0.244899,145,192
9,global mean slope,none,0.374009,0.51347,0.326465,118,232
9,slope PC1,train (PCA),0.117821,0.313786,0.254875,118,232
9,slope PC2,train (PCA),0.415292,0.446452,0.238807,118,232
9,slope PC3,train (PCA),0.0229306,0.3228,0.311335,118,232
9,top-10 h2 regions (mean),train (h2),0.381446,0.47127,0.280548,118,232
10,global mean slope,none,0.408892,0.463766,0.259321,142,224
10,slope PC1,train (PCA),0.660423,0.427288,0.0970768,142,224
10,slope PC2,train (PCA),0.333674,0.367137,0.2003,142,224
10,slope PC3,train (PCA),0.560313,0.478042,0.197885,142,224
10,top-10 h2 regions (mean),train (h2),0.508224,0.458576,0.204464,142,224
11,global mean slope,none,0.508701,0.521716,0.267365,129,209
11,slope PC1,train (PCA),0.533588,0.462244,0.19545,129,209
11,slope PC2,train (PCA),0.539928,0.445402,0.175438,129,209
11,slope PC3,train (PCA),0.429015,0.518969,0.304461,129,209
11,top-10 h2 regions (mean),train (h2),0.391301,0.527725,0.332074,129,209
12,global mean slope,none,0.445135,0.525513,0.302945,134,223
12,slope PC1,train (PCA),0.381236,0.300345,0.109727,134,223
12,slope PC2,train (PCA),0.266713,0.386429,0.253073,134,223
12,slope PC3,train (PCA),0.254502,0.35151,0.224259,134,223
12,top-10 h2 regions (mean),train (h2),0.455996,0.492917,0.264919,134,223
13,global mean slope,none,0.564377,0.569341,0.287152,128,214
13,slope PC1,train (PCA),0.333059,0.408903,0.242374,128,214
13,slope PC2,train (PCA),0.267032,0.434043,0.300527,128,214
13,slope PC3,train (PCA),0.253348,0.378006,0.251332,128,214
13,top-10 h2 regions (mean),train (h2),0.494514,0.510908,0.263651,128,214
14,global mean slope,none,0.565432,0.523528,0.240812,126,198
14,slope PC1,train (PCA),0.317614,0.393365,0.234558,126,198
14,slope PC2,train (PCA),-0.0586285,0.324357,0.353671,126,198
14,slope PC3,train (PCA),0.3879,0.415709,0.221759,126,198
14,top-10 h2 regions (mean),train (h2),0.34391,0.409099,0.237144,126,198
15,global mean slope,none,0.5103,0.514111,0.258961,137,218
15,slope PC1,train (PCA),0.671059,0.458173,0.122643,137,218
15,slope PC2,train (PCA),0.173125,0.420734,0.334171,137,218
15,slope PC3,train (PCA),0.696947,0.466121,0.117647,137,218
15,top-10 h2 regions (mean),train (h2),0.486633,0.462864,0.219548,137,218
16,global mean slope,none,0.676524,0.527255,0.188992,138,208
16,slope PC1,train (PCA),0.483494,0.379674,0.137927,138,208
16,slope PC2,train (PCA),0.497791,0.447391,0.198495,138,208
16,slope PC3,train (PCA),0.233898,0.300857,0.183908,138,208
16,top-10 h2 regions (mean),train (h2),0.6971,0.539131,0.190581,138,208
17,global mean slope,none,0.458116,0.475121,0.246063,137,206
