model,phenotype,zygosity,r_MZ,n_MZ,r_DZsib,n_DZsib,h2_falconer
no_family_effect,intercept,genotype_pihat,0.7212095917414544,260,0.3820964245114349,871,0.678226334460039
no_family_effect,slope,genotype_pihat,0.407665638185973,260,0.21538451335383818,871,0.38456224966426966
with_family_effect,intercept,genotype_pihat,0.3887951121248307,260,-0.07874072961440194,871,0.9350716834784653
with_family_effect,slope,genotype_pihat,0.25058645469765256,260,0.044395268771083754,871,0.41238237185313764
