design,h2,lo,hi,r_MZ,r_DZ,n_MZ,n_DZ
family_effect=false (settled),0.7959,0.662,0.9285,0.8756,0.4776,260,871
family_effect=true,1.5076,1.2651,1.7269,0.5805,-0.1733,260,871
