label,PC1,PC2,PC3
lh_bankssts,-0.0007918593447425718,0.050318644119476716,-0.1494479790153817
lh_caudalanteriorcingulate,-0.08449510793744401,0.0739732593711962,0.11443086061060226
lh_caudalmiddlefrontal,-0.09173612926836058,-0.18260266604716202,0.02441040584237031
lh_cuneus,0.2182463639161768,0.03746245773080925,0.19154639034908194
lh_entorhinal,0.004373070411198138,0.1487461998976301,0.03359675732574624
lh_frontalpole,-0.11088711253105238,-0.0506818379178344,0.09334147007095694
lh_fusiform,-0.010063018080569863,0.24202934488000633,-0.024149337289821333
lh_inferiorparietal,0.08748950507811704,-0.05389308169873612,-0.21086932824420349
lh_inferiortemporal,-0.04672210529898997,0.21514054321898543,-0.13631738909243604
lh_insula,-0.0799131790691527,0.19513610266583867,0.08481970085728727
lh_isthmuscingulate,-0.03752471543361742,0.05240699732972141,-0.021375522307705855
lh_lateraloccipital,0.2241932189270917,0.0956017493464517,0.03603319428844319
lh_lateralorbitofrontal,-0.11232628791276444,0.09690660057645552,0.12344939761038484
lh_lingual,0.1974548402618038,0.1214187187185792,0.16473378882690615
lh_medialorbitofrontal,-0.1199255108483494,0.07722928896587014,0.18686648198036762
lh_middletemporal,-0.037923790503128385,0.0932504919185629,-0.2137931468735515
lh_paracentral,0.09265983325473601,-0.12207806611864043,0.017616291178949094
lh_parahippocampal,-0.038711931588380995,0.15508090484961587,-0.03765789574704167
lh_parsopercularis,-0.12001573105630228,0.01355762175746016,-0.03598536501561454
lh_parsorbitalis,-0.1269740387217555,-0.02526595791357661,0.05651373594374865
lh_parstriangularis,-0.13165433599018564,-0.05729143278296903,0.0006214422576617463
lh_pericalcarine,0.2138066606932493,0.05025574484778195,0.21979280094423026
lh_postcentral,0.13365152344172548,-0.06499259514066218,-0.042730117272297245
lh_posteriorcingulate,-0.06301215684512054,0.011445343685326525,0.047687000951111086
lh_precentral,0.04687443501495296,-0.05947724769404298,0.03113954459746999
lh_precuneus,0.11989898543958971,-0.08865885393706115,-0.011877391311955655
lh_rostralanteriorcingulate,-0.10852436307011619,0.12703706764046396,0.14218897935256974
lh_rostralmiddlefrontal,-0.17682674700230902,-0.14780531901940644,0.11420416662408536
lh_superiorfrontal,-0.1947781196177959,-0.21954955016165595,0.059179705321233914
lh_superiorparietal,0.2108925897049276,-0.20922246457461954,-0.0820997424377257
lh_superiortemporal,-0.06615361797938292,0.1674115302954922,-0.1847153742397628
lh_supramarginal,0.029964458406534656,-0.056063276921716816,-0.26633923221347255
lh_temporalpole,0.016172403383272922,0.06655345052932335,0.01429415544100035
lh_transversetemporal,0.003614582755549269,0.11142100431072557,-0.0033388465469631257
rh_bankssts,-0.037206546742605415,0.05909801288655398,-0.1200803992453024
rh_caudalanteriorcingulate,-0.0801970702847665,0.06537679257546157,0.117983493339622
rh_caudalmiddlefrontal,-0.08436070052356238,-0.17042676506737,0.039723072694427236
rh_cuneus,0.23706366816886346,0.03751165210325274,0.20288867021972806
rh_entorhinal,-0.020002639576597488,0.12135162472713969,0.04697434985448596
rh_frontalpole,-0.11405859877367772,-0.042675360267781653,0.114792263302062
rh_fusiform,-0.003639262065034699,0.2262434933950834,-0.007356570667167844
rh_inferiorparietal,0.08948907740834265,-0.055289927690774024,-0.1732965662141841
rh_inferiortemporal,-0.03762868183284936,0.20552194331276175,-0.12299560545776642
rh_insula,-0.08703582611738565,0.19501184667887508,0.10248200677717957
rh_isthmuscingulate,-0.022766023663002,0.03425959842904486,-0.012199276488057244
rh_lateraloccipital,0.21579913557888347,0.11324563813592699,0.07131723620941689
rh_lateralorbitofrontal,-0.12422585409008774,0.06784217034570342,0.1599279570974578
rh_lingual,0.2085530881486893,0.1294588280180879,0.17597523098824644
rh_medialorbitofrontal,-0.1411284815012893,0.06016425025500503,0.18410676861840114
rh_middletemporal,-0.0519174951666128,0.11902395927319565,-0.2616390985155835
rh_paracentral,0.08254110427108079,-0.10795435713088641,0.07540052495201353
rh_parahippocampal,-0.02687651891430642,0.1244083726513673,-0.023109291375721187
rh_parsopercularis,-0.14521483908188176,-0.009602110832513763,-0.014431410674706954
rh_parsorbitalis,-0.1445325819810611,-0.02871204393473164,0.059524335194019964
rh_parstriangularis,-0.16772017601739714,-0.06500989041125425,-0.002008629432976466
rh_pericalcarine,0.20340456293370401,0.044377742873876996,0.20565888303925772
rh_postcentral,0.10395025772273758,-0.06515171725577004,-0.03613042160859016
rh_posteriorcingulate,-0.06219727350302893,0.02094583968508844,0.06629994026111947
rh_precentral,0.028358640129085462,-0.10180864018254152,0.04032416899508307
rh_precuneus,0.11998823846236516,-0.10722902667253725,0.0401828878573451
rh_rostralanteriorcingulate,-0.11044923933670554,0.10804396872161538,0.12924042543388894
rh_rostralmiddlefrontal,-0.1923323885373193,-0.17381092630982048,0.141313921613088
rh_superiorfrontal,-0.19461853101209925,-0.22727684506026852,0.1277428581080918
rh_superiorparietal,0.1986599491674877,-0.22392769874692087,-0.0253561729393154
rh_superiortemporal,-0.09279519812874161,0.12464285280860203,-0.20360408610068553
rh_supramarginal,0.028457745055271533,-0.08032647880641723,-0.2236859845164221
rh_temporalpole,-0.030290642508114907,0.1379994476672476,0.02532964528554856
rh_transversetemporal,0.007868059378850246,0.09374539225312487,0.007654596176490128
