phenotype,h2,ci_lo,ci_hi,r_MZ,r_DZ,n_MZ,n_DZ
top-15 h2 regions (circular),0.6654953404423833,0.423066755146051,0.9246477579366219,0.509437215324228,0.17668954510303633,260,871
PC1 of regional slopes,0.5612959435083806,0.35691845426724583,0.7692763087843583,0.531333876396133,0.25068590464194274,260,871
sensorimotor mean,0.4913352372580441,0.27756854882964455,0.7031172459152971,0.4939931744457318,0.24832555581670976,260,871
sensorimotor - association,0.46023879354997643,0.2325177060502675,0.6952074607470777,0.4750613220315637,0.2449419252565755,260,871
PC2 of regional slopes,0.4314398652678336,0.21863608258801012,0.6393968347826751,0.4617087227522448,0.24598879011832797,260,871
global mean slope,0.38412264700296617,0.12127078284343429,0.629233594218076,0.4822612126734626,0.29019988917197953,260,871
PC3 of regional slopes,0.3341685530057492,0.12647351612672392,0.5191071305441615,0.47385301110626343,0.3067687346033888,260,871
