,mean_h2_heldout,sd,p2.5,p97.5,frac>global
PC1 (fit on train),0.5569802613616525,0.10972226509150612,0.36341879411814476,0.7392461717006497,0.8666666666666667
sensorimotor mean,0.5079711480838606,0.12022611189218835,0.32531257511883255,0.7351728791328374,0.7666666666666667
SM - assoc,0.48519662856576934,0.1175501698471134,0.3057157496190547,0.7106034630173482,0.7166666666666667
PC2 (fit on train),0.4218851783378968,0.13654238732016746,0.21761939952688628,0.6961519493355198,0.65
top-15 h2 (fit on train),0.3628756950090642,0.1753668719481874,0.027631525871571895,0.7443526456639575,0.5
global mean,0.356866207729383,0.14770435492204514,0.108942537574704,0.6320453206741407,0.0
