min_visits,h2_no_global,h2_global_adj,diff,diff_ci_lo,diff_ci_hi,p_diff_le_0,n_subjects,n_MZ,n_DZ_twin
2,0.444418,0.533708,0.0892899,-0.28165,0.453441,0.321,8192,419,659
3,0.350724,0.427257,0.0765333,-0.368154,0.511829,0.3845,5195,419,659
