phenotype	n_snps	n_mean	lambda_gc	n_p5e8	n_p1e5	min_p	n_chr
baseline_thickness_1lmm	7470569	4205	1.0215	0	149	3.65203312278932e-07	22
global_slope_1lmm	7470569	4205	1.0041	0	52	6.92493182018685e-07	22
