phenotype	n_snps	n_mean	lambda_gc	n_p5e8	n_p1e5	min_p	n_chr
baseline_thickness_1lmm	9426204	8395	1.0396	0	342	6.72949396930992e-08	22
global_slope_1lmm	9426204	8395	1.0301	0	141	6.11330617909588e-08	22
