trait	model	set	submodel	n_genes	beta	beta_std	se	p
baseline_thickness	marginal	MDD_hc_expression	-	56	0.1007	0.0055668	0.11881	0.19834
baseline_thickness	marginal	MDD_hc_finemap	-	160	0.12867	0.011989	0.074551	0.042187
baseline_thickness	marginal	MDD_hc_protein	-	10	-0.12511	-0.0029261	0.26593	0.68098
baseline_thickness	marginal	MDD_highconf	-	213	0.087599	0.0094032	0.06395	0.085384
baseline_thickness	marginal	MDD_pool	-	1881	0.040984	0.012455	0.026493	0.060946
baseline_thickness	marginal	MDD_pool_not_hc	-	1668	0.028488	0.0082055	0.02776	0.1524
global_slope	marginal	MDD_hc_expression	-	56	-0.059913	-0.0033119	0.11863	0.69323
global_slope	marginal	MDD_hc_finemap	-	160	-0.0064152	-0.00059771	0.074444	0.53434
global_slope	marginal	MDD_hc_protein	-	10	0.35296	0.0082554	0.26551	0.091873
global_slope	marginal	MDD_highconf	-	213	-0.030262	-0.0032484	0.063855	0.68222
global_slope	marginal	MDD_pool	-	1881	0.028475	0.0086536	0.026454	0.14088
global_slope	marginal	MDD_pool_not_hc	-	1668	0.036964	0.010647	0.027717	0.091178
MDD	marginal	MDD_hc_expression	-	56	1.8309	0.09915	0.15527	3.0271e-32
MDD	marginal	MDD_hc_finemap	-	160	2.3251	0.21225	0.094722	1.0837e-130
MDD	marginal	MDD_hc_protein	-	10	1.2664	0.029015	0.34364	0.00011473
MDD	marginal	MDD_highconf	-	213	2.1159	0.22254	0.081226	1.6259e-146
MDD	marginal	MDD_pool	-	1880	1.2366	0.36891	0.033581	4.239e-284
MDD	marginal	MDD_pool_not_hc	-	1667	0.94762	0.26785	0.036044	3.8594e-149
SCZ	marginal	MDD_hc_expression	-	56	1.0567	0.058133	0.16102	2.7411e-11
SCZ	marginal	MDD_hc_finemap	-	160	0.76497	0.070935	0.10091	1.8264e-14
SCZ	marginal	MDD_hc_protein	-	10	0.47083	0.01096	0.33844	0.082097
SCZ	marginal	MDD_highconf	-	213	0.80235	0.085719	0.085889	5.423e-21
SCZ	marginal	MDD_pool	-	1884	0.5843	0.17694	0.035588	2.4709e-60
SCZ	marginal	MDD_pool_not_hc	-	1671	0.49122	0.14099	0.037524	3.0912e-39
slope_PC1	marginal	MDD_hc_expression	-	56	-0.052827	-0.0029202	0.11725	0.67384
slope_PC1	marginal	MDD_hc_finemap	-	160	-0.015392	-0.0014341	0.073576	0.58285
slope_PC1	marginal	MDD_hc_protein	-	10	0.16515	0.0038627	0.26243	0.26457
slope_PC1	marginal	MDD_highconf	-	213	-0.018108	-0.0019438	0.063111	0.61291
slope_PC1	marginal	MDD_pool	-	1881	0.040996	0.012459	0.026144	0.058442
slope_PC1	marginal	MDD_pool_not_hc	-	1668	0.048419	0.013946	0.027393	0.038574
slope_PC2	marginal	MDD_hc_expression	-	56	0.22336	0.012347	0.11743	0.028594
slope_PC2	marginal	MDD_hc_finemap	-	160	0.093597	0.0087205	0.073697	0.10205
slope_PC2	marginal	MDD_hc_protein	-	10	-0.12619	-0.0029515	0.26288	0.6844
slope_PC2	marginal	MDD_highconf	-	213	0.11819	0.012687	0.063211	0.030764
slope_PC2	marginal	MDD_pool	-	1881	0.041297	0.01255	0.026189	0.057421
slope_PC2	marginal	MDD_pool_not_hc	-	1668	0.023066	0.0066439	0.027442	0.2003
slope_PC3	marginal	MDD_hc_expression	-	56	0.20702	0.011444	0.11754	0.039112
slope_PC3	marginal	MDD_hc_finemap	-	160	0.05537	0.0051589	0.073767	0.22645
slope_PC3	marginal	MDD_hc_protein	-	10	-0.035637	-0.00083351	0.26312	0.55387
slope_PC3	marginal	MDD_highconf	-	213	0.070564	0.0075745	0.063273	0.13239
slope_PC3	marginal	MDD_pool	-	1881	-0.011875	-0.0036088	0.026214	0.67472
slope_PC3	marginal	MDD_pool_not_hc	-	1668	-0.026333	-0.0075848	0.027466	0.83115
baseline_thickness	cond_on_pool	MDD_pool	1	1881	0.038748	0.011776	0.026712	0.07346
baseline_thickness	cond_on_pool	MDD_hc_expression	1	56	0.078516	0.0043402	0.11979	0.25609
baseline_thickness	cond_on_pool	MDD_pool	2	1881	0.030312	0.0092118	0.02767	0.13667
baseline_thickness	cond_on_pool	MDD_hc_finemap	2	160	0.10405	0.0096948	0.077864	0.090727
baseline_thickness	cond_on_pool	MDD_pool	3	1881	0.042116	0.012799	0.026564	0.056447
baseline_thickness	cond_on_pool	MDD_hc_protein	3	10	-0.1559	-0.0036463	0.26663	0.72062
baseline_thickness	cond_on_pool	MDD_pool	4	1881	0.032813	0.0099718	0.027912	0.11989
baseline_thickness	cond_on_pool	MDD_highconf	4	213	0.062673	0.0067275	0.067372	0.17613
baseline_thickness	cond_on_pool	MDD_pool	5	1881	0.095486	0.029018	0.0643	0.068782
baseline_thickness	cond_on_pool	MDD_pool_not_hc	5	1668	-0.062673	-0.018052	0.067372	0.82387
global_slope	cond_on_pool	MDD_pool	1	1881	0.030681	0.0093241	0.026672	0.12502
global_slope	cond_on_pool	MDD_hc_expression	1	56	-0.077481	-0.0042831	0.11961	0.74143
global_slope	cond_on_pool	MDD_pool	2	1881	0.03178	0.0096581	0.02763	0.12504
global_slope	cond_on_pool	MDD_hc_finemap	2	160	-0.032227	-0.0030026	0.077752	0.66074
global_slope	cond_on_pool	MDD_pool	3	1881	0.026051	0.0079171	0.026524	0.16301
global_slope	cond_on_pool	MDD_hc_protein	3	10	0.33391	0.0078099	0.26622	0.10488
global_slope	cond_on_pool	MDD_pool	4	1881	0.035985	0.010936	0.02787	0.098334
global_slope	cond_on_pool	MDD_highconf	4	213	-0.057598	-0.0061828	0.067272	0.80405
global_slope	cond_on_pool	MDD_pool	5	1881	-0.021613	-0.0065683	0.064204	0.6318
global_slope	cond_on_pool	MDD_pool_not_hc	5	1668	0.057598	0.01659	0.067272	0.19595
MDD	cond_on_pool	MDD_pool	1	1880	1.202	0.35859	0.033891	1.5356e-264
MDD	cond_on_pool	MDD_hc_expression	1	56	1.0487	0.056793	0.15054	1.6959e-12
MDD	cond_on_pool	MDD_pool	2	1880	1.0861	0.32401	0.034648	5.0353e-209
MDD	cond_on_pool	MDD_hc_finemap	2	160	1.4989	0.13683	0.095368	1.6666e-55
MDD	cond_on_pool	MDD_pool	3	1880	1.2355	0.36857	0.033735	3.7069e-281
MDD	cond_on_pool	MDD_hc_protein	3	10	0.11683	0.0026767	0.3302	0.36175
MDD	cond_on_pool	MDD_pool	4	1880	1.0584	0.31573	0.035175	2.9559e-193
MDD	cond_on_pool	MDD_highconf	4	213	1.3087	0.13765	0.083233	1.4981e-55
MDD	cond_on_pool	MDD_pool	5	1880	2.3671	0.70615	0.079233	1.2421e-190
MDD	cond_on_pool	MDD_pool_not_hc	5	1667	-1.3087	-0.36991	0.083233	1
SCZ	cond_on_pool	MDD_pool	1	1884	0.56383	0.17074	0.035838	1.3014e-55
SCZ	cond_on_pool	MDD_hc_expression	1	56	0.74381	0.040921	0.1609	1.9102e-06
SCZ	cond_on_pool	MDD_pool	2	1884	0.55214	0.1672	0.037225	1.0439e-49
SCZ	cond_on_pool	MDD_hc_finemap	2	160	0.30786	0.028548	0.10479	0.0016552
