method	trait_arm	score	disorder	threshold	phenotype	stratum	n	n_families	n_multi_families	n_pairs	beta_within	se_within	p_within	beta_between	se_between	p_between	beta_diff	se_diff	z_diff	p_diff
CT	SCZ25_EUR	raw	SCZ25EUR	0p001	baseline_thickness	EUR	4308	3601	691	726	0.0260074401031281	0.0398520354965491	0.514213695248161	-0.0071882183912688	0.0167239544797255	0.667355415681251	-0.0331956584943969	0.0432112053405004	-0.768218757908235	0.442357231183895
CT	SCZ25_EUR	raw	SCZ25EUR	0p01	baseline_thickness	EUR	4308	3601	691	726	0.0167850893605122	0.0403769282062875	0.677741043015793	0.0044367288379876	0.0167420408894284	0.79102061658738	-0.0123483605225245	0.043708957649628	-0.282513269282448	0.777549973393076
CT	SCZ25_EUR	raw	SCZ25EUR	0p05	baseline_thickness	EUR	4308	3601	691	726	0.0384670536056833	0.0404154958723254	0.34151062660752	0.0062487677746063	0.016799428321434	0.709942235187278	-0.032218285831077	0.043789795039345	-0.735748724152031	0.461883631480554
CT	SCZ25_EUR	raw	SCZ25EUR	0p1	baseline_thickness	EUR	4308	3601	691	726	0.0379148507669311	0.040495587590267	0.349435918669444	0.0144747380886942	0.0168372175229486	0.390018829585192	-0.0234401126782369	0.0438826550287418	-0.534154386576753	0.59323472432913
CT	SCZ25_EUR	raw	SCZ25EUR	0p5	baseline_thickness	EUR	4308	3601	691	726	0.0425977243006547	0.0415791693671862	0.305931899743115	0.0165929203618017	0.0169122051701685	0.326599172100813	-0.026004803938853	0.0449180053166636	-0.578939419850102	0.562630050395538
CT	SCZ25_EUR	raw	SCZ25EUR	1	baseline_thickness	EUR	4308	3601	691	726	0.0343832158814306	0.0416276615159809	0.409084172815463	0.0171779144193643	0.01691189556076	0.309826581897369	-0.0172053014620663	0.0449641868142545	-0.382644559616764	0.701983326366043
CT	SCZ25_EUR	raw	SCZ25EUR	1e-5	baseline_thickness	EUR	4308	3601	691	726	-0.0017579672630267	0.0379536398721382	0.963068475635178	-0.0035359777250267	0.0167820615171926	0.833133431108709	-0.0017780104619999	0.0414812438193504	-0.0428629977862567	0.965810745115312
CT	SCZ25_EUR	raw	SCZ25EUR	5e-8	baseline_thickness	EUR	4308	3601	691	726	0.0028705844918604	0.0381962289941429	0.940112517084963	-0.0134560320633434	0.0167439848587932	0.421661387809208	-0.0163266165552039	0.0416761133786392	-0.39174997934361	0.695242957450902
CT	SCZ25_EUR	raw	SCZ25EUR	0p001	baseline_thickness	full	8596	7198	1350	1449	-0.0087718880540169	0.0290750815825714	0.762924919031416	0.0019494624145319	0.0121581816606401	0.87261650515588	0.0107213504685489	0.031494170950836	0.340423327392409	0.733537753889071
CT	SCZ25_EUR	raw	SCZ25EUR	0p01	baseline_thickness	full	8596	7198	1350	1449	-0.0132264312659256	0.0327456799521135	0.686334600457485	0.0092878827092123	0.0135945484046322	0.494498371013301	0.022514313975138	0.0353721810932453	0.6364977583878	0.524452041560156
