method	trait_arm	discovery_ancestry	target_stratum	design	score	discovery_gwas	phenotype	threshold	n	n_families	n_snps	beta	se	p	p_adj
CT	SCZ25_EUR	EUR	full	confounded	raw	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	global_slope	0p1	8596	7198	112113.0	-0.0544219911174321	0.015660119942576	0.0005131355728991	0.0041050845831929
CT	SCZ25_EUR	EUR	full	confounded	raw	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	baseline_thickness	0p5	8596	7198	292703.0	0.0342466143948406	0.0175185638891562	0.0506303575576284	0.405042860461028
CT	SCZ25_EUR	EUR	EUR	primary	raw	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	global_slope	0p5	4308	3601	292703.0	-0.0463825433283505	0.0146498319348583	0.0015567725521203	0.0124541804169631
CT	SCZ25_EUR	EUR	EUR	primary	raw	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	baseline_thickness	0p5	4308	3601	292703.0	0.0202978418196661	0.015653969394459	0.194818941765224	1.0
CT	SCZ25_EUR	EUR	full	confounded	zanc	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	global_slope	0p1	8596	7198	112113.0	-0.036743541454666	0.0103836970058313	0.000404539111034	0.0032363128882725
CT	SCZ25_EUR	EUR	full	confounded	zanc	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	baseline_thickness	0p5	8596	7198	292703.0	0.0288354179302109	0.0108721352944824	0.0080110611414165	0.0640884891313321
CT	SCZ25_AFR	AFR	full	strata_only	raw	2025 SCZ AFR (MVP+AoU+GPC+MGS)	baseline_thickness	0p1	8596	7198	101314.0	-0.0301129417052315	0.0171090576352813	0.0784336517976855	0.627469214381484
CT	SCZ25_AFR	AFR	full	strata_only	raw	2025 SCZ AFR (MVP+AoU+GPC+MGS)	global_slope	5e-8	8596	7198	5.0	0.0110131688941055	0.0112364121494801	0.327049771832395	1.0
CT	SCZ25_AFR	AFR	EUR	strata_only	raw	2025 SCZ AFR (MVP+AoU+GPC+MGS)	baseline_thickness	0p1	4308	3601	101314.0	-0.0263718849657546	0.0154108809831395	0.0871070965643373	0.696856772514698
CT	SCZ25_AFR	AFR	EUR	strata_only	raw	2025 SCZ AFR (MVP+AoU+GPC+MGS)	global_slope	5e-8	4308	3601	5.0	0.0166760978461885	0.0144451519383082	0.248386238791374	1.0
CT	SCZ25_AFR	AFR	full	strata_only	zanc	2025 SCZ AFR (MVP+AoU+GPC+MGS)	baseline_thickness	0p1	8596	7198	101314.0	-0.027208423708128	0.0109274188593161	0.0127960388500577	0.102368310800462
CT	SCZ25_AFR	AFR	full	strata_only	zanc	2025 SCZ AFR (MVP+AoU+GPC+MGS)	global_slope	1e-5	8596	7198	120.0	-0.0092326503836862	0.0103090307327754	0.370498967330192	1.0
CT	SCZ25_EAS	EAS	full	strata_only	raw	2025 SCZ EAS (PGC3 asian)	baseline_thickness	5e-8	8596	7198	15.0	0.030583488989067	0.0116556533652691	0.0087078494654595	0.0696627957236763
CT	SCZ25_EAS	EAS	full	strata_only	raw	2025 SCZ EAS (PGC3 asian)	global_slope	0p01	8596	7198	10552.0	0.0294832627833845	0.0122983033762356	0.0165367548956907	0.132294039165526
CT	SCZ25_EAS	EAS	EUR	strata_only	raw	2025 SCZ EAS (PGC3 asian)	baseline_thickness	1	4308	3601	231619.0	-0.0439211906172193	0.0154648296800414	0.0045316071715765	0.0362528573726121
CT	SCZ25_EAS	EAS	EUR	strata_only	raw	2025 SCZ EAS (PGC3 asian)	global_slope	0p01	4308	3601	10552.0	0.027660335910292	0.0144620997663928	0.0558683843343467	0.446947074674774
CT	SCZ25_EAS	EAS	full	strata_only	zanc	2025 SCZ EAS (PGC3 asian)	baseline_thickness	5e-8	8596	7198	15.0	0.0304063940284868	0.0106224554046106	0.0042137985272222	0.0337103882177777
CT	SCZ25_EAS	EAS	full	strata_only	zanc	2025 SCZ EAS (PGC3 asian)	global_slope	0p01	8596	7198	10552.0	0.0227988551064433	0.0103353196414986	0.0274176505786277	0.219341204629022
CT	SCZ25_META	multi	full	primary	raw	2025 SCZ AFR+EUR+EAS meta	global_slope	0p1	8596	7198	120511.0	-0.0487247591006071	0.0171126150441621	0.004420276794824	0.0353622143585921
