method	trait_arm	discovery_ancestry	disorder	threshold	phenotype	analysis	stratum	n	n_families	beta	se	p	chisq	df	n_thresholds	p_adj
CT	SCZ25_EUR	EUR	SCZ25EUR	1e-5	baseline_thickness	within_stratum	EURlike	5665	4676	0.0008212440244125	0.0134275187607484	0.95123294517126			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	5e-8	baseline_thickness	within_stratum	EURlike	5665	4676	-0.0007561192129814	0.0133800263390286	0.954936701936236			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p001	baseline_thickness	within_stratum	cluster1	1623	1397	-0.0009078332575644	0.0254438459346604	0.971542044406591			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p01	baseline_thickness	within_stratum	cluster1	1623	1397	0.007037373042218	0.0270502553143843	0.794774304366994			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p05	baseline_thickness	within_stratum	cluster1	1623	1397	0.0469718696170835	0.0293903423533233	0.11019370615197			8	0.881549649215756
CT	SCZ25_EUR	EUR	SCZ25EUR	0p1	baseline_thickness	within_stratum	cluster1	1623	1397	0.0414207115209718	0.0306254155929742	0.176407576689426			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p5	baseline_thickness	within_stratum	cluster1	1623	1397	0.0489693892411805	0.0320681478836813	0.12694787364123			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	1	baseline_thickness	within_stratum	cluster1	1623	1397	0.0404728976347802	0.0320917837717995	0.207434450397524			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	1e-5	baseline_thickness	within_stratum	cluster1	1623	1397	-0.0187198350368723	0.0254148145155125	0.461490545579723			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	5e-8	baseline_thickness	within_stratum	cluster1	1623	1397	-0.0142750220918403	0.0250946938636704	0.569540375502849			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p001	baseline_thickness	within_stratum	cluster2	928	824	-0.0350787599759162	0.0336376017693816	0.297297428356706			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p01	baseline_thickness	within_stratum	cluster2	928	824	-0.0477001626196067	0.0339151675072594	0.159928963846743			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p05	baseline_thickness	within_stratum	cluster2	928	824	-0.0561777720013085	0.0364522078904412	0.123630393157952			8	0.989043145263615
CT	SCZ25_EUR	EUR	SCZ25EUR	0p1	baseline_thickness	within_stratum	cluster2	928	824	-0.0575207073181689	0.0382654613016083	0.133133300349482			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p5	baseline_thickness	within_stratum	cluster2	928	824	-0.077302140982966	0.0406976614246057	0.0578237613346607			8	0.462590090677286
CT	SCZ25_EUR	EUR	SCZ25EUR	1	baseline_thickness	within_stratum	cluster2	928	824	-0.0805946158375562	0.0409317346749161	0.049255278211694			8	0.394042225693552
CT	SCZ25_EUR	EUR	SCZ25EUR	1e-5	baseline_thickness	within_stratum	cluster2	928	824	-0.0514592055092207	0.0334473850097401	0.124271017246497			8	0.994168137971972
CT	SCZ25_EUR	EUR	SCZ25EUR	5e-8	baseline_thickness	within_stratum	cluster2	928	824	-0.0369429268593461	0.033323629920815	0.267891567100655			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p001	baseline_thickness	within_stratum	cluster3	380	329	-0.0519911200931791	0.0536840180030582	0.333458905145158			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p01	baseline_thickness	within_stratum	cluster3	380	329	-0.0148828554383417	0.0592807061330549	0.80191079520763			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p05	baseline_thickness	within_stratum	cluster3	380	329	-0.0098462858784923	0.0724199078943075	0.891927335868062			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p1	baseline_thickness	within_stratum	cluster3	380	329	0.0122445777227933	0.0777381717677164	0.874929603672026			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p5	baseline_thickness	within_stratum	cluster3	380	329	0.0070021380934764	0.08540860294346	0.934704277565056			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	1	baseline_thickness	within_stratum	cluster3	380	329	0.004113186450304	0.0859222357051523	0.96184513490342			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	1e-5	baseline_thickness	within_stratum	cluster3	380	329	0.0144313812534726	0.0528257480996523	0.784863450743386			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	5e-8	baseline_thickness	within_stratum	cluster3	380	329	0.0031022591812361	0.0513555652843511	0.951865622623417			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p001	global_slope	heterogeneity_PRSxStratum	all	8596	7198			0.312552310624851	3.56402836438429	3.0	8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p01	global_slope	heterogeneity_PRSxStratum	all	8596	7198			0.708590625340514	1.38697524977761	3.0	8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p05	global_slope	heterogeneity_PRSxStratum	all	8596	7198			0.862803441147007	0.744023801558797	3.0	8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p1	global_slope	heterogeneity_PRSxStratum	all	8596	7198			0.6456230219854	1.6610708813605	3.0	8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p5	global_slope	heterogeneity_PRSxStratum	all	8596	7198			0.75498012953897	1.19176477265864	3.0	8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	1	global_slope	heterogeneity_PRSxStratum	all	8596	7198			0.780778203649169	1.08466102685634	3.0	8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	1e-5	global_slope	heterogeneity_PRSxStratum	all	8596	7198			0.0588257983450069	7.45119548262301	3.0	8	0.470606386760055
CT	SCZ25_EUR	EUR	SCZ25EUR	5e-8	global_slope	heterogeneity_PRSxStratum	all	8596	7198			0.0789756027529287	6.78786386248612	3.0	8	0.63180482202343
CT	SCZ25_EUR	EUR	SCZ25EUR	0p001	global_slope	pooled_stratumFE	all	8596	7198	-0.0205500598421493	0.0103339841286895	0.0467796935342402			8	0.374237548273921
CT	SCZ25_EUR	EUR	SCZ25EUR	0p01	global_slope	pooled_stratumFE	all	8596	7198	-0.030708574504197	0.0105232643180617	0.0035306171715234			8	0.0282449373721876
CT	SCZ25_EUR	EUR	SCZ25EUR	0p05	global_slope	pooled_stratumFE	all	8596	7198	-0.0357324387657978	0.0108952437738147	0.001043753644054			8	0.0083500291524326
CT	SCZ25_EUR	EUR	SCZ25EUR	0p1	global_slope	pooled_stratumFE	all	8596	7198	-0.038840649368175	0.0110790266802537	0.0004577074912607			8	0.003661659930086
CT	SCZ25_EUR	EUR	SCZ25EUR	0p5	global_slope	pooled_stratumFE	all	8596	7198	-0.0370410183490475	0.0113107436604267	0.0010616082418527			8	0.0084928659348216
CT	SCZ25_EUR	EUR	SCZ25EUR	1	global_slope	pooled_stratumFE	all	8596	7198	-0.0371502597953517	0.0113178817863466	0.0010334921323025			8	0.0082679370584205
CT	SCZ25_EUR	EUR	SCZ25EUR	1e-5	global_slope	pooled_stratumFE	all	8596	7198	-0.0097398389393747	0.0103221781541039	0.345410194750646			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	5e-8	global_slope	pooled_stratumFE	all	8596	7198	-0.0045966792629279	0.0102645693148724	0.654294887709974			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p001	global_slope	within_stratum	EURanchor	4308	3601	-0.0357414299114656	0.0144710207241051	0.0135577355774963			8	0.10846188461997
