atlas	phenotype	cell	trait_arm	stratum	method	score	beta_perregion	se_perregion	p_adj_perregion	thr_perregion	beta_1lmm	se_1lmm	p_adj_1lmm	thr_1lmm	n
dk	global_slope	EUR GWAS -> EUR (primary)	SCZ25_EUR	EUR	SBayesR	raw	-0.0357317178509384	0.0145579181518187	0.0141519810667723	sbr	-0.0304003005159286	0.0146166243209429	0.0376033890691273	sbr	4308
dk	global_slope	EUR GWAS -> EUR (primary)	SCZ25_EUR	EUR	SBayesRC	raw	-0.034769840134079	0.014529638921069	0.0167554853508885	sbrc	-0.0302846758727101	0.0145879594257841	0.0379572081711613	sbrc	4308
dk	global_slope	EUR GWAS -> EUR (primary)	SCZ25_EUR	EUR	PRSCSX	raw	-0.0333545839984019	0.0144890730669645	0.0213830540866434	csx	-0.0357820264502263	0.0145436706394545	0.0139234227998492	csx	4308
dk	global_slope	multi GWAS -> pooled zanc (primary)	SCZ25_META	full	CT	zanc	-0.0285570340866822	0.0103626316627581	0.0469485158247191	0p01	-0.0269121729332015	0.0103897307232427	0.0768600657929249	0p01	8596
dk	global_slope	multi GWAS -> pooled zanc (primary)	SCZ25_META	full	PRSCS	zanc	-0.0241206572942189	0.0103237360957863	0.0194930413280797	prscs	-0.0267549797656161	0.0103514240472195	0.0097645810399525	prscs	8596
dk	global_slope	multi GWAS -> pooled zanc (primary)	SCZ25_META	full	SBayesR	zanc	-0.0219994211415847	0.0103302991565549	0.0332342501595992	sbr	-0.0216786079695072	0.0103592299571734	0.0364080961573414	sbr	8596
dk	global_slope	multi GWAS -> pooled zanc (primary)	SCZ25_META	full	SBayesRC	zanc	-0.027607059702556	0.0103183975775419	0.0074762494238564	sbrc	-0.0301069255844716	0.0103459983300395	0.0036240047567128	sbrc	8596
dk	global_slope	multi GWAS -> pooled zanc (primary)	SCZ25_META	full	PRSCSX	zanc	-0.0201921265831322	0.0102933707666454	0.0498356215816754	csx	-0.0235209396553124	0.0103208305597746	0.0226942202594862	csx	8596
dk	global_slope	ancestry-matched composite -> pooled (primary)	SCZ25_MATCHED	full	CT	raw	-0.0311950864233313	0.0104481966227325	0.0227040203465759	0p1	-0.0291793819036772	0.0104737723621542	0.0427988639357696	0p1	8596
dk	global_slope	ancestry-matched composite -> pooled (primary)	SCZ25_MATCHED	full	PRSCSX	raw	-0.0218912283511223	0.0104697288216615	0.0365678664287116	csx	-0.0278668033305283	0.010493594221563	0.0079324804314455	csx	8596
dk	global_slope	multi GWAS -> EUR (secondary)	SCZ25_META	EUR	CT	raw	-0.0353952321034685	0.014505709927902	0.117812395508053	0p01	-0.0362435531301681	0.0145176292087514	0.100653657764343	0p001	4308
dk	global_slope	multi GWAS -> EUR (secondary)	SCZ25_META	EUR	PRSCS	raw	-0.0336890111194135	0.0144334559049975	0.0196396944318676	prscs	-0.0334789440647023	0.0144903418037673	0.0209147199285806	prscs	4308
dk	global_slope	multi GWAS -> EUR (secondary)	SCZ25_META	EUR	SBayesR	raw	-0.0283234991229984	0.0144222736146608	0.0496128308501535	sbr	-0.0233666002574763	0.0144832891003401	0.106746624152192	sbr	4308
dk	global_slope	multi GWAS -> EUR (secondary)	SCZ25_META	EUR	SBayesRC	raw	-0.0334881476974986	0.0144087225427722	0.0201660859557326	sbrc	-0.030341504184726	0.0144688344359323	0.0360533829328113	sbrc	4308
dk	global_slope	multi GWAS -> EUR (secondary)	SCZ25_META	EUR	PRSCSX	raw	-0.0289193929178202	0.0144367233340005	0.0452240462629692	csx	-0.0309287107139382	0.0144936660240972	0.032907279275563	csx	4308
dk	global_slope	EUR weights -> pooled zanc (secondary)	SCZ25_EUR	full	CT	zanc	-0.036743541454666	0.0103836970058313	0.0032363128882725	0p1	-0.0281297208866257	0.0104142051069171	0.0554053916280113	0p1	8596
dk	global_slope	EUR weights -> pooled zanc (secondary)	SCZ25_EUR	full	PRSCS	zanc	-0.0296864992608371	0.0104229370798942	0.004408037426319	prscs	-0.0286408440294731	0.0104496232851532	0.0061416672932042	prscs	8596
dk	global_slope	EUR weights -> pooled zanc (secondary)	SCZ25_EUR	full	SBayesR	zanc	-0.0343471291788466	0.0104742904841613	0.0010455135244094	sbr	-0.0314096635124208	0.0105014667204748	0.0027893393165198	sbr	8596
dk	global_slope	EUR weights -> pooled zanc (secondary)	SCZ25_EUR	full	SBayesRC	zanc	-0.0320650180031544	0.0104176353026176	0.0020912542374835	sbrc	-0.0313965959944231	0.0104446638049809	0.0026553252311824	sbrc	8596
dk	global_slope	EUR weights -> pooled zanc (secondary)	SCZ25_EUR	full	PRSCSX	zanc	-0.0247377351714439	0.0103444399119196	0.016806819638941	csx	-0.0259995897608996	0.0103708218756955	0.0121958549508395	csx	8596
