method	trait_arm	discovery_ancestry	target_stratum	design	score	discovery_gwas	phenotype	threshold	n	n_families	n_snps	beta	se	p	p_adj
CT	SCZ25_EUR	EUR	full	confounded	raw	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	global_slope	0p1	8596	7198	112113.0	-0.0544219911174321	0.015660119942576	0.0005131355728991	0.0041050845831929
CT	SCZ25_EUR	EUR	full	confounded	raw	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	slope_PC1	1	8596	7198	396780.0	0.0585296723720978	0.0174085262833741	0.0007770903601986	0.0062167228815888
CT	SCZ25_EUR	EUR	full	confounded	raw	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	slope_PC3	0p01	8596	7198	28925.0	-0.0310563794741049	0.0127443476179433	0.0148362478125467	0.118689982500373
CT	SCZ25_EUR	EUR	full	confounded	raw	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	slope_PC2	1	8596	7198	396780.0	0.0424161587651872	0.0178587299710156	0.0175677311337315	0.140541849069852
CT	SCZ25_EUR	EUR	full	confounded	raw	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	baseline_thickness	0p5	8596	7198	292703.0	0.0342466143948406	0.0175185638891562	0.0506303575576284	0.405042860461028
CT	SCZ25_EUR	EUR	EUR	primary	raw	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	slope_PC1	1	4308	3601	396780.0	0.0504724911519546	0.0152456462179328	0.0009394407699731	0.0075155261597848
CT	SCZ25_EUR	EUR	EUR	primary	raw	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	global_slope	0p5	4308	3601	292703.0	-0.0463825433283505	0.0146498319348583	0.0015567725521203	0.0124541804169631
CT	SCZ25_EUR	EUR	EUR	primary	raw	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	slope_PC2	1	4308	3601	396780.0	0.0397773112892786	0.015720488912583	0.0114353278562567	0.0914826228500534
CT	SCZ25_EUR	EUR	EUR	primary	raw	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	slope_PC3	0p01	4308	3601	28925.0	-0.0330489366039305	0.0154871534731984	0.0329069321257581	0.263255457006065
CT	SCZ25_EUR	EUR	EUR	primary	raw	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	baseline_thickness	0p5	4308	3601	292703.0	0.0202978418196661	0.015653969394459	0.194818941765224	1.0
CT	SCZ25_EUR	EUR	full	confounded	zanc	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	slope_PC1	1	8596	7198	396780.0	0.038759782473558	0.0108006490088368	0.0003344028281879	0.0026752226255036
CT	SCZ25_EUR	EUR	full	confounded	zanc	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	global_slope	0p1	8596	7198	112113.0	-0.036743541454666	0.0103836970058313	0.000404539111034	0.0032363128882725
CT	SCZ25_EUR	EUR	full	confounded	zanc	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	baseline_thickness	0p5	8596	7198	292703.0	0.0288354179302109	0.0108721352944824	0.0080110611414165	0.0640884891313321
CT	SCZ25_EUR	EUR	full	confounded	zanc	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	slope_PC2	1	8596	7198	396780.0	0.0290181670565079	0.0110805027189549	0.0088392956895167	0.070714365516134
CT	SCZ25_EUR	EUR	full	confounded	zanc	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	slope_PC3	0p01	8596	7198	28925.0	-0.0244800915983126	0.0108135756199558	0.023610917235289	0.188887337882312
CT	SCZ25_AFR	AFR	full	strata_only	raw	2025 SCZ AFR (MVP+AoU+GPC+MGS)	slope_PC3	1e-5	8596	7198	120.0	0.028031841469173	0.011157574402384	0.0120119134102482	0.096095307281986
CT	SCZ25_AFR	AFR	full	strata_only	raw	2025 SCZ AFR (MVP+AoU+GPC+MGS)	slope_PC2	1e-5	8596	7198	120.0	-0.0207033245847856	0.0112735129614259	0.0663263624603601	0.530610899682881
CT	SCZ25_AFR	AFR	full	strata_only	raw	2025 SCZ AFR (MVP+AoU+GPC+MGS)	slope_PC1	1e-5	8596	7198	120.0	-0.0198417134693595	0.0109936488269391	0.071137829679532	0.569102637436256
CT	SCZ25_AFR	AFR	full	strata_only	raw	2025 SCZ AFR (MVP+AoU+GPC+MGS)	baseline_thickness	0p1	8596	7198	101314.0	-0.0301129417052315	0.0171090576352813	0.0784336517976855	0.627469214381484
CT	SCZ25_AFR	AFR	full	strata_only	raw	2025 SCZ AFR (MVP+AoU+GPC+MGS)	global_slope	5e-8	8596	7198	5.0	0.0110131688941055	0.0112364121494801	0.327049771832395	1.0
CT	SCZ25_AFR	AFR	EUR	strata_only	raw	2025 SCZ AFR (MVP+AoU+GPC+MGS)	slope_PC2	1e-5	4308	3601	120.0	-0.0349390662769293	0.0154718550823895	0.0239837760253561	0.191870208202849
CT	SCZ25_AFR	AFR	EUR	strata_only	raw	2025 SCZ AFR (MVP+AoU+GPC+MGS)	slope_PC3	5e-8	4308	3601	5.0	0.0280212500154076	0.0154156156824886	0.0691802430626229	0.553441944500983
CT	SCZ25_AFR	AFR	EUR	strata_only	raw	2025 SCZ AFR (MVP+AoU+GPC+MGS)	baseline_thickness	0p1	4308	3601	101314.0	-0.0263718849657546	0.0154108809831395	0.0871070965643373	0.696856772514698
CT	SCZ25_AFR	AFR	EUR	strata_only	raw	2025 SCZ AFR (MVP+AoU+GPC+MGS)	slope_PC1	1e-5	4308	3601	120.0	-0.0178187948685141	0.0150229362920512	0.235650968643396	1.0
CT	SCZ25_AFR	AFR	EUR	strata_only	raw	2025 SCZ AFR (MVP+AoU+GPC+MGS)	global_slope	5e-8	4308	3601	5.0	0.0166760978461885	0.0144451519383082	0.248386238791374	1.0
CT	SCZ25_AFR	AFR	full	strata_only	zanc	2025 SCZ AFR (MVP+AoU+GPC+MGS)	slope_PC3	1e-5	8596	7198	120.0	0.0296257628159482	0.010826420927083	0.0062244859379145	0.0497958875033161
CT	SCZ25_AFR	AFR	full	strata_only	zanc	2025 SCZ AFR (MVP+AoU+GPC+MGS)	baseline_thickness	0p1	8596	7198	101314.0	-0.027208423708128	0.0109274188593161	0.0127960388500577	0.102368310800462
CT	SCZ25_AFR	AFR	full	strata_only	zanc	2025 SCZ AFR (MVP+AoU+GPC+MGS)	slope_PC1	1e-5	8596	7198	120.0	-0.0204964263698991	0.0106674246273173	0.0547160607205262	0.437728485764209
CT	SCZ25_AFR	AFR	full	strata_only	zanc	2025 SCZ AFR (MVP+AoU+GPC+MGS)	slope_PC2	1e-5	8596	7198	120.0	-0.0202026103754684	0.0109393573026735	0.0648149044820141	0.518519235856113
CT	SCZ25_AFR	AFR	full	strata_only	zanc	2025 SCZ AFR (MVP+AoU+GPC+MGS)	global_slope	1e-5	8596	7198	120.0	-0.0092326503836862	0.0103090307327754	0.370498967330192	1.0
CT	SCZ25_EAS	EAS	full	strata_only	raw	2025 SCZ EAS (PGC3 asian)	baseline_thickness	5e-8	8596	7198	15.0	0.030583488989067	0.0116556533652691	0.0087078494654595	0.0696627957236763
CT	SCZ25_EAS	EAS	full	strata_only	raw	2025 SCZ EAS (PGC3 asian)	global_slope	0p01	8596	7198	10552.0	0.0294832627833845	0.0122983033762356	0.0165367548956907	0.132294039165526
CT	SCZ25_EAS	EAS	full	strata_only	raw	2025 SCZ EAS (PGC3 asian)	slope_PC2	0p1	8596	7198	58680.0	-0.0305731389395403	0.0168633313821845	0.0698690180026271	0.558952144021017
CT	SCZ25_EAS	EAS	full	strata_only	raw	2025 SCZ EAS (PGC3 asian)	slope_PC1	0p05	8596	7198	35340.0	-0.0280742781944507	0.0156589093513847	0.0730323322033919	0.584258657627135
CT	SCZ25_EAS	EAS	full	strata_only	raw	2025 SCZ EAS (PGC3 asian)	slope_PC3	0p01	8596	7198	10552.0	0.0142381183320147	0.0129246493368934	0.27065737680289	1.0
CT	SCZ25_EAS	EAS	EUR	strata_only	raw	2025 SCZ EAS (PGC3 asian)	baseline_thickness	1	4308	3601	231619.0	-0.0439211906172193	0.0154648296800414	0.0045316071715765	0.0362528573726121
CT	SCZ25_EAS	EAS	EUR	strata_only	raw	2025 SCZ EAS (PGC3 asian)	slope_PC2	1e-5	4308	3601	94.0	-0.0330873926935321	0.0154675480300614	0.0324821177784957	0.259856942227965
