trait	model	set	submodel	n_genes	beta	beta_std	se	p
slope_PC2	marginal	MDD_pool_not_hc	-	1671	0.04525	0.013003	0.02765	0.050878
slope_PC3	marginal	MDD_hc_expression	-	56	-0.03865	-0.0021291	0.12008	0.62622
slope_PC3	marginal	MDD_hc_finemap	-	160	-0.11211	-0.01041	0.072459	0.93909
slope_PC3	marginal	MDD_hc_protein	-	10	-0.10228	-0.0023841	0.21261	0.68477
slope_PC3	marginal	MDD_highconf	-	213	-0.093553	-0.010008	0.061787	0.93499
slope_PC3	marginal	MDD_pool	-	1884	0.042951	0.013022	0.026153	0.050274
slope_PC3	marginal	MDD_pool_not_hc	-	1671	0.06504	0.018691	0.027292	0.0085895
baseline_thickness	cond_on_pool	MDD_pool	1	1884	0.022909	0.0069458	0.026345	0.19227
baseline_thickness	cond_on_pool	MDD_hc_expression	1	56	0.10095	0.0055612	0.12095	0.20197
baseline_thickness	cond_on_pool	MDD_pool	2	1884	0.017482	0.0053002	0.027359	0.26142
baseline_thickness	cond_on_pool	MDD_hc_finemap	2	160	0.074909	0.0069554	0.075797	0.16152
baseline_thickness	cond_on_pool	MDD_pool	3	1884	0.026286	0.0079696	0.026259	0.15841
baseline_thickness	cond_on_pool	MDD_hc_protein	3	10	-0.10871	-0.0025337	0.21345	0.69472
baseline_thickness	cond_on_pool	MDD_pool	4	1884	0.019096	0.0057897	0.02753	0.24395
baseline_thickness	cond_on_pool	MDD_highconf	4	213	0.047578	0.0050897	0.065039	0.23223
baseline_thickness	cond_on_pool	MDD_pool	5	1884	0.066674	0.020215	0.062318	0.14234
baseline_thickness	cond_on_pool	MDD_pool_not_hc	5	1671	-0.047578	-0.013672	0.065039	0.76777
global_slope	cond_on_pool	MDD_pool	1	1884	0.028349	0.0085951	0.026385	0.14132
global_slope	cond_on_pool	MDD_hc_expression	1	56	-0.14706	-0.0081015	0.12113	0.88763
global_slope	cond_on_pool	MDD_pool	2	1884	0.033472	0.010148	0.027401	0.11094
global_slope	cond_on_pool	MDD_hc_finemap	2	160	-0.082473	-0.0076577	0.075914	0.86134
global_slope	cond_on_pool	MDD_pool	3	1884	0.022878	0.0069362	0.026299	0.19218
global_slope	cond_on_pool	MDD_hc_protein	3	10	0.21965	0.0051197	0.21377	0.1521
global_slope	cond_on_pool	MDD_pool	4	1884	0.037245	0.011292	0.027571	0.088375
global_slope	cond_on_pool	MDD_highconf	4	213	-0.094907	-0.010153	0.065136	0.92744
global_slope	cond_on_pool	MDD_pool	5	1884	-0.057662	-0.017482	0.062411	0.82222
global_slope	cond_on_pool	MDD_pool_not_hc	5	1671	0.094907	0.027273	0.065136	0.07256
MDD	cond_on_pool	MDD_pool	1	1880	1.202	0.35859	0.033891	1.5356e-264
MDD	cond_on_pool	MDD_hc_expression	1	56	1.0487	0.056793	0.15054	1.6959e-12
MDD	cond_on_pool	MDD_pool	2	1880	1.0861	0.32401	0.034648	5.0353e-209
MDD	cond_on_pool	MDD_hc_finemap	2	160	1.4989	0.13683	0.095368	1.6666e-55
MDD	cond_on_pool	MDD_pool	3	1880	1.2355	0.36857	0.033735	3.7069e-281
MDD	cond_on_pool	MDD_hc_protein	3	10	0.11683	0.0026767	0.3302	0.36175
MDD	cond_on_pool	MDD_pool	4	1880	1.0584	0.31573	0.035175	2.9559e-193
MDD	cond_on_pool	MDD_highconf	4	213	1.3087	0.13765	0.083233	1.4981e-55
MDD	cond_on_pool	MDD_pool	5	1880	2.3671	0.70615	0.079233	1.2421e-190
MDD	cond_on_pool	MDD_pool_not_hc	5	1667	-1.3087	-0.36991	0.083233	1
SCZ	cond_on_pool	MDD_pool	1	1884	0.56383	0.17074	0.035838	1.3014e-55
SCZ	cond_on_pool	MDD_hc_expression	1	56	0.74381	0.040921	0.1609	1.9102e-06
SCZ	cond_on_pool	MDD_pool	2	1884	0.55214	0.1672	0.037225	1.0439e-49
SCZ	cond_on_pool	MDD_hc_finemap	2	160	0.30786	0.028548	0.10479	0.0016552
SCZ	cond_on_pool	MDD_pool	3	1884	0.58447	0.17699	0.03573	6.5774e-60
SCZ	cond_on_pool	MDD_hc_protein	3	10	-0.017429	-0.00040571	0.33669	0.52064
SCZ	cond_on_pool	MDD_pool	4	1884	0.53171	0.16102	0.037564	1.7465e-45
SCZ	cond_on_pool	MDD_highconf	4	213	0.39203	0.041883	0.090093	6.8094e-06
SCZ	cond_on_pool	MDD_pool	5	1884	0.92374	0.27974	0.085733	2.8695e-27
SCZ	cond_on_pool	MDD_pool_not_hc	5	1671	-0.39203	-0.11252	0.090093	0.99999
slope_PC1	cond_on_pool	MDD_pool	1	1884	0.042005	0.012735	0.026169	0.054243
slope_PC1	cond_on_pool	MDD_hc_expression	1	56	-0.11069	-0.0060978	0.12014	0.82155
slope_PC1	cond_on_pool	MDD_pool	2	1884	0.043095	0.013066	0.027177	0.056413
slope_PC1	cond_on_pool	MDD_hc_finemap	2	160	-0.035597	-0.0033052	0.075295	0.68181
slope_PC1	cond_on_pool	MDD_pool	3	1884	0.0385	0.011673	0.026084	0.069984
slope_PC1	cond_on_pool	MDD_hc_protein	3	10	0.097334	0.0022687	0.21203	0.3231
slope_PC1	cond_on_pool	MDD_pool	4	1884	0.043826	0.013288	0.027347	0.05452
slope_PC1	cond_on_pool	MDD_highconf	4	213	-0.03409	-0.0036468	0.064606	0.70113
slope_PC1	cond_on_pool	MDD_pool	5	1884	0.0097368	0.0029521	0.061904	0.43751
slope_PC1	cond_on_pool	MDD_pool_not_hc	5	1671	0.03409	0.0097963	0.064606	0.29887
slope_PC2	cond_on_pool	MDD_pool	1	1884	0.041493	0.01258	0.026652	0.059765
slope_PC2	cond_on_pool	MDD_hc_expression	1	56	0.16123	0.0088816	0.12236	0.093822
slope_PC2	cond_on_pool	MDD_pool	2	1884	0.054421	0.0165	0.027678	0.024646
slope_PC2	cond_on_pool	MDD_hc_finemap	2	160	-0.087098	-0.0080872	0.076683	0.87198
slope_PC2	cond_on_pool	MDD_pool	3	1884	0.044498	0.013491	0.026566	0.046975
slope_PC2	cond_on_pool	MDD_hc_protein	3	10	0.091456	0.0021317	0.21595	0.33596
slope_PC2	cond_on_pool	MDD_pool	4	1884	0.047043	0.014263	0.027852	0.045616
slope_PC2	cond_on_pool	MDD_highconf	4	213	-0.013186	-0.0014106	0.0658	0.57941
slope_PC2	cond_on_pool	MDD_pool	5	1884	0.033857	0.010265	0.063048	0.29563
slope_PC2	cond_on_pool	MDD_pool_not_hc	5	1671	0.013186	0.0037892	0.0658	0.42059
slope_PC3	cond_on_pool	MDD_pool	1	1884	0.044397	0.013461	0.026311	0.045772
slope_PC3	cond_on_pool	MDD_hc_expression	1	56	-0.060876	-0.0033535	0.12079	0.69286
slope_PC3	cond_on_pool	MDD_pool	2	1884	0.059661	0.018088	0.027319	0.014495
slope_PC3	cond_on_pool	MDD_hc_finemap	2	160	-0.15995	-0.014852	0.075689	0.9827
slope_PC3	cond_on_pool	MDD_pool	3	1884	0.044109	0.013373	0.026224	0.046294
slope_PC3	cond_on_pool	MDD_hc_protein	3	10	-0.12854	-0.002996	0.21317	0.72674
slope_PC3	cond_on_pool	MDD_pool	4	1884	0.060961	0.018483	0.02749	0.013299
slope_PC3	cond_on_pool	MDD_highconf	4	213	-0.13797	-0.014759	0.064944	0.98317
slope_PC3	cond_on_pool	MDD_pool	5	1884	-0.077006	-0.023347	0.062228	0.89204
slope_PC3	cond_on_pool	MDD_pool_not_hc	5	1671	0.13797	0.039648	0.064944	0.016827
