phenotype	h2	se	pval	n
baseline_thickness	0.2247	0.0465	3.9122e-07	6011
global_slope	0.1560	0.0446	1.4354e-04	6011
slope_PC3	0.2290	0.0452	4.7204e-08	6011
slope_PC2	0.0882	0.0434	1.7634e-02	6011
slope_PC1	0.0998	0.0438	9.1547e-03	6011
