label,dCT,CT,dT1T2,T1T2,slopePC1,slopePC2,slopePC3
lh_bankssts,-0.022323153,2.7288703,0.0020177863,0.55129736,-0.0488517,0.383391,0.02000155
lh_caudalanteriorcingulate,-0.018345477,2.5609017,0.0015623142,0.47261648,1.79875,0.988361,-0.4912735
lh_caudalmiddlefrontal,-0.014494897,2.8151622,0.0040184598,0.58311889,-0.833031,-0.07157065,1.548695
lh_cuneus,-0.020078948,2.0532297,0.0030604807,0.64174738,-0.0624605,-1.826675,-1.304125
lh_entorhinal,-0.0024217288,3.2839179,-0.0008803988,0.5955437,1.661385,0.384441,-1.196855
lh_frontalpole,-0.030883641,2.9937821,0.00030785355,0.56683474,1.48405,0.8628815,0.599095
lh_fusiform,-0.017173583,2.8449299,0.0013448338,0.58228998,-0.6727165,0.266175,-1.047935
lh_inferiorparietal,-0.025050116,2.6797521,0.0024907464,0.57268765,-1.324795,-0.814908,0.6042045
lh_inferiortemporal,-0.018848603,2.9319446,-0.00025529921,0.56971459,-0.813409,0.6124875,-0.797217
lh_insula,-0.01813681,3.1042461,0.00086598801,0.56467468,1.400615,1.298725,-1.682795
lh_isthmuscingulate,-0.020285452,2.393186,0.0056297863,0.56712875,0.802305,0.19834935,0.10393845
lh_lateraloccipital,-0.015932008,2.2925856,0.0031007373,0.6329874,-1.167335,-1.466525,-0.757787
lh_lateralorbitofrontal,-0.022397345,2.8267558,0.00048301931,0.5530451,0.3020035,1.169693,-0.352788
lh_lingual,-0.019308847,2.1554933,0.0029120484,0.62156797,-0.156746,-1.47206,-1.683305
lh_medialorbitofrontal,-0.023000635,2.5880575,-5.4297413e-05,0.53309131,0.9264005,1.37996,-0.403075
lh_middletemporal,-0.018807028,3.0403134,-0.00052601301,0.55441128,-0.68157,0.5517715,-0.2303195
lh_paracentral,-0.023607005,2.7048336,0.005627555,0.62540333,-0.8456615,-1.25267,0.8732775
lh_parahippocampal,-0.014903037,2.8182625,2.6351394e-05,0.56377374,1.081415,0.3572495,-0.6717075
lh_parsopercularis,-0.015302239,2.832819,0.0026483633,0.55656123,-0.39993,0.648751,0.8858875
lh_parsorbitalis,-0.027200273,2.9561051,0.00032108831,0.56302632,0.06980965,0.91408,0.8201575
lh_parstriangularis,-0.021872653,2.7164643,0.001445132,0.56246304,-0.4034295,0.7139515,1.26167
lh_pericalcarine,-0.012884151,1.795527,0.0024373394,0.64241723,0.881734,-2.06696,-1.534835
lh_postcentral,-0.018662625,2.2756194,0.0032743514,0.6336531,-0.0852865,-0.948513,0.2137895
lh_posteriorcingulate,-0.020223632,2.5450983,0.0042236992,0.51114193,0.687038,0.5647985,0.240375
lh_precentral,-0.0060585585,2.7576034,0.0052810304,0.62954115,-0.2399885,-0.9990165,0.969789
lh_precuneus,-0.025236069,2.6027291,0.0036698371,0.57323938,-1.37016,-1.15605,0.669279
lh_rostralanteriorcingulate,-0.020236887,2.8787037,0.00089019883,0.48546349,1.726385,1.39109,-0.952056
lh_rostralmiddlefrontal,-0.02439483,2.5899539,0.0013883667,0.55652248,-0.891995,0.481957,1.70563
lh_superiorfrontal,-0.021071067,3.0020387,0.0021759267,0.57471508,-1.26221,0.4343895,1.951565
lh_superiorparietal,-0.022812922,2.4395948,0.0038061038,0.60811496,-1.32953,-1.82077,1.1244
lh_superiortemporal,-0.016064088,3.0277147,0.00030414646,0.57598845,-1.0561,0.589645,-0.058988
lh_supramarginal,-0.019987631,2.7738142,0.0022838047,0.57397111,-0.7171605,-0.4047235,0.876379
lh_temporalpole,-0.0067311155,3.7188171,-0.0023838074,0.60100929,1.445255,0.055799,-0.7698105
lh_transversetemporal,-0.018577743,2.7327366,0.0036237283,0.62075677,0.09524455,0.05248535,-0.5332635
