"label","region","view","x","y","group","subgroup"
"lh_43","43","lateral",196.760444040625,66.8057209375,1,1
"lh_43","43","lateral",196.556284540625,66.8946745625,1,1
"lh_43","43","lateral",196.361247926042,66.9727996770833,1,1
"lh_43","43","lateral",196.175334196875,67.04009628125,1,1
"lh_43","43","lateral",195.998543353125,67.096564375,1,1
"lh_43","43","lateral",195.830875394792,67.1422039583333,1,1
"lh_43","43","lateral",195.702517103125,67.193125875,1,1
"lh_43","43","lateral",195.613468478125,67.249330125,1,1
"lh_43","43","lateral",195.563729519792,67.3108167083333,1,1
"lh_43","43","lateral",195.553300228125,67.377585625,1,1
"lh_43","43","lateral",195.581308696875,67.45301615625,1,1
"lh_43","43","lateral",195.647754926042,67.5371083020833,1,1
"lh_43","43","lateral",195.752638915625,67.6298620625,1,1
"lh_43","43","lateral",195.895960665625,67.7312774375,1,1
"lh_43","43","lateral",196.032639603125,67.83101284375,1,1
"lh_43","43","lateral",196.162675728125,67.92906828125,1,1
"lh_43","43","lateral",196.286069040625,68.02544375,1,1
"lh_43","43","lateral",196.402819540625,68.12013925,1,1
"lh_43","43","lateral",196.460086321875,68.22327103125,1,1
"lh_43","43","lateral",196.457869384375,68.33483909375,1,1
"lh_43","43","lateral",196.396168728125,68.4548434375,1,1
"lh_43","43","lateral",196.274984353125,68.5832840625,1,1
"lh_43","43","lateral",196.154920384375,68.71697125,1,1
"lh_43","43","lateral",196.035976821875,68.855905,1,1
"lh_43","43","lateral",195.918153665625,69.0000853125,1,1
"lh_43","43","lateral",195.801450915625,69.1495121875,1,1
"lh_43","43","lateral",195.757746446875,69.288967625,1,1
"lh_43","43","lateral",195.787040259375,69.418451625,1,1
"lh_43","43","lateral",195.889332353125,69.5379641875,1,1
"lh_43","43","lateral",196.064622728125,69.6475053125,1,1
"lh_43","43","lateral",196.231932228125,69.7546209375,1,1
"lh_43","43","lateral",196.391260853125,69.8593110625,1,1
"lh_43","43","lateral",196.542608603125,69.9615756875,1,1
