trait	phenotype	atlas	est	se	p	n
Schizophrenia (2025 GWAS)	global_slope	DK	-0.0302846758727101	0.0145879594257841	0.0379572081711613	4308
Schizophrenia (2025 GWAS)	baseline_thickness	DK	0.0170684827188785	0.0154940719530033	0.270691521059191	4308
Depression (MDD 2025)	global_slope	DK	-0.0300934942544134	0.0146860711346029	0.04051583882764	4308
Depression (MDD 2025)	baseline_thickness	DK	-0.0202226269579143	0.0156237302575105	0.195613357938254	4308
Autism	global_slope	DK	0.011171916833683	0.0144922426902581	0.440816853354605	4308
Autism	baseline_thickness	DK	-0.0129695783682049	0.0152869905028465	0.396259051037312	4308
Alzheimer's (Wightman)	global_slope	DK	-0.033948808006122	0.0144730235960733	0.0190421651638657	4308
Alzheimer's (Wightman)	baseline_thickness	DK	-0.003136518619017	0.0154156611108347	0.838782765601467	4308
Alzheimer's, APOE excluded	global_slope	DK	-0.0209269948683942	0.0144954033397899	0.148901281056062	4308
Alzheimer's, APOE excluded	baseline_thickness	DK	0.0053917540833845	0.0153466798630442	0.725357787198781	4308
Educational attainment	global_slope	DK	0.0309001756718579	0.0149096753666581	0.0382840494994539	4308
Educational attainment	baseline_thickness	DK	0.0107534690944955	0.0158686886836447	0.498028221035624	4308
Schizophrenia (2025 GWAS)	global_slope	HCP	-0.0348316279696206	0.014504144360212	0.0163734070320897	4308
Schizophrenia (2025 GWAS)	baseline_thickness	HCP	0.0208061120184699	0.0154987685021632	0.179525671836422	4308
Depression (MDD 2025)	global_slope	HCP	-0.0343906874227015	0.0146021115555803	0.0185614331306551	4308
Depression (MDD 2025)	baseline_thickness	HCP	-0.0214146983291235	0.0156288218267859	0.170694753396831	4308
Autism	global_slope	HCP	-0.0002724675365683	0.0144086853929972	0.984913857974603	4308
Autism	baseline_thickness	HCP	-0.0148181554213684	0.0152933306209653	0.332635059433173	4308
Alzheimer's (Wightman)	global_slope	HCP	-0.0363864784318143	0.0143896244970715	0.0114880525331268	4308
Alzheimer's (Wightman)	baseline_thickness	HCP	-0.0055356976330747	0.0154205634642279	0.719626666742371	4308
Alzheimer's, APOE excluded	global_slope	HCP	-0.0153047170203751	0.0144146913258911	0.288415001460009	4308
Alzheimer's, APOE excluded	baseline_thickness	HCP	0.0040751241646781	0.0153531048450649	0.790693506442948	4308
Educational attainment	global_slope	HCP	0.0317308146542713	0.0148264969635199	0.0324038203844161	4308
Educational attainment	baseline_thickness	HCP	0.0167976390038726	0.0158730477915968	0.290001686328647	4308
