comparison	variable	type	n_genes	beta	se	p
MDD_vs_slope_projC3	slope_projC3	COVAR	18228	-0.014997	0.011298	0.18437
MDD_vs_slope_projDelta	slope_projDelta	COVAR	18228	0.0038737	0.011319	0.73218
MDD_vs_slope_topC3	slope_topC3	COVAR	18228	-0.0013416	0.01142	0.90649
MDD_vs_slope_topDelta	slope_topDelta	COVAR	18228	-0.01797	0.011398	0.11492
SCZ_vs_slope_projC3	slope_projC3	COVAR	18261	0.013423	0.01139	0.23862
SCZ_vs_slope_projDelta	slope_projDelta	COVAR	18261	0.016674	0.011354	0.14198
SCZ_vs_slope_topC3	slope_topC3	COVAR	18261	0.018023	0.011502	0.11714
SCZ_vs_slope_topDelta	slope_topDelta	COVAR	18261	0.014426	0.011512	0.21017
slope_projC3_ahba_components_posneg	C1+	COVAR	6941	0.049817	0.035225	0.15733
slope_projC3_ahba_components_posneg	C2+	COVAR	6941	-0.054966	0.05599	0.32628
slope_projC3_ahba_components_posneg	C3+	COVAR	6941	-0.021033	0.071499	0.76864
slope_projC3_ahba_components_posneg	C1-	COVAR	6941	-0.004964	0.033304	0.88152
slope_projC3_ahba_components_posneg	C2-	COVAR	6941	0.070343	0.063108	0.26504
slope_projC3_ahba_components_posneg	C3-	COVAR	6941	-0.025325	0.072329	0.72625
slope_projC3_snrnaseq_pc1	PC1_herringV3+	COVAR	15482	1.635	1.4479	0.25884
slope_projC3_snrnaseq_pc1	PC1_U01V2+	COVAR	15482	2.3663	1.2325	0.054881
slope_projC3_snrnaseq_pc1	PC1_herringV3-	COVAR	15482	2.8723	2.41	0.23335
slope_projC3_snrnaseq_pc1	PC1_U01V2-	COVAR	15482	10.419	11.76	0.37567
slope_projDelta_ahba_components_posneg	C1+	COVAR	6941	0.024595	0.035179	0.48449
slope_projDelta_ahba_components_posneg	C2+	COVAR	6941	-0.015213	0.055914	0.78557
slope_projDelta_ahba_components_posneg	C3+	COVAR	6941	-0.020971	0.071397	0.76898
slope_projDelta_ahba_components_posneg	C1-	COVAR	6941	-0.012567	0.033256	0.70553
slope_projDelta_ahba_components_posneg	C2-	COVAR	6941	0.042154	0.063022	0.5036
slope_projDelta_ahba_components_posneg	C3-	COVAR	6941	-0.094748	0.072216	0.18957
slope_projDelta_snrnaseq_pc1	PC1_herringV3+	COVAR	15482	1.3925	1.4567	0.33914
slope_projDelta_snrnaseq_pc1	PC1_U01V2+	COVAR	15482	1.4131	1.2401	0.25451
slope_projDelta_snrnaseq_pc1	PC1_herringV3-	COVAR	15482	0.93653	2.4248	0.69933
slope_projDelta_snrnaseq_pc1	PC1_U01V2-	COVAR	15482	6.1235	11.832	0.60478
slope_topC3_ahba_components_posneg	C1+	COVAR	6941	0.0212	0.034538	0.53937
slope_topC3_ahba_components_posneg	C2+	COVAR	6941	-0.0059366	0.054896	0.91389
slope_topC3_ahba_components_posneg	C3+	COVAR	6941	0.0083917	0.070097	0.90471
slope_topC3_ahba_components_posneg	C1-	COVAR	6941	-0.020767	0.03265	0.52476
slope_topC3_ahba_components_posneg	C2-	COVAR	6941	-0.018004	0.061876	0.77108
slope_topC3_ahba_components_posneg	C3-	COVAR	6941	0.0017965	0.070911	0.97979
slope_topC3_snrnaseq_pc1	PC1_herringV3+	COVAR	15482	-0.40386	1.4358	0.7785
slope_topC3_snrnaseq_pc1	PC1_U01V2+	COVAR	15482	1.3525	1.2222	0.26849
slope_topC3_snrnaseq_pc1	PC1_herringV3-	COVAR	15482	1.3873	2.3898	0.56158
slope_topC3_snrnaseq_pc1	PC1_U01V2-	COVAR	15482	-0.038459	11.661	0.99737
slope_topDelta_ahba_components_posneg	C1+	COVAR	6941	-0.012698	0.034535	0.71312
slope_topDelta_ahba_components_posneg	C2+	COVAR	6941	0.052448	0.054885	0.33932
slope_topDelta_ahba_components_posneg	C3+	COVAR	6941	-0.0054702	0.070089	0.93779
slope_topDelta_ahba_components_posneg	C1-	COVAR	6941	-0.012764	0.032646	0.69584
slope_topDelta_ahba_components_posneg	C2-	COVAR	6941	-0.0077114	0.061869	0.90081
slope_topDelta_ahba_components_posneg	C3-	COVAR	6941	0.00084798	0.070902	0.99046
slope_topDelta_snrnaseq_pc1	PC1_herringV3+	COVAR	15482	0.53201	1.4332	0.71049
slope_topDelta_snrnaseq_pc1	PC1_U01V2+	COVAR	15482	1.5607	1.22	0.20081
slope_topDelta_snrnaseq_pc1	PC1_herringV3-	COVAR	15482	0.16887	2.3855	0.94357
slope_topDelta_snrnaseq_pc1	PC1_U01V2-	COVAR	15482	2.0803	11.64	0.85816
