k	method	n_unrelated	pct_nonEUR
3	gcta_cutoff	6011	6.4
3	pcair	8178	32.9
4	gcta_cutoff	6011	6.3
4	pcair	8178	32.6
5	gcta_cutoff	6011	9.2
5	pcair	8178	33.7
