readout	phenotype	arm	method	estimate	se	p	n	legacy_estimate	legacy_se	legacy_p	legacy_n	legacy_note
GREML h2 (dense imputed GRM, PC-AiR unrelated)	baseline_thickness	unrelated	GCTA	0.2247	0.0465	3.9122e-07	6011	0.2465	0.0489	1.4894e-07	5649	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
GREML h2 (dense imputed GRM, PC-AiR unrelated)	global_slope	unrelated	GCTA	0.156	0.0446	0.00014354	6011	0.1373	0.0464	0.001157	5649	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
GREML h2 (dense imputed GRM, PC-AiR unrelated)	slope_PC1	unrelated	GCTA	0.0998	0.0438	0.0091547	6011	0.0753	0.0456	0.046266	5649	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
GREML h2 (dense imputed GRM, PC-AiR unrelated)	slope_PC2	unrelated	GCTA	0.0882	0.0434	0.017634	6011	0.1605	0.0464	0.00015854	5649	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
GREML h2 (dense imputed GRM, PC-AiR unrelated)	slope_PC3	unrelated	GCTA	0.229	0.0452	4.7204e-08	6011	0.041	0.0448	0.17636	5649	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
GWAS hits p<5e-8	baseline_thickness	EUR	GENESIS	0			4205	0			4017	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
GWAS hits p<5e-8	baseline_thickness	pooled	GENESIS	1			8395	0			7893	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
GWAS hits p<5e-8	global_slope	EUR	GENESIS	0			4205	0			4017	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
GWAS hits p<5e-8	global_slope	pooled	GENESIS	0			8395	0			7893	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
GWAS hits p<5e-8	slope_PC1	EUR	GENESIS	0			4205	0			4017	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
GWAS hits p<5e-8	slope_PC1	pooled	GENESIS	0			8395	0			7893	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
GWAS hits p<5e-8	slope_PC2	EUR	GENESIS	0			4205	0			4017	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
GWAS hits p<5e-8	slope_PC2	pooled	GENESIS	0			8395	1			7893	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
GWAS hits p<5e-8	slope_PC3	EUR	GENESIS	3			4205	0			4017	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
GWAS hits p<5e-8	slope_PC3	pooled	GENESIS	0			8395	2			7893	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
GWAS lambda_GC	baseline_thickness	EUR	GENESIS	1.0212			4205	1.027			4017	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
GWAS lambda_GC	baseline_thickness	pooled	GENESIS	1.0399			8395	1.0363			7893	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
GWAS lambda_GC	global_slope	EUR	GENESIS	0.9935			4205	1.0001			4017	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
GWAS lambda_GC	global_slope	pooled	GENESIS	1.0278			8395	1.0139			7893	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
GWAS lambda_GC	slope_PC1	EUR	GENESIS	1.0106			4205	1.0051			4017	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
GWAS lambda_GC	slope_PC1	pooled	GENESIS	1.0221			8395	1.0142			7893	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
GWAS lambda_GC	slope_PC2	EUR	GENESIS	1.0165			4205	1.0186			4017	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
GWAS lambda_GC	slope_PC2	pooled	GENESIS	1.0346			8395	1.0358			7893	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
GWAS lambda_GC	slope_PC3	EUR	GENESIS	1.0099			4205	0.9953			4017	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
