phenotype	h2_snp	se_snp	h2_ped	se_ped	pval	n
baseline_thickness	0.5393	0.0548	0.8460	0.0153	0.0000e+00	8082
global_slope	0.1830	0.0491	0.2519	0.0323	2.4359e-06	8082
slope_PC3	0.0961	0.0522	0.1650	0.0328	1.5665e-02	8082
slope_PC2	0.2296	0.0500	0.2794	0.0312	4.6041e-03	8082
slope_PC1	0.1779	0.0509	0.1779	0.0323	2.0118e-05	8082
