method	trait_arm	discovery_ancestry	target_stratum	design	score	discovery_gwas	phenotype	threshold	n	n_families	n_snps	beta	se	p	p_adj
CT	SCZ25_EUR	EUR	full	confounded	raw	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	global_slope	0p1	8596	7198	112113.0	-0.0587272677448554	0.0157332604646694	0.0001907266185907	0.0015258129487259
CT	SCZ25_EUR	EUR	full	confounded	raw	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	baseline_thickness	0p5	8596	7198	292703.0	0.0350657992824957	0.0175376057275981	0.0455899014810809	0.364719211848647
CT	SCZ25_EUR	EUR	EUR	primary	raw	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	global_slope	1	4308	3601	396780.0	-0.0509829978620716	0.0147719531521589	0.0005635295665803	0.0045082365326426
CT	SCZ25_EUR	EUR	EUR	primary	raw	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	baseline_thickness	0p5	4308	3601	292703.0	0.0191318887962806	0.0156511493575891	0.221625665162703	1.0
CT	SCZ25_EUR	EUR	full	confounded	zanc	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	global_slope	0p1	8596	7198	112113.0	-0.0413767352104308	0.0104339705072652	7.38418794892033e-05	0.0005907350359136
CT	SCZ25_EUR	EUR	full	confounded	zanc	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	baseline_thickness	0p5	8596	7198	292703.0	0.029149777133654	0.0108842026336193	0.007416767470439	0.059334139763512
CT	SCZ25_AFR	AFR	full	strata_only	raw	2025 SCZ AFR (MVP+AoU+GPC+MGS)	baseline_thickness	1e-5	8596	7198	120.0	-0.0150804558531188	0.0110317362209071	0.171659243674932	1.0
CT	SCZ25_AFR	AFR	full	strata_only	raw	2025 SCZ AFR (MVP+AoU+GPC+MGS)	global_slope	5e-8	8596	7198	5.0	0.0092869668463647	0.0112876167838467	0.410669809015125	1.0
CT	SCZ25_AFR	AFR	EUR	strata_only	raw	2025 SCZ AFR (MVP+AoU+GPC+MGS)	baseline_thickness	0p001	4308	3601	3740.0	0.0257136898838092	0.0154952894336767	0.0970978815422955	0.776783052338364
CT	SCZ25_AFR	AFR	EUR	strata_only	raw	2025 SCZ AFR (MVP+AoU+GPC+MGS)	global_slope	5e-8	4308	3601	5.0	0.0162214955778046	0.0145517967599011	0.265025683427661	1.0
