atlas	phenotype	cell	trait_arm	stratum	method	score	beta_perregion	se_perregion	p_adj_perregion	thr_perregion	beta_1lmm	se_1lmm	p_adj_1lmm	thr_1lmm	n
hcp	global_slope	multi GWAS -> pooled zanc (primary)	SCZ25_META	full	CT	zanc	-0.0325320390695017	0.010506865373483	0.0157317284190898	0p05	-0.0332678575965281	0.0103076060098533	0.0100301201671365	0p01	8596
hcp	global_slope	multi GWAS -> pooled zanc (primary)	SCZ25_META	full	PRSCS	zanc	-0.0229298712637267	0.0103730190572721	0.0270957284844458	prscs	-0.0292762410015137	0.010270849218738	0.0043771318155103	prscs	8596
hcp	global_slope	multi GWAS -> pooled zanc (primary)	SCZ25_META	full	SBayesR	zanc	-0.0233857157831616	0.0103777480449003	0.0242569855616665	sbr	-0.025478394929561	0.0102782769047549	0.0132004310595997	sbr	8596
hcp	global_slope	multi GWAS -> pooled zanc (primary)	SCZ25_META	full	SBayesRC	zanc	-0.0275513878892192	0.0103670680702382	0.0078853810091853	sbrc	-0.0337117307422142	0.0102646466628576	0.0010268405073171	sbrc	8596
hcp	global_slope	multi GWAS -> pooled zanc (primary)	SCZ25_META	full	PRSCSX	zanc	-0.018731399524971	0.0103424453029493	0.0701587727835724	csx	-0.0266608191205774	0.0102403296994404	0.0092441836972491	csx	8596
hcp	global_slope	ancestry-matched composite -> pooled (primary)	SCZ25_MATCHED	full	CT	raw	-0.03304115361533	0.0105066752003085	0.0133455058140341	0p1	-0.0315715545266451	0.0103418315748123	0.0181973041041442	0p01	8596
hcp	global_slope	ancestry-matched composite -> pooled (primary)	SCZ25_MATCHED	full	PRSCSX	raw	-0.0190451860235941	0.0105274533418886	0.0704729851738701	csx	-0.029684142747477	0.0104124684748862	0.0043717869634423	csx	8596
hcp	global_slope	multi GWAS -> EUR (secondary)	SCZ25_META	EUR	CT	raw	-0.0354307106938376	0.0146238984641015	0.123559114100097	0p01	-0.0425713455386724	0.0144325945064368	0.0255959865260111	0p001	4308
hcp	global_slope	multi GWAS -> EUR (secondary)	SCZ25_META	EUR	PRSCS	raw	-0.0369942489794404	0.0145461274246737	0.0110194902306511	prscs	-0.0367275048662464	0.0144070387528017	0.0108314490916792	prscs	4308
hcp	global_slope	multi GWAS -> EUR (secondary)	SCZ25_META	EUR	SBayesR	raw	-0.0325010525542678	0.0145286926891087	0.0253377917569364	sbr	-0.027548238553281	0.0143993515199737	0.0557979902673787	sbr	4308
hcp	global_slope	multi GWAS -> EUR (secondary)	SCZ25_META	EUR	SBayesRC	raw	-0.039855317698816	0.0145150952503051	0.0060628509945008	sbrc	-0.0347581315714125	0.0143840994213578	0.0157175478349596	sbrc	4308
hcp	global_slope	multi GWAS -> EUR (secondary)	SCZ25_META	EUR	PRSCSX	raw	-0.0319623233291716	0.0145466029960393	0.0280590431164233	csx	-0.0335092920845005	0.0144106310779495	0.02010415651444	csx	4308
hcp	global_slope	EUR weights -> pooled zanc (secondary)	SCZ25_EUR	full	CT	zanc	-0.0413767352104308	0.0104339705072652	0.0005907350359136	0p1	-0.0302982694374104	0.010333555963509	0.0270162916847738	0p1	8596
hcp	global_slope	EUR weights -> pooled zanc (secondary)	SCZ25_EUR	full	PRSCS	zanc	-0.0281081095242008	0.0104789179777892	0.0073255256857714	prscs	-0.0267786756921788	0.0103700340371647	0.009831662690433	prscs	8596
hcp	global_slope	EUR weights -> pooled zanc (secondary)	SCZ25_EUR	full	SBayesR	zanc	-0.0334039698239011	0.0105312621265045	0.0015201720447688	sbr	-0.0295622934623441	0.0104217027474172	0.0045710282519349	sbr	8596
hcp	global_slope	EUR weights -> pooled zanc (secondary)	SCZ25_EUR	full	SBayesRC	zanc	-0.0317693113805925	0.0104719807684563	0.0024230038268786	sbrc	-0.0308707370388737	0.0103646924787641	0.0029057462757064	sbrc	8596
hcp	global_slope	EUR weights -> pooled zanc (secondary)	SCZ25_EUR	full	PRSCSX	zanc	-0.0228480055402157	0.0103982193852154	0.0280270347762337	csx	-0.0262874896981886	0.010291125641059	0.0106558609552145	csx	8596
