method	trait_arm	discovery_ancestry	target_stratum	design	score	discovery_gwas	phenotype	threshold	n	n_families	n_snps	beta	se	p	p_adj
CT	SCZ25_AFR	AFR	full	strata_only	zanc	2025 SCZ AFR (MVP+AoU+GPC+MGS)	baseline_thickness	0p1	8596	7198	101314.0	-0.0225426242003766	0.0109408300510264	0.0393894337322657	0.315115469858126
CT	SCZ25_AFR	AFR	full	strata_only	zanc	2025 SCZ AFR (MVP+AoU+GPC+MGS)	slope_PC1	1e-5	8596	7198	120.0	0.0197183912995088	0.010831712461469	0.0687301599520793	0.549841279616635
CT	SCZ25_AFR	AFR	full	strata_only	zanc	2025 SCZ AFR (MVP+AoU+GPC+MGS)	global_slope	0p05	8596	7198	64868.0	0.0098952442339612	0.0105391529607622	0.347808233147109	1.0
CT	SCZ25_EAS	EAS	full	strata_only	raw	2025 SCZ EAS (PGC3 asian)	slope_PC3	5e-8	8596	7198	15.0	-0.0364596648063681	0.011892287142685	0.0021776303850553	0.0174210430804426
CT	SCZ25_EAS	EAS	full	strata_only	raw	2025 SCZ EAS (PGC3 asian)	slope_PC1	0p01	8596	7198	10552.0	0.0333608445407337	0.0129220562916718	0.0098489433817577	0.0787915470540617
CT	SCZ25_EAS	EAS	full	strata_only	raw	2025 SCZ EAS (PGC3 asian)	baseline_thickness	5e-8	8596	7198	15.0	0.0293227116589609	0.0116685396203285	0.0119900815391649	0.0959206523133192
CT	SCZ25_EAS	EAS	full	strata_only	raw	2025 SCZ EAS (PGC3 asian)	slope_PC2	0p001	8596	7198	1811.0	-0.0259803821885417	0.011302322983965	0.0215481929724245	0.172385543779396
CT	SCZ25_EAS	EAS	full	strata_only	raw	2025 SCZ EAS (PGC3 asian)	global_slope	0p01	8596	7198	10552.0	0.0263425604047408	0.0123575195772501	0.0330607576164611	0.264486060931689
CT	SCZ25_EAS	EAS	EUR	strata_only	raw	2025 SCZ EAS (PGC3 asian)	slope_PC1	0p01	4308	3601	10552.0	0.0423600200988879	0.0152533860126756	0.005510525115195	0.0440842009215604
CT	SCZ25_EAS	EAS	EUR	strata_only	raw	2025 SCZ EAS (PGC3 asian)	baseline_thickness	1	4308	3601	231619.0	-0.0375030773881995	0.0154667031831187	0.015359449949874	0.122875599598992
CT	SCZ25_EAS	EAS	EUR	strata_only	raw	2025 SCZ EAS (PGC3 asian)	slope_PC2	0p01	4308	3601	10552.0	-0.0372804725351888	0.0155552426690694	0.0165902487660282	0.132721990128225
CT	SCZ25_EAS	EAS	EUR	strata_only	raw	2025 SCZ EAS (PGC3 asian)	slope_PC3	1e-5	4308	3601	94.0	-0.0305367266103791	0.015401336431718	0.047462004656356	0.379696037250848
CT	SCZ25_EAS	EAS	EUR	strata_only	raw	2025 SCZ EAS (PGC3 asian)	global_slope	0p01	4308	3601	10552.0	0.0262431014639401	0.0145729544591684	0.0718060615120663	0.57444849209653
