method	trait_arm	discovery_ancestry	disorder	threshold	phenotype	analysis	stratum	n	n_families	beta	se	p	chisq	df	n_thresholds	p_adj
CT	SCZ25_EUR	EUR	SCZ25EUR	1e-5	baseline_thickness	within_stratum	EURlike	5665	4676	-0.0066592765265062	0.0134256088631605	0.619904570294472			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	5e-8	baseline_thickness	within_stratum	EURlike	5665	4676	-0.0060970580748772	0.0133780898857503	0.648587656831043			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p001	baseline_thickness	within_stratum	cluster1	1623	1397	0.0003633598095301	0.0254011557881576	0.988588541028123			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p01	baseline_thickness	within_stratum	cluster1	1623	1397	0.0046536959890504	0.0270101614530939	0.863227870265992			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p05	baseline_thickness	within_stratum	cluster1	1623	1397	0.0455115206605466	0.0293519291068741	0.121207460684068			8	0.96965968547254
CT	SCZ25_EUR	EUR	SCZ25EUR	0p1	baseline_thickness	within_stratum	cluster1	1623	1397	0.0388080450054101	0.0305838835769145	0.204658644027579			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p5	baseline_thickness	within_stratum	cluster1	1623	1397	0.0444060840464114	0.0320286744500448	0.165802624135437			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	1	baseline_thickness	within_stratum	cluster1	1623	1397	0.0368161405267346	0.0320523419982491	0.2508814947599			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	1e-5	baseline_thickness	within_stratum	cluster1	1623	1397	-0.0142077885221161	0.025383001912307	0.575737353881112			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	5e-8	baseline_thickness	within_stratum	cluster1	1623	1397	-0.0083031414293539	0.0250673471722615	0.740511544800207			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p001	baseline_thickness	within_stratum	cluster2	928	824	-0.0245723413613436	0.033662411157932	0.465600034337708			8	1.0
