disorder	threshold	stratum	phenotype	beta	n_random_sets	null_mean	null_sd	pctile
SCZ	0p5	EUR	slope_topDelta	-0.04317925037720076	1000	-0.042254047171573376	0.0058986229938745175	43.3
SCZ	0p5	EUR	slope_topC3	-0.03740272879131656	1000	-0.042254047171573376	0.0058986229938745175	78.0
SCZ	0p5	EUR	global_slope	-0.04718852750931273	1000	-0.042254047171573376	0.0058986229938745175	19.3
SCZ	0p01	EUR	slope_topDelta	-0.01629699397649529	1000	-0.018524184682316758	0.0069640420599701765	65.5
SCZ	0p01	EUR	slope_topC3	-0.012684775526838584	1000	-0.018524184682316758	0.0069640420599701765	80.4
SCZ	0p01	EUR	global_slope	-0.021055753671458552	1000	-0.018524184682316758	0.0069640420599701765	37.6
MDD	0p5	EUR	slope_topDelta	-0.015237849389060294	1000	-0.013793792952083246	0.009121274883041134	44.7
MDD	0p5	EUR	slope_topC3	-0.007571306661685212	1000	-0.013793792952083246	0.009121274883041134	75.6
MDD	0p5	EUR	global_slope	-0.015124654994732053	1000	-0.013793792952083246	0.009121274883041134	45.2
MDD	0p01	EUR	slope_topDelta	-0.022664074055179985	1000	-0.01706723114216425	0.0070847038094834225	21.8
MDD	0p01	EUR	slope_topC3	-0.011241210332844904	1000	-0.01706723114216425	0.0070847038094834225	80.30000000000001
MDD	0p01	EUR	global_slope	-0.019107396007363893	1000	-0.01706723114216425	0.0070847038094834225	40.699999999999996
SCZ	0p5	full	slope_topDelta	-0.043903424390727405	1000	-0.03926058159060631	0.00836641459039147	31.5
SCZ	0p5	full	slope_topC3	-0.03918508790564599	1000	-0.03926058159060631	0.00836641459039147	53.800000000000004
SCZ	0p5	full	global_slope	-0.04357177551041879	1000	-0.03926058159060631	0.00836641459039147	32.800000000000004
SCZ	0p01	full	slope_topDelta	-0.018455923461949398	1000	-0.018457316883092118	0.0073745848810256335	53.800000000000004
SCZ	0p01	full	slope_topC3	-0.019746168902720615	1000	-0.018457316883092118	0.0073745848810256335	49.3
SCZ	0p01	full	global_slope	-0.02041032650640474	1000	-0.018457316883092118	0.0073745848810256335	45.4
MDD	0p5	full	slope_topDelta	-0.056365284454250666	1000	-0.04969386208968723	0.014939924444785889	34.8
MDD	0p5	full	slope_topC3	-0.03862879699163053	1000	-0.04969386208968723	0.014939924444785889	78.10000000000001
MDD	0p5	full	global_slope	-0.055881527670165784	1000	-0.04969386208968723	0.014939924444785889	35.6
MDD	0p01	full	slope_topDelta	-0.048844149066439885	1000	-0.04129916086066458	0.010543505795592358	25.7
MDD	0p01	full	slope_topC3	-0.0317578207688921	1000	-0.04129916086066458	0.010543505795592358	81.0
MDD	0p01	full	global_slope	-0.04575528331996791	1000	-0.04129916086066458	0.010543505795592358	35.9
