phenotype	n_snps	n_mean	lambda_gc	n_p5e8	n_p1e5	min_p	n_chr
baseline_thickness	9413281	7893	1.0363	0	302	8.23173619389655e-08	22
global_slope	9413281	7893	1.0139	0	117	5.10916678796946e-07	22
slope_PC1	9413281	7893	1.0142	0	50	1.63477820274702e-06	22
slope_PC2	9413281	7893	1.0358	1	121	2.90439578631498e-08	22
slope_PC3	9413281	7893	1.0048	2	107	2.02766809916574e-08	22
