method	trait	trait_arm	score	disorder	threshold	phenotype	stratum	n	n_families	n_multi_families	n_pairs	beta_within	se_within	p_within	beta_between	se_between	p_between	beta_diff	se_diff	z_diff	p_diff
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p001	baseline_thickness	EUR	4116	3447	655	686	0.0333658566403973	0.0402563197173017	0.407469200543977	-0.0139505087145097	0.0179845540532083	0.437981972935523	-0.047316365354907	0.0433269721991731	-1.09207643537598	0.274799506069031
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p01	baseline_thickness	EUR	4116	3447	655	686	0.00151452499911188	0.0412618442252116	0.970730215580763	-0.0116315565008552	0.0175260079605888	0.506942520456761	-0.0131460814999671	0.0443518296271751	-0.296404491324801	0.76692119577652
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p05	baseline_thickness	EUR	4116	3447	655	686	0.0379987381057827	0.0407855404480544	0.351823197940444	-0.00345177780590478	0.0174122606245789	0.842870125793131	-0.0414505159116875	0.0440631947310637	-0.940706096429856	0.346855493947315
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p1	baseline_thickness	EUR	4116	3447	655	686	0.0337994242944555	0.0423630417179255	0.425223366892702	-0.00276870285367106	0.01736632055534	0.873339779273086	-0.0365681271481266	0.0455223256574573	-0.803300943437984	0.421800812787547
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p5	baseline_thickness	EUR	4116	3447	655	686	0.0290496818441329	0.0425461702556508	0.494969818126983	0.0151321800745101	0.0173342741707054	0.38274360078393	-0.0139175017696228	0.0457646553212636	-0.304110271822725	0.7610438814527
CT	SCZ	SCZ_pooled	raw	SCZpooled	1	baseline_thickness	EUR	4116	3447	655	686	0.0343783169277753	0.0429315283808048	0.423533991813378	0.0161114249530644	0.0173184367502954	0.352277913645704	-0.0182668919747109	0.0461235547573685	-0.396042587584657	0.692073611038954
CT	SCZ	SCZ_pooled	raw	SCZpooled	1e-5	baseline_thickness	EUR	4116	3447	655	686	0.0280084802719161	0.039703801403343	0.480759995677034	-0.0116564923639984	0.0185129474275335	0.528970587101399	-0.0396649726359145	0.0426233180525659	-0.930593263222657	0.352064000615877
CT	SCZ	SCZ_pooled	raw	SCZpooled	5e-8	baseline_thickness	EUR	4116	3447	655	686	0.0140035817399689	0.0389262385723146	0.719138595059488	-0.020817156762017	0.0186802690911696	0.26518608371064	-0.0348207385019859	0.0419276898446147	-0.830495041129922	0.406258950369396
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p001	baseline_thickness	full	8082	6789	1250	1339	-0.0072686582633814	0.029457186495692	0.805136179898617	-0.00415999490614716	0.0123068672924338	0.735356954118544	0.00310866335723423	0.0318577738261979	0.0975794283113986	0.922266260365193
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p01	baseline_thickness	full	8082	6789	1250	1339	-0.017477898808415	0.0337238136264201	0.604356853929438	-0.00287579035539242	0.0136814253446821	0.833520451179124	0.0146021084530226	0.0363190099865768	0.402051390123778	0.687646206113469
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p05	baseline_thickness	full	8082	6789	1250	1339	0.00632102271873555	0.0358850788579184	0.86020517550302	0.0064620786254504	0.0146125294004344	0.658337803751425	0.000141055906714854	0.0386084639763293	0.00365349698453001	0.997084937648167
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p1	baseline_thickness	full	8082	6789	1250	1339	0.00867090562711729	0.0379196895714714	0.819163563563711	0.00669482135310932	0.0149777070835915	0.654899531066457	-0.00197608427400797	0.0406221322730841	-0.0486455083333307	0.96120180246678
