entrez	set	symbol
10010	MDD_highconf	TANK
1007	MDD_highconf	CDH9
10082	MDD_highconf	GPC6
10102	MDD_highconf	TSFM
1012	MDD_highconf	CDH13
1016	MDD_highconf	CDH18
10198	MDD_highconf	MPHOSPH9
10242	MDD_highconf	KCNMB2
10667	MDD_highconf	FARS2
11014	MDD_highconf	KDELR2
11069	MDD_highconf	RAPGEF4
1137	MDD_highconf	CHRNA4
114805	MDD_highconf	GALNT13
1164	MDD_highconf	CKS2
120892	MDD_highconf	LRRK2
121665	MDD_highconf	SPPL3
123624	MDD_highconf	AGBL1
129684	MDD_highconf	CNTNAP5
135138	MDD_highconf	PACRG
136332	MDD_highconf	LRGUK
137868	MDD_highconf	SGCZ
1434	MDD_highconf	CSE1L
144402	MDD_highconf	CPNE8
152330	MDD_highconf	CNTN4
152518	MDD_highconf	NFXL1
154075	MDD_highconf	SAMD3
154215	MDD_highconf	NKAIN2
154664	MDD_highconf	ABCA13
155185	MDD_highconf	AMZ1
158038	MDD_highconf	LINGO2
1607	MDD_highconf	DGKB
160851	MDD_highconf	DGKH
1630	MDD_highconf	DCC
168451	MDD_highconf	THAP5
170384	MDD_highconf	FUT11
1740	MDD_highconf	DLG2
1743	MDD_highconf	DLST
1993	MDD_highconf	ELAVL2
1996	MDD_highconf	ELAVL4
2066	MDD_highconf	ERBB4
2099	MDD_highconf	ESR1
2104	MDD_highconf	ESRRG
2115	MDD_highconf	ETV1
2120	MDD_highconf	ETV6
217	MDD_highconf	ALDH2
2186	MDD_highconf	BPTF
221935	MDD_highconf	SDK1
2262	MDD_highconf	GPC5
22941	MDD_highconf	SHANK2
22986	MDD_highconf	SORCS3
23051	MDD_highconf	ZHX3
23080	MDD_highconf	AVL9
23090	MDD_highconf	ZNF423
2319	MDD_highconf	FLOT2
23228	MDD_highconf	PLCL2
23245	MDD_highconf	ASTN2
23413	MDD_highconf	NCS1
23596	MDD_highconf	OPN3
23608	MDD_highconf	MKRN1
23613	MDD_highconf	ZMYND8
23637	MDD_highconf	RABGAP1
23762	MDD_highconf	OSBP2
2560	MDD_highconf	GABRB1
25921	MDD_highconf	ZDHHC5
26040	MDD_highconf	SETBP1
26053	MDD_highconf	AUTS2
26058	MDD_highconf	GIGYF2
26137	MDD_highconf	ZBTB20
27075	MDD_highconf	TSPAN13
27086	MDD_highconf	FOXP1
27156	MDD_highconf	RSPH14
27445	MDD_highconf	PCLO
2775	MDD_highconf	GNAO1
2823	MDD_highconf	GPM6A
2876	MDD_highconf	GPX1
29119	MDD_highconf	CTNNA3
