gene_original,gene_new
ALMS1P,ALMS1P1
B3GALTL,B3GLCT
BAI3,ADGRB3
BRE,BABAM2
CEBPZ-AS1,CEBPZOS
CRHR1-IT1,LINC02210
EFTUD1P1,EFL1P1
GPR98,ADGRV1
LINC00925,MIR9-3HG
PCNXL3,PCNX3
WBSCR17,GALNT17
