set	gene
SCZ_prioritised	AC068490.2
SCZ_prioritised	ACE
SCZ_prioritised	ACTR1B
SCZ_prioritised	ADGRV1
SCZ_prioritised	AKT3
SCZ_prioritised	ALMS1P1
SCZ_prioritised	ASPHD1
SCZ_prioritised	ATG13
SCZ_prioritised	ATP2A2
SCZ_prioritised	BCL11B
SCZ_prioritised	BCL2L12
SCZ_prioritised	BNIP3L
SCZ_prioritised	C12orf43
SCZ_prioritised	CACNA1C
SCZ_prioritised	CALN1
SCZ_prioritised	CISD2
SCZ_prioritised	CLCN3
SCZ_prioritised	CNTN4
SCZ_prioritised	CREB3L4
SCZ_prioritised	CRHR1
SCZ_prioritised	CSMD1
SCZ_prioritised	CTD-2008L17.2
SCZ_prioritised	CUL9
SCZ_prioritised	CYP7B1
SCZ_prioritised	DARS2
SCZ_prioritised	DCC
SCZ_prioritised	DCLK3
SCZ_prioritised	DDHD2
SCZ_prioritised	DLGAP2
SCZ_prioritised	DNAJA3
SCZ_prioritised	DPYD
SCZ_prioritised	EMB
SCZ_prioritised	EMX1
SCZ_prioritised	ENOX1
SCZ_prioritised	ENSG00000262319
SCZ_prioritised	EPN2
SCZ_prioritised	EYS
SCZ_prioritised	FAM114A2
SCZ_prioritised	FAM216A
SCZ_prioritised	FAM83D
SCZ_prioritised	FTSJ2
SCZ_prioritised	FURIN
SCZ_prioritised	GABBR2
SCZ_prioritised	GALNT17
SCZ_prioritised	GATAD2A
SCZ_prioritised	GPM6A
SCZ_prioritised	GRAMD1B
SCZ_prioritised	GRIN2A
SCZ_prioritised	GRM1
SCZ_prioritised	HYI
SCZ_prioritised	IL1RAPL1
SCZ_prioritised	IMMP2L
SCZ_prioritised	INO80E
SCZ_prioritised	IRF3
SCZ_prioritised	KANSL1
SCZ_prioritised	KIAA1549
SCZ_prioritised	KLF6
SCZ_prioritised	LINC00320
SCZ_prioritised	LINC01068
SCZ_prioritised	LINC01088
SCZ_prioritised	LRRC4B
SCZ_prioritised	LSM1
SCZ_prioritised	MAD1L1
SCZ_prioritised	MAN2A1
SCZ_prioritised	MAPK3
SCZ_prioritised	MAPT
SCZ_prioritised	MLXIP
SCZ_prioritised	MOB4
SCZ_prioritised	MSI2
SCZ_prioritised	MYO19
SCZ_prioritised	NAB2
SCZ_prioritised	NDFIP2
SCZ_prioritised	NEBL
SCZ_prioritised	NEGR1
SCZ_prioritised	NLGN4X
SCZ_prioritised	NRIP1
SCZ_prioritised	NXPH1
SCZ_prioritised	OPCML
SCZ_prioritised	PAK6
SCZ_prioritised	PCCB
SCZ_prioritised	PCDHA2
SCZ_prioritised	PCDHA8
SCZ_prioritised	PCGF3
SCZ_prioritised	PCNX3
SCZ_prioritised	PDE4B
SCZ_prioritised	PDIA3
SCZ_prioritised	PJA1
SCZ_prioritised	PLCH2
SCZ_prioritised	PSMA4
SCZ_prioritised	PTPRD
SCZ_prioritised	R3HDM2
SCZ_prioritised	RERE
SCZ_prioritised	RNASEH2C
SCZ_prioritised	RP11-10L12.4
SCZ_prioritised	RP11-165J3.6
SCZ_prioritised	RP11-399D6.2
SCZ_prioritised	RP11-490G2.2
SCZ_prioritised	RP11-507B12.2
SCZ_prioritised	RP11-53O19.3
SCZ_prioritised	RP11-586K2.1
SCZ_prioritised	RP11-73M18.2
SCZ_prioritised	SETD6
SCZ_prioritised	SF3B1
SCZ_prioritised	SGCD
SCZ_prioritised	SLC39A8
SCZ_prioritised	SLC4A10
SCZ_prioritised	SLC9B1
SCZ_prioritised	SNAP91
SCZ_prioritised	SP4
SCZ_prioritised	THAP8
SCZ_prioritised	THOC7
SCZ_prioritised	TMTC1
SCZ_prioritised	TRPC4
SCZ_prioritised	TSNARE1
SCZ_prioritised	TXNRD1
SCZ_prioritised	WDR76
SCZ_prioritised	WSCD2
SCZ_prioritised	ZNF804A
SCZ_prioritised	ZNF823
SCZ_prioritised	ZNF835
SCZ_prioritised_pc	ACE
SCZ_prioritised_pc	ACTR1B
SCZ_prioritised_pc	ADGRV1
SCZ_prioritised_pc	AKT3
SCZ_prioritised_pc	ASPHD1
SCZ_prioritised_pc	ATG13
SCZ_prioritised_pc	ATP2A2
SCZ_prioritised_pc	BCL11B
SCZ_prioritised_pc	BCL2L12
SCZ_prioritised_pc	BNIP3L
SCZ_prioritised_pc	C12orf43
SCZ_prioritised_pc	CACNA1C
SCZ_prioritised_pc	CALN1
SCZ_prioritised_pc	CISD2
SCZ_prioritised_pc	CLCN3
SCZ_prioritised_pc	CNTN4
SCZ_prioritised_pc	CREB3L4
SCZ_prioritised_pc	CRHR1
SCZ_prioritised_pc	CSMD1
SCZ_prioritised_pc	CUL9
SCZ_prioritised_pc	CYP7B1
SCZ_prioritised_pc	DARS2
SCZ_prioritised_pc	DCC
SCZ_prioritised_pc	DCLK3
SCZ_prioritised_pc	DDHD2
SCZ_prioritised_pc	DLGAP2
SCZ_prioritised_pc	DNAJA3
SCZ_prioritised_pc	DPYD
SCZ_prioritised_pc	EMB
SCZ_prioritised_pc	EMX1
SCZ_prioritised_pc	ENOX1
SCZ_prioritised_pc	EPN2
SCZ_prioritised_pc	EYS
