set	gene
SCZ_prioritised_pc	FAM114A2
SCZ_prioritised_pc	FAM216A
SCZ_prioritised_pc	FAM83D
SCZ_prioritised_pc	FTSJ2
SCZ_prioritised_pc	FURIN
SCZ_prioritised_pc	GABBR2
SCZ_prioritised_pc	GALNT17
SCZ_prioritised_pc	GATAD2A
SCZ_prioritised_pc	GPM6A
SCZ_prioritised_pc	GRAMD1B
SCZ_prioritised_pc	GRIN2A
SCZ_prioritised_pc	GRM1
SCZ_prioritised_pc	HYI
SCZ_prioritised_pc	IL1RAPL1
SCZ_prioritised_pc	IMMP2L
SCZ_prioritised_pc	INO80E
SCZ_prioritised_pc	IRF3
SCZ_prioritised_pc	KANSL1
SCZ_prioritised_pc	KIAA1549
SCZ_prioritised_pc	KLF6
SCZ_prioritised_pc	LRRC4B
SCZ_prioritised_pc	LSM1
SCZ_prioritised_pc	MAD1L1
SCZ_prioritised_pc	MAN2A1
SCZ_prioritised_pc	MAPK3
SCZ_prioritised_pc	MAPT
SCZ_prioritised_pc	MLXIP
SCZ_prioritised_pc	MOB4
SCZ_prioritised_pc	MSI2
SCZ_prioritised_pc	MYO19
SCZ_prioritised_pc	NAB2
SCZ_prioritised_pc	NDFIP2
SCZ_prioritised_pc	NEBL
SCZ_prioritised_pc	NEGR1
SCZ_prioritised_pc	NLGN4X
SCZ_prioritised_pc	NRIP1
SCZ_prioritised_pc	NXPH1
SCZ_prioritised_pc	OPCML
SCZ_prioritised_pc	PAK6
SCZ_prioritised_pc	PCCB
SCZ_prioritised_pc	PCDHA2
SCZ_prioritised_pc	PCDHA8
SCZ_prioritised_pc	PCGF3
SCZ_prioritised_pc	PCNX3
SCZ_prioritised_pc	PDE4B
SCZ_prioritised_pc	PDIA3
SCZ_prioritised_pc	PJA1
SCZ_prioritised_pc	PLCH2
SCZ_prioritised_pc	PSMA4
SCZ_prioritised_pc	PTPRD
SCZ_prioritised_pc	R3HDM2
SCZ_prioritised_pc	RERE
SCZ_prioritised_pc	RNASEH2C
SCZ_prioritised_pc	RP11-73M18.2
SCZ_prioritised_pc	SETD6
SCZ_prioritised_pc	SF3B1
SCZ_prioritised_pc	SGCD
SCZ_prioritised_pc	SLC39A8
SCZ_prioritised_pc	SLC4A10
SCZ_prioritised_pc	SLC9B1
SCZ_prioritised_pc	SNAP91
SCZ_prioritised_pc	SP4
SCZ_prioritised_pc	THAP8
SCZ_prioritised_pc	THOC7
SCZ_prioritised_pc	TMTC1
SCZ_prioritised_pc	TRPC4
SCZ_prioritised_pc	TSNARE1
SCZ_prioritised_pc	TXNRD1
SCZ_prioritised_pc	WDR76
SCZ_prioritised_pc	WSCD2
SCZ_prioritised_pc	ZNF804A
SCZ_prioritised_pc	ZNF823
SCZ_prioritised_pc	ZNF835
SCZ_prio_finemap	AC068490.2
SCZ_prio_finemap	ACTR1B
SCZ_prio_finemap	ADGRV1
SCZ_prio_finemap	ATP2A2
SCZ_prio_finemap	BCL11B
SCZ_prio_finemap	BCL2L12
SCZ_prio_finemap	BNIP3L
SCZ_prio_finemap	C12orf43
SCZ_prio_finemap	CACNA1C
SCZ_prio_finemap	CALN1
SCZ_prio_finemap	CNTN4
SCZ_prio_finemap	CSMD1
SCZ_prio_finemap	CTD-2008L17.2
SCZ_prio_finemap	CUL9
SCZ_prio_finemap	DCC
SCZ_prio_finemap	DLGAP2
SCZ_prio_finemap	DPYD
SCZ_prio_finemap	EMX1
SCZ_prio_finemap	ENOX1
SCZ_prio_finemap	EPN2
SCZ_prio_finemap	EYS
SCZ_prio_finemap	FURIN
SCZ_prio_finemap	GABBR2
SCZ_prio_finemap	GALNT17
SCZ_prio_finemap	GPM6A
SCZ_prio_finemap	GRAMD1B
SCZ_prio_finemap	GRIN2A
SCZ_prio_finemap	GRM1
SCZ_prio_finemap	IL1RAPL1
SCZ_prio_finemap	IMMP2L
SCZ_prio_finemap	IRF3
SCZ_prio_finemap	KIAA1549
SCZ_prio_finemap	KLF6
SCZ_prio_finemap	LINC00320
SCZ_prio_finemap	LINC01088
SCZ_prio_finemap	LRRC4B
SCZ_prio_finemap	MAD1L1
SCZ_prio_finemap	MAN2A1
SCZ_prio_finemap	MSI2
SCZ_prio_finemap	NAB2
SCZ_prio_finemap	NEBL
SCZ_prio_finemap	NEGR1
SCZ_prio_finemap	NLGN4X
SCZ_prio_finemap	NRIP1
SCZ_prio_finemap	NXPH1
SCZ_prio_finemap	OPCML
SCZ_prio_finemap	PAK6
SCZ_prio_finemap	PCGF3
SCZ_prio_finemap	PCNX3
SCZ_prio_finemap	PDE4B
SCZ_prio_finemap	PJA1
SCZ_prio_finemap	PLCH2
SCZ_prio_finemap	PTPRD
SCZ_prio_finemap	R3HDM2
SCZ_prio_finemap	RP11-399D6.2
SCZ_prio_finemap	RP11-507B12.2
SCZ_prio_finemap	SGCD
SCZ_prio_finemap	SLC39A8
SCZ_prio_finemap	SLC4A10
SCZ_prio_finemap	SNAP91
SCZ_prio_finemap	SP4
SCZ_prio_finemap	THAP8
SCZ_prio_finemap	TMTC1
SCZ_prio_finemap	TRPC4
SCZ_prio_finemap	TSNARE1
SCZ_prio_finemap	TXNRD1
SCZ_prio_finemap	WSCD2
SCZ_prio_finemap	ZNF804A
SCZ_prio_finemap	ZNF823
SCZ_prio_finemap	ZNF835
SCZ_prio_smr	ACE
SCZ_prio_smr	AKT3
SCZ_prio_smr	ALMS1P1
SCZ_prio_smr	ASPHD1
SCZ_prio_smr	ATG13
SCZ_prio_smr	CISD2
SCZ_prio_smr	CLCN3
SCZ_prio_smr	CREB3L4
SCZ_prio_smr	CRHR1
SCZ_prio_smr	CUL9
SCZ_prio_smr	CYP7B1
SCZ_prio_smr	DARS2
SCZ_prio_smr	DCLK3
SCZ_prio_smr	DDHD2
SCZ_prio_smr	DNAJA3
SCZ_prio_smr	EMB
SCZ_prio_smr	ENSG00000262319
SCZ_prio_smr	FAM114A2
SCZ_prio_smr	FAM216A
SCZ_prio_smr	FAM83D
SCZ_prio_smr	FTSJ2
SCZ_prio_smr	FURIN
SCZ_prio_smr	GATAD2A
SCZ_prio_smr	HYI
SCZ_prio_smr	INO80E
SCZ_prio_smr	KANSL1
SCZ_prio_smr	LINC00320
SCZ_prio_smr	LINC01068
SCZ_prio_smr	LSM1
SCZ_prio_smr	MAPK3
SCZ_prio_smr	MAPT
SCZ_prio_smr	MLXIP
SCZ_prio_smr	MOB4
SCZ_prio_smr	MYO19
SCZ_prio_smr	NDFIP2
SCZ_prio_smr	PCCB
SCZ_prio_smr	PCDHA2
SCZ_prio_smr	PCDHA8
SCZ_prio_smr	PDIA3
SCZ_prio_smr	PSMA4
SCZ_prio_smr	RERE
SCZ_prio_smr	RNASEH2C
SCZ_prio_smr	RP11-10L12.4
SCZ_prio_smr	RP11-165J3.6
SCZ_prio_smr	RP11-490G2.2
SCZ_prio_smr	RP11-53O19.3
SCZ_prio_smr	RP11-586K2.1
SCZ_prio_smr	RP11-73M18.2
SCZ_prio_smr	SETD6
SCZ_prio_smr	SF3B1
SCZ_prio_smr	SLC9B1
SCZ_prio_smr	SNAP91
SCZ_prio_smr	THOC7
SCZ_prio_smr	WDR76
SCZ_prio_smr	ZNF823
SCZ_prio_rare	BCL11B
SCZ_prio_rare	CACNA1C
SCZ_prio_rare	GRIN2A
SCZ_prio_rare	KANSL1
SCZ_prio_rare	RERE
SCZ_prio_rare	SLC39A8
SCZ_prio_rare	SP4
SCZ_locus_pool	ABCB9
SCZ_locus_pool	ABHD2
SCZ_locus_pool	AC003088.1
SCZ_locus_pool	AC004159.1
SCZ_locus_pool	AC005609.2
SCZ_locus_pool	AC007228.5
SCZ_locus_pool	AC007391.2
SCZ_locus_pool	AC008085.1
SCZ_locus_pool	AC009518.2
SCZ_locus_pool	AC009518.3
SCZ_locus_pool	AC009518.4
SCZ_locus_pool	AC010295.1
SCZ_locus_pool	AC011330.5
SCZ_locus_pool	AC012457.2
SCZ_locus_pool	AC013467.1
SCZ_locus_pool	AC018512.1
SCZ_locus_pool	AC068490.2
SCZ_locus_pool	AC073934.6
SCZ_locus_pool	AC074091.13
SCZ_locus_pool	AC078842.3
SCZ_locus_pool	AC079807.4
SCZ_locus_pool	AC083873.4
SCZ_locus_pool	AC091969.1
SCZ_locus_pool	AC092625.1
SCZ_locus_pool	AC103965.1
SCZ_locus_pool	AC104451.2
SCZ_locus_pool	AC104801.1
SCZ_locus_pool	AC105049.1
SCZ_locus_pool	AC108056.1
SCZ_locus_pool	AC156455.1
SCZ_locus_pool	ACE
SCZ_locus_pool	ACTR1B
SCZ_locus_pool	ADGRB3
SCZ_locus_pool	ADGRV1
SCZ_locus_pool	AFG3L1P
SCZ_locus_pool	AGBL4
SCZ_locus_pool	AIG1
SCZ_locus_pool	AKAP6
SCZ_locus_pool	AKT3
SCZ_locus_pool	ALMS1
SCZ_locus_pool	ALMS1P1
SCZ_locus_pool	ALPK3
SCZ_locus_pool	AMBRA1
SCZ_locus_pool	ANKRD11
SCZ_locus_pool	ANKRD45
SCZ_locus_pool	AP3B2
SCZ_locus_pool	AP3D1
SCZ_locus_pool	AP5B1
SCZ_locus_pool	APOPT1
SCZ_locus_pool	ARF5
SCZ_locus_pool	ARHGAP1
SCZ_locus_pool	ARHGAP44
SCZ_locus_pool	ARL17A
SCZ_locus_pool	ARL17B
SCZ_locus_pool	ARL3
SCZ_locus_pool	ARL5B
SCZ_locus_pool	ARTN
SCZ_locus_pool	AS3MT
SCZ_locus_pool	ASIC1
SCZ_locus_pool	ASPHD1
SCZ_locus_pool	ATF4
SCZ_locus_pool	ATG13
SCZ_locus_pool	ATP2A2
SCZ_locus_pool	ATXN7
SCZ_locus_pool	B3GAT1
SCZ_locus_pool	BABAM2
SCZ_locus_pool	BAG5
SCZ_locus_pool	BBX
SCZ_locus_pool	BCL11B
SCZ_locus_pool	BCL2L12
SCZ_locus_pool	BCL7A
SCZ_locus_pool	BHLHE22
SCZ_locus_pool	BNIP3L
SCZ_locus_pool	BRD8
SCZ_locus_pool	BRINP2
SCZ_locus_pool	BTBD18
SCZ_locus_pool	C10orf32
SCZ_locus_pool	C10orf95
SCZ_locus_pool	C11orf31
SCZ_locus_pool	C12orf43
SCZ_locus_pool	C14orf2
SCZ_locus_pool	C1orf106
SCZ_locus_pool	C1orf216
SCZ_locus_pool	C2orf82
SCZ_locus_pool	CA7
SCZ_locus_pool	CACNA1C
SCZ_locus_pool	CACNA1I
SCZ_locus_pool	CACNA1S
SCZ_locus_pool	CACNB2
SCZ_locus_pool	CALN1
SCZ_locus_pool	CAMKK2
SCZ_locus_pool	CATSPER2
SCZ_locus_pool	CATSPER2P1
SCZ_locus_pool	CCDC79
SCZ_locus_pool	CCDC92
SCZ_locus_pool	CDC20
SCZ_locus_pool	CDC25C
SCZ_locus_pool	CDH16
SCZ_locus_pool	CDIP1
SCZ_locus_pool	CDK10
SCZ_locus_pool	CEBPZOS
SCZ_locus_pool	CENPL
SCZ_locus_pool	CHMP1A
SCZ_locus_pool	CHRNA2
SCZ_locus_pool	CHRNA3
SCZ_locus_pool	CHRNA5
SCZ_locus_pool	CHRNB4
SCZ_locus_pool	CILP2
SCZ_locus_pool	CISD2
SCZ_locus_pool	CKB
SCZ_locus_pool	CLCN3
SCZ_locus_pool	CLIC1P1
SCZ_locus_pool	CLSPN
SCZ_locus_pool	CLU
SCZ_locus_pool	CNKSR2
SCZ_locus_pool	CNNM2
SCZ_locus_pool	CNNM3
SCZ_locus_pool	CNOT1
SCZ_locus_pool	CNTN4
SCZ_locus_pool	COQ10B
SCZ_locus_pool	CORO7-PAM16
SCZ_locus_pool	CPEB1
SCZ_locus_pool	CPNE7
SCZ_locus_pool	CREB3L1
SCZ_locus_pool	CREB3L4
SCZ_locus_pool	CRHR1
SCZ_locus_pool	CRTC2
SCZ_locus_pool	CSDE1
SCZ_locus_pool	CSMD1
SCZ_locus_pool	CSPG4P11
SCZ_locus_pool	CTAGE16P
SCZ_locus_pool	CTB-35F21.1
SCZ_locus_pool	CTC-498M16.2
SCZ_locus_pool	CTD-2008L17.2
SCZ_locus_pool	CTD-2134A5.4
SCZ_locus_pool	CTD-2232E5.2
SCZ_locus_pool	CTD-2320B12.1
SCZ_locus_pool	CTD-2320B12.2
SCZ_locus_pool	CTD-2501B8.5
SCZ_locus_pool	CTD-2544L4.1
SCZ_locus_pool	CTD-3224K15.3
SCZ_locus_pool	CTNND1
SCZ_locus_pool	CUL3
SCZ_locus_pool	CUL9
SCZ_locus_pool	CXXC5
SCZ_locus_pool	CYP7B1
SCZ_locus_pool	DARS2
SCZ_locus_pool	DBNDD1
SCZ_locus_pool	DCC
SCZ_locus_pool	DCLK3
SCZ_locus_pool	DDHD2
SCZ_locus_pool	DEF8
SCZ_locus_pool	DENND4B
SCZ_locus_pool	DFNA5
SCZ_locus_pool	DGKI
SCZ_locus_pool	DGKZ
SCZ_locus_pool	DLGAP2
SCZ_locus_pool	DLX1
SCZ_locus_pool	DLX2
SCZ_locus_pool	DNAH10
SCZ_locus_pool	DNAJA3
SCZ_locus_pool	DNAJC11
SCZ_locus_pool	DND1P1
SCZ_locus_pool	DNMT3A
SCZ_locus_pool	DOC2A
SCZ_locus_pool	DOT1L
SCZ_locus_pool	DPEP1
SCZ_locus_pool	DPYD
SCZ_locus_pool	DRD2
SCZ_locus_pool	DTNB
SCZ_locus_pool	DYNC1LI2
SCZ_locus_pool	EFL1P1
SCZ_locus_pool	EFNA5
SCZ_locus_pool	EGLN1P1
SCZ_locus_pool	EGR1
SCZ_locus_pool	EIF5
SCZ_locus_pool	ELAC2
SCZ_locus_pool	ELAVL4
SCZ_locus_pool	ELL3
SCZ_locus_pool	ELOVL1
SCZ_locus_pool	EMB
SCZ_locus_pool	EMX1
SCZ_locus_pool	ENOX1
SCZ_locus_pool	ENSG00000262319
SCZ_locus_pool	ENSG00000265315
SCZ_locus_pool	ENSG00000265411
SCZ_locus_pool	ENSG00000266504
SCZ_locus_pool	ENSG00000278770
SCZ_locus_pool	EPHX2
SCZ_locus_pool	EPN2
SCZ_locus_pool	ESAM
SCZ_locus_pool	ETF1
SCZ_locus_pool	EXOC4
SCZ_locus_pool	EYS
SCZ_locus_pool	FAHD2B
SCZ_locus_pool	FAM109B
SCZ_locus_pool	FAM114A2
SCZ_locus_pool	FAM120A
SCZ_locus_pool	FAM120AOS
SCZ_locus_pool	FAM178B
SCZ_locus_pool	FAM186A
SCZ_locus_pool	FAM215B
SCZ_locus_pool	FAM216A
SCZ_locus_pool	FAM53C
SCZ_locus_pool	FAM83D
SCZ_locus_pool	FANCA
SCZ_locus_pool	FANCI
SCZ_locus_pool	FANCL
SCZ_locus_pool	FGFR1
SCZ_locus_pool	FHIT
SCZ_locus_pool	FOXN2
SCZ_locus_pool	FOXO3
SCZ_locus_pool	FOXP1
SCZ_locus_pool	FRMD5
SCZ_locus_pool	FRMPD4
SCZ_locus_pool	FTSJ2
SCZ_locus_pool	FURIN
SCZ_locus_pool	FUT10
SCZ_locus_pool	FUT9
SCZ_locus_pool	GABBR2
SCZ_locus_pool	GALNT10
SCZ_locus_pool	GALNT17
SCZ_locus_pool	GATAD2A
SCZ_locus_pool	GATAD2B
SCZ_locus_pool	GFRA3
SCZ_locus_pool	GIGYF2
SCZ_locus_pool	GLB1L2
SCZ_locus_pool	GLT8D1
SCZ_locus_pool	GLYCTK
SCZ_locus_pool	GMEB1
SCZ_locus_pool	GNAI2P1
SCZ_locus_pool	GNL3
SCZ_locus_pool	GPM6A
SCZ_locus_pool	GRAMD1B
SCZ_locus_pool	GRIN2A
SCZ_locus_pool	GRM1
SCZ_locus_pool	GRM3
SCZ_locus_pool	GULOP
SCZ_locus_pool	HAPLN4
SCZ_locus_pool	HARBI1
SCZ_locus_pool	HARS2
SCZ_locus_pool	HCN1
SCZ_locus_pool	HEATR5B
SCZ_locus_pool	HMGB3P24
SCZ_locus_pool	HMGB3P26
SCZ_locus_pool	HMOX2
SCZ_locus_pool	HNF1A
SCZ_locus_pool	HNRNPA1P39
SCZ_locus_pool	HSPA9
SCZ_locus_pool	HSPD1
SCZ_locus_pool	HSPE1
SCZ_locus_pool	HSPE1-MOB4
SCZ_locus_pool	HYI
SCZ_locus_pool	HYI-AS1
SCZ_locus_pool	IGKV2OR2-1
SCZ_locus_pool	IGSF9B
SCZ_locus_pool	IK
SCZ_locus_pool	IL1RAPL1
SCZ_locus_pool	IMMP2L
SCZ_locus_pool	INO80E
SCZ_locus_pool	IPO13
SCZ_locus_pool	IRF3
SCZ_locus_pool	KANSL1
SCZ_locus_pool	KANSL1-AS1
SCZ_locus_pool	KAT5
SCZ_locus_pool	KCNB1
SCZ_locus_pool	KCNG2
SCZ_locus_pool	KDM3B
SCZ_locus_pool	KDM4A
SCZ_locus_pool	KIAA1549
SCZ_locus_pool	KIF18A
SCZ_locus_pool	KIF21B
SCZ_locus_pool	KLC1
SCZ_locus_pool	KLF10
SCZ_locus_pool	KLF6
SCZ_locus_pool	KLHL20
SCZ_locus_pool	KLHL21
SCZ_locus_pool	KMT2E
SCZ_locus_pool	KRT18P50
SCZ_locus_pool	KRT8P21
SCZ_locus_pool	KRT8P26
SCZ_locus_pool	LETM2
SCZ_locus_pool	LIMA1
SCZ_locus_pool	LINC00320
SCZ_locus_pool	LINC00374
SCZ_locus_pool	LINC00461
SCZ_locus_pool	LINC00634
SCZ_locus_pool	LINC00637
SCZ_locus_pool	LINC00933
SCZ_locus_pool	LINC00966
SCZ_locus_pool	LINC01004
SCZ_locus_pool	LINC01068
SCZ_locus_pool	LINC01088
SCZ_locus_pool	LINC02210
SCZ_locus_pool	LPCAT4
SCZ_locus_pool	LRRC37A
SCZ_locus_pool	LRRC37A2
SCZ_locus_pool	LRRC37A4P
SCZ_locus_pool	LRRC4
SCZ_locus_pool	LRRC4B
SCZ_locus_pool	LSM1
SCZ_locus_pool	MAD1L1
SCZ_locus_pool	MAK16
SCZ_locus_pool	MAN2A1
SCZ_locus_pool	MANBA
SCZ_locus_pool	MAP3K11
SCZ_locus_pool	MAPK3
SCZ_locus_pool	MAPT
SCZ_locus_pool	MAPT-AS1
SCZ_locus_pool	MARK3
SCZ_locus_pool	MAU2
SCZ_locus_pool	MC1R
SCZ_locus_pool	MDK
SCZ_locus_pool	MED18
SCZ_locus_pool	MED19
SCZ_locus_pool	MED27
SCZ_locus_pool	MED8
SCZ_locus_pool	MEF2C
SCZ_locus_pool	MEF2C-AS1
SCZ_locus_pool	METTL15
SCZ_locus_pool	MFAP1
SCZ_locus_pool	MFAP3
SCZ_locus_pool	MGAT3
SCZ_locus_pool	MIEF1
SCZ_locus_pool	MIR137HG
SCZ_locus_pool	MIR4697
SCZ_locus_pool	MIR9-3
SCZ_locus_pool	MIR9-3HG
SCZ_locus_pool	MLXIP
SCZ_locus_pool	MMP16
SCZ_locus_pool	MOB4
SCZ_locus_pool	MPL
SCZ_locus_pool	MPP6
SCZ_locus_pool	MROH3P
SCZ_locus_pool	MRPL33
SCZ_locus_pool	MSANTD2
SCZ_locus_pool	MSI2
SCZ_locus_pool	MTND5P15
SCZ_locus_pool	MYO19
SCZ_locus_pool	MYT1L
SCZ_locus_pool	NAB2
SCZ_locus_pool	NAE1
SCZ_locus_pool	NAGA
SCZ_locus_pool	NDFIP2
SCZ_locus_pool	NDFIP2-AS1
SCZ_locus_pool	NDRG4
SCZ_locus_pool	NDUFA2
SCZ_locus_pool	NDUFAF7
SCZ_locus_pool	NEBL
SCZ_locus_pool	NEGR1
SCZ_locus_pool	NEK1
SCZ_locus_pool	NEK4
SCZ_locus_pool	NFU1P2
SCZ_locus_pool	NGEF
SCZ_locus_pool	NLGN4X
SCZ_locus_pool	NMB
SCZ_locus_pool	NME5
SCZ_locus_pool	NMRAL1
SCZ_locus_pool	NPM1P46
SCZ_locus_pool	NR1H5P
SCZ_locus_pool	NRBP2
SCZ_locus_pool	NRGN
SCZ_locus_pool	NRIP1
SCZ_locus_pool	NSF
SCZ_locus_pool	NSFP1
SCZ_locus_pool	NSUN6
SCZ_locus_pool	NT5C2
SCZ_locus_pool	NXPH1
SCZ_locus_pool	OASL
SCZ_locus_pool	OGFOD2
SCZ_locus_pool	OLA1
SCZ_locus_pool	OPCML
SCZ_locus_pool	OPRD1
SCZ_locus_pool	PABPC1P7
SCZ_locus_pool	PACSIN3
SCZ_locus_pool	PAK6
SCZ_locus_pool	PAX4
SCZ_locus_pool	PCCB
SCZ_locus_pool	PCDH17
SCZ_locus_pool	PCDHA1
SCZ_locus_pool	PCDHA11
SCZ_locus_pool	PCDHA12
SCZ_locus_pool	PCDHA13
SCZ_locus_pool	PCDHA2
SCZ_locus_pool	PCDHA3
SCZ_locus_pool	PCDHA4
SCZ_locus_pool	PCDHA5
SCZ_locus_pool	PCDHA6
SCZ_locus_pool	PCDHA7
SCZ_locus_pool	PCDHA8
SCZ_locus_pool	PCDHAC1
SCZ_locus_pool	PCDHAC2
SCZ_locus_pool	PCGF3
SCZ_locus_pool	PCNX3
SCZ_locus_pool	PDE4B
SCZ_locus_pool	PDIA3
SCZ_locus_pool	PHACTR4
SCZ_locus_pool	PHF13
SCZ_locus_pool	PHF2
SCZ_locus_pool	PJA1
SCZ_locus_pool	PLCH2
SCZ_locus_pool	PLCL2
SCZ_locus_pool	PLEKHM1
SCZ_locus_pool	PLEKHO1
SCZ_locus_pool	PLK2
SCZ_locus_pool	POC1B
SCZ_locus_pool	POLG
SCZ_locus_pool	PPAPDC1B
SCZ_locus_pool	PPIP5K1
SCZ_locus_pool	PPP1R13B
SCZ_locus_pool	PPP1R16B
SCZ_locus_pool	PPP1R21
SCZ_locus_pool	PPP1R26
SCZ_locus_pool	PQLC1
SCZ_locus_pool	PRKD3
SCZ_locus_pool	PSMA4
SCZ_locus_pool	PTBP2
SCZ_locus_pool	PTGIS
SCZ_locus_pool	PTK2B
SCZ_locus_pool	PTPRD
SCZ_locus_pool	PTPRF
SCZ_locus_pool	PTPRK
SCZ_locus_pool	PUF60
SCZ_locus_pool	QPCT
SCZ_locus_pool	R3HDM2
SCZ_locus_pool	RAB42
SCZ_locus_pool	RALGPS1
SCZ_locus_pool	RAP2CP1
SCZ_locus_pool	RBKS
SCZ_locus_pool	RBM26
SCZ_locus_pool	RBM26-AS1
SCZ_locus_pool	RBMS3
SCZ_locus_pool	RC3H1
SCZ_locus_pool	RD3L
SCZ_locus_pool	REEP2
SCZ_locus_pool	RELA
SCZ_locus_pool	RERE
SCZ_locus_pool	RFTN2
SCZ_locus_pool	RGS6
SCZ_locus_pool	RLBP1
SCZ_locus_pool	RN7SKP270
SCZ_locus_pool	RN7SL167P
