pc,eigenvalue,cum_var_frac
1,16.378979107403456,0.24086733981475672
2,3.72569132494986,0.2956569181228429
3,3.0458237034578337,0.3404484431736934
4,2.339852914073828,0.3748580448512497
5,2.090533908908572,0.4056011905704934
6,1.9900669997539204,0.43486688174334515
7,1.8319173920377154,0.4618068433909586
8,1.5384472236068496,0.48443106726753
9,1.3783272361144712,0.504700585445684
10,1.3061938814132301,0.5239093189958786
11,1.1860709908875091,0.5413515394501066
12,1.1233188224044033,0.5578709338972301
13,1.0702526460649946,0.5736099433981859
14,0.9848568013570619,0.5880931316534368
15,0.9713462857936481,0.6023776358562847
16,0.9398799925397934,0.616199400452458
17,0.8888634579536691,0.6292709218929532
18,0.8763939201201338,0.6421590677770729
19,0.8378379363906545,0.6544802139004648
20,0.8053144939966113,0.6663230741062973
21,0.7886510189201846,0.6779208832080648
22,0.7610247325461545,0.6891124233925671
23,0.750076709214377,0.700142963233955
24,0.7270164937687174,0.7108343822599654
25,0.7122078396213215,0.721308026960279
26,0.7000163195155492,0.7316023846002135
27,0.6695108216574325,0.7414481319775287
28,0.6522313485132131,0.7510397694556642
29,0.6517077584508144,0.7606237070799409
30,0.6459710500263991,0.7701232813450349
31,0.6350515272235328,0.7794622743924398
32,0.6266151749512398,0.7886772034358404
33,0.6114515307212429,0.7976691377111527
34,0.6047000809899135,0.8065617859610044
35,0.5811950210374941,0.815108771564497
36,0.5790410150877897,0.8236240806099057
37,0.5637377204422004,0.8319143412046438
38,0.5518164232752181,0.84002928860575
39,0.5479656953725439,0.8480876076553463
40,0.5359334221902241,0.8559689815110849
41,0.5271281908300628,0.8637208666703505
42,0.5178499975374392,0.871336307810607
43,0.50217885702095,0.8787212910020915
44,0.49447685596281316,0.885993009472133
45,0.46831976676335935,0.8928800648657118
46,0.4571338423310009,0.8996026213705794
47,0.4520029497866918,0.9062497235733249
48,0.44336560602916747,0.9127698060149303
49,0.4319305550912111,0.9191217259427422
50,0.4108893985697303,0.9251642170981794
51,0.3948558324253519,0.9309709205161993
52,0.3754092193166976,0.9364916443296801
53,0.3614184762452959,0.9418066219215226
54,0.3546741595385803,0.9470224183853252
55,0.3463981679598911,0.9521165090906177
56,0.32790618102177804,0.9569386588115262
57,0.32345660873183885,0.961695373645818
58,0.3078338423450016,0.9662223419155974
59,0.2938363960743597,0.9705434653872791
60,0.2763852165533048,0.9746079538660043
61,0.2724328939838265,0.9786143199540018
62,0.2552906429337053,0.9823685941147915
63,0.23579412909136765,0.9858361548367235
64,0.2316453981766859,0.98924270480991
65,0.22125918929714103,0.9924965164172209
66,0.20933143984592867,0.9955749199443669
67,0.1580397254187677,0.9978990335534665
68,0.14286571836426964,0.9999999999999998
