kind	disorder_result	phenotype	variable	type	n_genes	beta	beta_std	se	p	file
reverse: disorder genes ~ phenotype gene Z	SCZ25_META	global_slope	global_slope	COVAR	18270	0.023194	0.022862	0.010742	0.030856	SCZ25_META_vs_global_slope.gsa.out
reverse: disorder genes ~ phenotype gene Z	SCZ25_META	slope_PC1	slope_PC1	COVAR	18270	-0.00036813	-0.00035889	0.010873	0.97299	SCZ25_META_vs_slope_PC1.gsa.out
reverse: disorder genes ~ phenotype gene Z	SCZ25_META	slope_PC2	slope_PC2	COVAR	18270	-0.00032054	-0.00031352	0.010845	0.97642	SCZ25_META_vs_slope_PC2.gsa.out
reverse: disorder genes ~ phenotype gene Z	SCZ25_META	slope_PC3	slope_PC3	COVAR	18270	-0.0111	-0.010738	0.010824	0.30511	SCZ25_META_vs_slope_PC3.gsa.out
reverse: disorder genes ~ phenotype gene Z	SCZ25_METAnaive	baseline_thickness	baseline_thickness	COVAR	18270	0.028509	0.028423	0.010631	0.0073324	SCZ25_METAnaive_vs_baseline_thickness.gsa.out
reverse: disorder genes ~ phenotype gene Z	SCZ25_METAnaive	global_slope	global_slope	COVAR	18270	0.028254	0.02785	0.010661	0.0080535	SCZ25_METAnaive_vs_global_slope.gsa.out
reverse: disorder genes ~ phenotype gene Z	SCZ25_METAnaive	slope_PC1	slope_PC1	COVAR	18270	-0.0047128	-0.0045946	0.010786	0.66217	SCZ25_METAnaive_vs_slope_PC1.gsa.out
reverse: disorder genes ~ phenotype gene Z	SCZ25_METAnaive	slope_PC2	slope_PC2	COVAR	18270	0.0094649	0.0092576	0.010748	0.37856	SCZ25_METAnaive_vs_slope_PC2.gsa.out
reverse: disorder genes ~ phenotype gene Z	SCZ25_METAnaive	slope_PC3	slope_PC3	COVAR	18270	-0.0075115	-0.0072664	0.010787	0.48621	SCZ25_METAnaive_vs_slope_PC3.gsa.out
forward: phenotype genes ~ disorder gene Z	PGC3_EUR	baseline_thickness	PGC3_EUR	COVAR	18261	0.013661	0.021984	0.0060696	0.024421	baseline_thickness_on_PGC3_EUR.gsa.out
forward: phenotype genes ~ disorder gene Z	PGC3_primary	baseline_thickness	PGC3_primary	COVAR	18261	0.01906	0.030866	0.0059922	0.0014723	baseline_thickness_on_PGC3_primary.gsa.out
forward: phenotype genes ~ disorder gene Z	SCZ25_EUR	baseline_thickness	SCZ25_EUR	COVAR	18270	0.015201	0.024352	0.0060367	0.011812	baseline_thickness_on_SCZ25_EUR.gsa.out
forward: phenotype genes ~ disorder gene Z	SCZ25_META	baseline_thickness	SCZ25_META	COVAR	18270	0.018156	0.028699	0.0060587	0.0027338	baseline_thickness_on_SCZ25_META.gsa.out
forward: phenotype genes ~ disorder gene Z	SCZ25_METAnaive	baseline_thickness	SCZ25_METAnaive	COVAR	18270	0.01749	0.027321	0.0061804	0.004664	baseline_thickness_on_SCZ25_METAnaive.gsa.out
gene-set marginal	gene sets	baseline_thickness	PGC3_genesig	SET	704	-0.0079434	-0.0015289	0.050071	0.56302	baseline_thickness_sets.gsa.out
gene-set marginal	gene sets	baseline_thickness	PGC3_locus_pool	SET	858	0.10803	0.022855	0.046924	0.010668	baseline_thickness_sets.gsa.out
gene-set marginal	gene sets	baseline_thickness	SCZ25_genesig	SET	777	0.098777	0.019932	0.044224	0.012763	baseline_thickness_sets.gsa.out
gene-set marginal	gene sets	baseline_thickness	SCZ25_genesig_new	SET	214	0.1461	0.015719	0.06239	0.0096048	baseline_thickness_sets.gsa.out
gene-set marginal	gene sets	baseline_thickness	SCZ25_locus_pool	SET	1103	0.059463	0.014163	0.041697	0.076936	baseline_thickness_sets.gsa.out
gene-set marginal	gene sets	baseline_thickness	SCZ25_locus_pool_new	SET	302	-0.0089401	-0.0011399	0.062503	0.55687	baseline_thickness_sets.gsa.out
gene-set marginal	gene sets	baseline_thickness	SCZ_locus_pool	SET	455	0.18861	0.029391	0.051711	0.00013297	baseline_thickness_sets.gsa.out
gene-set marginal	gene sets	baseline_thickness	SCZ_pool_not_prio	SET	354	0.18275	0.025191	0.058045	0.00082256	baseline_thickness_sets.gsa.out
gene-set marginal	gene sets	baseline_thickness	SCZ_prio_finemap	SET	61	0.10862	0.006266	0.11338	0.16902	baseline_thickness_sets.gsa.out
gene-set marginal	gene sets	baseline_thickness	SCZ_prio_rare	SET	7	0.27141	0.0053116	0.38432	0.24003	baseline_thickness_sets.gsa.out
gene-set marginal	gene sets	baseline_thickness	SCZ_prio_smr	SET	44	0.16023	0.0078539	0.13534	0.11822	baseline_thickness_sets.gsa.out
gene-set marginal	gene sets	baseline_thickness	SCZ_prioritised	SET	101	0.13233	0.0098119	0.090196	0.071176	baseline_thickness_sets.gsa.out
gene-set marginal	gene sets	baseline_thickness	SCZ_prioritised_pc	SET	101	0.13233	0.0098119	0.090196	0.071176	baseline_thickness_sets.gsa.out
gene-set conditional on PGC3pool	gene sets	baseline_thickness	PGC3_locus_pool	SET	858	0.13967	0.029548	0.052545	0.0039336	baseline_thickness_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	baseline_thickness	PGC3_genesig	SET	704	-0.075001	-0.014436	0.056057	0.90953	baseline_thickness_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	baseline_thickness	PGC3_locus_pool	SET	858	0.077709	0.01644	0.05171	0.066458	baseline_thickness_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	baseline_thickness	SCZ25_genesig	SET	777	0.068002	0.013722	0.048733	0.081461	baseline_thickness_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	baseline_thickness	PGC3_locus_pool	SET	858	0.092882	0.01965	0.047526	0.025342	baseline_thickness_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	baseline_thickness	SCZ25_genesig_new	SET	214	0.12642	0.013602	0.063191	0.022724	baseline_thickness_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	baseline_thickness	PGC3_locus_pool	SET	858	0.11775	0.024912	0.064688	0.034364	baseline_thickness_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	baseline_thickness	SCZ25_locus_pool	SET	1103	-0.012551	-0.0029893	0.057475	0.58643	baseline_thickness_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	baseline_thickness	PGC3_locus_pool	SET	858	0.10867	0.02299	0.047232	0.010709	baseline_thickness_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	baseline_thickness	SCZ25_locus_pool_new	SET	302	0.007507	0.00095716	0.062901	0.4525	baseline_thickness_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	baseline_thickness	PGC3_locus_pool	SET	858	0.026005	0.0055015	0.054945	0.31801	baseline_thickness_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	baseline_thickness	SCZ_locus_pool	SET	455	0.17368	0.027066	0.060567	0.0020709	baseline_thickness_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	baseline_thickness	PGC3_locus_pool	SET	858	0.059668	0.012623	0.050911	0.12061	baseline_thickness_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	baseline_thickness	SCZ_pool_not_prio	SET	354	0.15408	0.021239	0.062988	0.0072239	baseline_thickness_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	baseline_thickness	PGC3_locus_pool	SET	858	0.10434	0.022074	0.04954	0.017605	baseline_thickness_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	baseline_thickness	SCZ_prio_finemap	SET	61	0.027824	0.0016051	0.11968	0.40808	baseline_thickness_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	baseline_thickness	PGC3_locus_pool	SET	858	0.10556	0.022332	0.047276	0.012786	baseline_thickness_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	baseline_thickness	SCZ_prio_rare	SET	7	0.16638	0.0032562	0.38714	0.33368	baseline_thickness_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	baseline_thickness	PGC3_locus_pool	SET	858	0.10407	0.022018	0.047093	0.013561	baseline_thickness_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	baseline_thickness	SCZ_prio_smr	SET	44	0.13484	0.0066094	0.1358	0.16038	baseline_thickness_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	baseline_thickness	PGC3_locus_pool	SET	858	0.095963	0.020302	0.049263	0.025719	baseline_thickness_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	baseline_thickness	SCZ_prioritised	SET	101	0.076185	0.0056488	0.094681	0.21052	baseline_thickness_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	baseline_thickness	PGC3_locus_pool	SET	858	0.095963	0.020302	0.049263	0.025719	baseline_thickness_sets_condPGC3pool.gsa.out
