disorder	threshold	stratum	phenotype	n	n_families	beta_new	se_new	p_new	beta_global	se_global	p_global	delta	se_delta	p_delta	boot_se	boot_lo	boot_hi
SCZ	5e-8	EUR	slope_topDelta	4116	3447	0.006340156244299287	0.017110841509058294	0.7110070868497101	0.002943699625437759	0.016656210136257375	0.8597286157706576	0.003396456618861502	0.008340720587323585	0.6838762512357573			
SCZ	5e-8	EUR	slope_topC3	4116	3447	0.007976904413233583	0.016976747760057278	0.6384759497216962	0.002943699625437759	0.016656210136257375	0.8597286157706576	0.005033204787795807	0.007215501382961359	0.4855029626595282			
SCZ	5e-8	EUR	slope_projDelta	4116	3447	0.01808230872993832	0.017867743881791052	0.31160503880101414	0.002943699625437759	0.016656210136257375	0.8597286157706576	0.015138609104500576	0.02035524083938466	0.4570963126204488			
SCZ	5e-8	EUR	slope_projC3	4116	3447	0.007108866385823507	0.017736939011907444	0.6885963265952261	0.002943699625437759	0.016656210136257375	0.8597286157706576	0.004165166760385718	0.01843521789427209	0.8212651294942926			
SCZ	1e-5	EUR	slope_topDelta	4116	3447	0.007462074435851487	0.016905609793579048	0.6589537783833368	-0.003511606282646821	0.016205609858366683	0.8284621586419402	0.010973680718498264	0.008156967378130264	0.1786124398877539			
SCZ	1e-5	EUR	slope_topC3	4116	3447	0.005367474928584035	0.01675498696022052	0.7487217750028349	-0.003511606282646821	0.016205609858366683	0.8284621586419402	0.00887908121123082	0.007148454759777562	0.21428493884907845			
SCZ	1e-5	EUR	slope_projDelta	4116	3447	0.03084996270113776	0.017664845273898413	0.08082981348109333	-0.003511606282646821	0.016205609858366683	0.8284621586419402	0.03436156898378454	0.019772872890511387	0.08233298230915799			
SCZ	1e-5	EUR	slope_projC3	4116	3447	0.012385603419704355	0.017781028817306806	0.48612341748439974	-0.003511606282646821	0.016205609858366683	0.8284621586419402	0.015897209702351176	0.018264184728618918	0.38414057994735595			
SCZ	0p001	EUR	slope_topDelta	4116	3447	-0.0008331639182143045	0.016051952185592737	0.9586080270554845	-0.0047808948851154175	0.01574495872802883	0.7614158781854161	0.003947730966901112	0.007876192532532222	0.6162460153720221			
SCZ	0p001	EUR	slope_topC3	4116	3447	0.005296841538582689	0.01616271255978431	0.7431434108876509	-0.0047808948851154175	0.01574495872802883	0.7614158781854161	0.01007773642369808	0.006920139783749721	0.14540332858682362			
