disorder	threshold	stratum	phenotype	beta	n_random_sets	null_mean	null_sd	pctile
SCZ	0p5	EUR	slope_topDelta	-0.04348889832899471	1000	-0.04235483844068817	0.005871982690335852	41.8
SCZ	0p5	EUR	slope_topC3	-0.037784025235530386	1000	-0.04235483844068817	0.005871982690335852	77.10000000000001
SCZ	0p5	EUR	global_slope	-0.047336445238642846	1000	-0.04235483844068817	0.005871982690335852	19.3
SCZ	0p01	EUR	slope_topDelta	-0.016057834062700782	1000	-0.018238711626615153	0.00698699284332576	64.8
SCZ	0p01	EUR	slope_topC3	-0.012591525774679743	1000	-0.018238711626615153	0.00698699284332576	79.5
SCZ	0p01	EUR	global_slope	-0.020733379077845896	1000	-0.018238711626615153	0.00698699284332576	38.2
MDD	0p5	EUR	slope_topDelta	-0.015462660032875216	1000	-0.013729183768157316	0.008900069246869568	43.4
MDD	0p5	EUR	slope_topC3	-0.007990858926149081	1000	-0.013729183768157316	0.008900069246869568	74.2
MDD	0p5	EUR	global_slope	-0.015077292280626275	1000	-0.013729183768157316	0.008900069246869568	45.2
MDD	0p01	EUR	slope_topDelta	-0.022438860433036764	1000	-0.016669006375157638	0.0069256763142092875	20.8
MDD	0p01	EUR	slope_topC3	-0.011240554208291492	1000	-0.016669006375157638	0.0069256763142092875	78.8
MDD	0p01	EUR	global_slope	-0.0187019646236204	1000	-0.016669006375157638	0.0069256763142092875	39.5
SCZ	0p5	full	slope_topDelta	-0.044286353720290134	1000	-0.03961126510023809	0.008404264748534297	31.6
SCZ	0p5	full	slope_topC3	-0.03954742507292346	1000	-0.03961126510023809	0.008404264748534297	53.900000000000006
SCZ	0p5	full	global_slope	-0.04395547580518434	1000	-0.03961126510023809	0.008404264748534297	32.5
SCZ	0p01	full	slope_topDelta	-0.018687394098029525	1000	-0.018670815820047603	0.007402109634784954	53.800000000000004
SCZ	0p01	full	slope_topC3	-0.019974105086144407	1000	-0.018670815820047603	0.007402109634784954	49.3
SCZ	0p01	full	global_slope	-0.020642052698228386	1000	-0.018670815820047603	0.007402109634784954	45.4
MDD	0p5	full	slope_topDelta	-0.05670434877209991	1000	-0.04993183756556711	0.015104836826409722	35.0
MDD	0p5	full	slope_topC3	-0.03977161017932922	1000	-0.04993183756556711	0.015104836826409722	76.2
MDD	0p5	full	global_slope	-0.056162381164278734	1000	-0.04993183756556711	0.015104836826409722	35.8
MDD	0p01	full	slope_topDelta	-0.04881836679643038	1000	-0.04118438436034755	0.010559129097208504	25.5
MDD	0p01	full	slope_topC3	-0.03235007716330861	1000	-0.04118438436034755	0.010559129097208504	78.5
MDD	0p01	full	global_slope	-0.04568191785623322	1000	-0.04118438436034755	0.010559129097208504	35.0
