phenotype	n_snps	n_mean	lambda_gc	n_p5e8	n_p1e5	min_p
baseline_thickness	9077609	7932	1.1067	20	512	1.06465e-08
global_slope	9077609	7932	1.0125	0	159	3.15744e-07
slope_PC3	9077609	7932	0.9932	3	119	2.3897e-08
slope_PC2	9077609	7932	1.0295	0	109	1.95251e-07
slope_PC1	9077609	7932	0.9989	0	54	5.54431e-07
