kind	disorder_result	phenotype	variable	type	n_genes	beta	beta_std	se	p	file
reverse: disorder genes ~ phenotype gene Z	PGC3_EUR	baseline_thickness	baseline_thickness	COVAR	18261	0.026454	0.026571	0.011255	0.018764	PGC3_EUR_vs_baseline_thickness.gsa.out
reverse: disorder genes ~ phenotype gene Z	PGC3_EUR	global_slope	global_slope	COVAR	18261	0.010553	0.010443	0.011154	0.34413	PGC3_EUR_vs_global_slope.gsa.out
reverse: disorder genes ~ phenotype gene Z	PGC3_EUR	slope_PC1	slope_PC1	COVAR	18261	0.013514	0.013206	0.011288	0.23127	PGC3_EUR_vs_slope_PC1.gsa.out
reverse: disorder genes ~ phenotype gene Z	PGC3_EUR	slope_PC2	slope_PC2	COVAR	18261	-0.0069728	-0.0068821	0.011186	0.53306	PGC3_EUR_vs_slope_PC2.gsa.out
reverse: disorder genes ~ phenotype gene Z	PGC3_EUR	slope_PC3	slope_PC3	COVAR	18261	0.0094383	0.0091981	0.011295	0.40338	PGC3_EUR_vs_slope_PC3.gsa.out
reverse: disorder genes ~ phenotype gene Z	PGC3_primary	baseline_thickness	baseline_thickness	COVAR	18261	0.030404	0.030538	0.011378	0.0075454	PGC3_primary_vs_baseline_thickness.gsa.out
reverse: disorder genes ~ phenotype gene Z	PGC3_primary	global_slope	global_slope	COVAR	18261	0.012678	0.012546	0.011323	0.2629	PGC3_primary_vs_global_slope.gsa.out
reverse: disorder genes ~ phenotype gene Z	PGC3_primary	slope_PC1	slope_PC1	COVAR	18261	0.015775	0.015415	0.011465	0.16888	PGC3_primary_vs_slope_PC1.gsa.out
reverse: disorder genes ~ phenotype gene Z	PGC3_primary	slope_PC2	slope_PC2	COVAR	18261	-0.018437	-0.018197	0.011353	0.10441	PGC3_primary_vs_slope_PC2.gsa.out
reverse: disorder genes ~ phenotype gene Z	PGC3_primary	slope_PC3	slope_PC3	COVAR	18261	0.0023553	0.0022954	0.011478	0.83742	PGC3_primary_vs_slope_PC3.gsa.out
reverse: disorder genes ~ phenotype gene Z	SCZ25_EUR	baseline_thickness	baseline_thickness	COVAR	18270	0.022714	0.022816	0.010956	0.038173	SCZ25_EUR_vs_baseline_thickness.gsa.out
reverse: disorder genes ~ phenotype gene Z	SCZ25_EUR	global_slope	global_slope	COVAR	18270	0.015799	0.015634	0.010918	0.1479	SCZ25_EUR_vs_global_slope.gsa.out
reverse: disorder genes ~ phenotype gene Z	SCZ25_EUR	slope_PC1	slope_PC1	COVAR	18270	0.0084926	0.0082979	0.01107	0.44301	SCZ25_EUR_vs_slope_PC1.gsa.out
reverse: disorder genes ~ phenotype gene Z	SCZ25_EUR	slope_PC2	slope_PC2	COVAR	18270	-0.0054683	-0.005397	0.010917	0.61646	SCZ25_EUR_vs_slope_PC2.gsa.out
reverse: disorder genes ~ phenotype gene Z	SCZ25_EUR	slope_PC3	slope_PC3	COVAR	18270	0.0020432	0.0019909	0.011086	0.85378	SCZ25_EUR_vs_slope_PC3.gsa.out
positive control: 2025 sets on SCZ25_META	gene sets	SCZ25_META	PGC3_genesig	SET	705	2.8026	0.53571	0.059659	2.2250999999999997e-308	SCZ25_META_sets.gsa.out
positive control: 2025 sets on SCZ25_META	gene sets	SCZ25_META	PGC3_locus_pool	SET	861	2.6734	0.56225	0.057515	2.2250999999999997e-308	SCZ25_META_sets.gsa.out
positive control: 2025 sets on SCZ25_META	gene sets	SCZ25_META	SCZ25_genesig	SET	778	2.9316	0.58745	0.051728	2.2250999999999997e-308	SCZ25_META_sets.gsa.out
positive control: 2025 sets on SCZ25_META	gene sets	SCZ25_META	SCZ25_genesig_new	SET	214	1.8594	0.19849	0.076785	1.4987000000000001e-127	SCZ25_META_sets.gsa.out
positive control: 2025 sets on SCZ25_META	gene sets	SCZ25_META	SCZ25_locus_pool	SET	1106	2.6456	0.62624	0.049375	2.2250999999999997e-308	SCZ25_META_sets.gsa.out
positive control: 2025 sets on SCZ25_META	gene sets	SCZ25_META	SCZ25_locus_pool_new	SET	302	1.583	0.20026	0.078076	1.464e-90	SCZ25_META_sets.gsa.out
positive control: 2025 sets on SCZ25_META	gene sets	SCZ25_META	SCZ_locus_pool	SET	457	1.9417	0.30089	0.059467	1.0084e-226	SCZ25_META_sets.gsa.out
positive control: 2025 sets on SCZ25_META	gene sets	SCZ25_META	SCZ_pool_not_prio	SET	356	1.7216	0.23611	0.067079	1.1292e-142	SCZ25_META_sets.gsa.out
positive control: 2025 sets on SCZ25_META	gene sets	SCZ25_META	SCZ_prio_finemap	SET	61	2.0258	0.11594	0.13759	4.7708e-49	SCZ25_META_sets.gsa.out
positive control: 2025 sets on SCZ25_META	gene sets	SCZ25_META	SCZ_prio_rare	SET	7	2.5462	0.049435	0.38216	1.389e-11	SCZ25_META_sets.gsa.out
positive control: 2025 sets on SCZ25_META	gene sets	SCZ25_META	SCZ_prio_smr	SET	44	1.1537	0.056103	0.15707	1.0783e-13	SCZ25_META_sets.gsa.out
