trait	model	set	submodel	n_genes	beta	beta_std	se	p
baseline_thickness	marginal	MDD_hc_expression	-	56	0.052695	0.0029129	0.11866	0.3285
baseline_thickness	marginal	MDD_hc_finemap	-	160	0.11313	0.01054	0.074458	0.064349
baseline_thickness	marginal	MDD_hc_protein	-	10	-0.11526	-0.0026959	0.2656	0.66785
baseline_thickness	marginal	MDD_highconf	-	213	0.067079	0.0072004	0.063871	0.14682
baseline_thickness	marginal	MDD_pool	-	1881	0.0093389	0.0028381	0.026462	0.36208
baseline_thickness	marginal	MDD_pool_not_hc	-	1668	-0.002387	-0.00068752	0.027726	0.5343
global_slope	marginal	MDD_hc_expression	-	56	0.011338	0.00062678	0.1196	0.46223
global_slope	marginal	MDD_hc_finemap	-	160	-0.0063086	-0.00058778	0.075049	0.53349
global_slope	marginal	MDD_hc_protein	-	10	0.25095	0.0058694	0.26768	0.17426
global_slope	marginal	MDD_highconf	-	213	-0.022591	-0.002425	0.064374	0.63718
global_slope	marginal	MDD_pool	-	1881	0.0085782	0.0026069	0.02667	0.37386
global_slope	marginal	MDD_pool_not_hc	-	1668	0.013674	0.0039387	0.027944	0.3123
MDD	marginal	MDD_hc_expression	-	56	1.8309	0.09915	0.15527	3.0271e-32
MDD	marginal	MDD_hc_finemap	-	160	2.3251	0.21225	0.094722	1.0837e-130
MDD	marginal	MDD_hc_protein	-	10	1.2664	0.029015	0.34364	0.00011473
MDD	marginal	MDD_highconf	-	213	2.1159	0.22254	0.081226	1.6259e-146
MDD	marginal	MDD_pool	-	1880	1.2366	0.36891	0.033581	4.239e-284
MDD	marginal	MDD_pool_not_hc	-	1667	0.94762	0.26785	0.036044	3.8594e-149
SCZ	marginal	MDD_hc_expression	-	56	1.0567	0.058133	0.16102	2.7411e-11
SCZ	marginal	MDD_hc_finemap	-	160	0.76497	0.070935	0.10091	1.8264e-14
SCZ	marginal	MDD_hc_protein	-	10	0.47083	0.01096	0.33844	0.082097
SCZ	marginal	MDD_highconf	-	213	0.80235	0.085719	0.085889	5.423e-21
SCZ	marginal	MDD_pool	-	1884	0.5843	0.17694	0.035588	2.4709e-60
SCZ	marginal	MDD_pool_not_hc	-	1671	0.49122	0.14099	0.037524	3.0912e-39
slope_PC1	marginal	MDD_hc_expression	-	56	-0.085587	-0.0047311	0.11751	0.76679
slope_PC1	marginal	MDD_hc_finemap	-	160	-0.019175	-0.0017865	0.073741	0.60258
slope_PC1	marginal	MDD_hc_protein	-	10	0.10005	0.00234	0.26302	0.35183
slope_PC1	marginal	MDD_highconf	-	213	-0.0041204	-0.00044229	0.063253	0.52597
