readout	phenotype	arm	method	estimate	se	p	n	legacy_estimate	legacy_se	legacy_p	legacy_n	legacy_note
LDSC h2_z (SNPs shared with MDD)	baseline_thickness	EUR	LDSC	4.34				4.29				6.0-vintage DK (n 8,082 / EUR 4,116)
LDSC h2_z (SNPs shared with MDD)	global_slope	EUR	LDSC	0.6				1.04				6.0-vintage DK (n 8,082 / EUR 4,116)
LDSC h2_z (SNPs shared with MDD)	slope_PC1	EUR	LDSC	0.38				0.43				6.0-vintage DK (n 8,082 / EUR 4,116)
LDSC h2_z (SNPs shared with MDD)	slope_PC2	EUR	LDSC	2.96				3.77				6.0-vintage DK (n 8,082 / EUR 4,116)
LDSC h2_z (SNPs shared with MDD)	slope_PC3	EUR	LDSC	-2.61				-2.59				6.0-vintage DK (n 8,082 / EUR 4,116)
LDSC h2_z (SNPs shared with SCZ)	baseline_thickness	EUR	LDSC	4.34				4.49				6.0-vintage DK (n 8,082 / EUR 4,116)
LDSC h2_z (SNPs shared with SCZ)	global_slope	EUR	LDSC	0.57				1.16				6.0-vintage DK (n 8,082 / EUR 4,116)
LDSC h2_z (SNPs shared with SCZ)	slope_PC1	EUR	LDSC	0.68				0.66				6.0-vintage DK (n 8,082 / EUR 4,116)
LDSC h2_z (SNPs shared with SCZ)	slope_PC2	EUR	LDSC	2.6				3.46				6.0-vintage DK (n 8,082 / EUR 4,116)
LDSC h2_z (SNPs shared with SCZ)	slope_PC3	EUR	LDSC	-2.65				-2.55				6.0-vintage DK (n 8,082 / EUR 4,116)
LDSC rg with MDD	baseline_thickness	EUR	LDSC	-0.01091	0.05468	0.8418		-0.0186	0.0534	0.7276		6.0-vintage DK (n 8,082 / EUR 4,116)
LDSC rg with MDD	global_slope	EUR	LDSC	-0.07004	0.1474	0.6347		-0.05111	0.1067	0.6321		6.0-vintage DK (n 8,082 / EUR 4,116)
LDSC rg with MDD	slope_PC1	EUR	LDSC	0.1038	0.2609	0.6907		0.0127	0.1678	0.9397		6.0-vintage DK (n 8,082 / EUR 4,116)
LDSC rg with MDD	slope_PC2	EUR	LDSC	-0.06073	0.06629	0.3595		-0.007857	0.06101	0.8975		6.0-vintage DK (n 8,082 / EUR 4,116)
LDSC rg with MDD	slope_PC3	EUR	LDSC									6.0-vintage DK (n 8,082 / EUR 4,116)
LDSC rg with SCZ	baseline_thickness	EUR	LDSC	0.02401	0.05319	0.6517		0.02597	0.05202	0.6176		6.0-vintage DK (n 8,082 / EUR 4,116)
LDSC rg with SCZ	global_slope	EUR	LDSC	-0.1636	0.1996	0.4122		-0.1493	0.109	0.1707		6.0-vintage DK (n 8,082 / EUR 4,116)
LDSC rg with SCZ	slope_PC1	EUR	LDSC	0.09696	0.1506	0.5196		0.09397	0.15	0.531		6.0-vintage DK (n 8,082 / EUR 4,116)
LDSC rg with SCZ	slope_PC2	EUR	LDSC	-0.1091	0.06888	0.1131		-0.05206	0.05982	0.3842		6.0-vintage DK (n 8,082 / EUR 4,116)
LDSC rg with SCZ	slope_PC3	EUR	LDSC									6.0-vintage DK (n 8,082 / EUR 4,116)
MAGMA H3 AHBA_C3 marginal (beta_std)	baseline_thickness	EUR	MAGMA	0.013883	0.042587	0.2103	6917					6.0-vintage DK (n 8,082 / EUR 4,116)
MAGMA H3 AHBA_C3 marginal (beta_std)	global_slope	EUR	MAGMA	-0.0042691	0.042321	0.69826	6917					6.0-vintage DK (n 8,082 / EUR 4,116)
MAGMA H3 AHBA_C3 marginal (beta_std)	slope_PC1	EUR	MAGMA	0.014221	0.042167	0.19495	6917					6.0-vintage DK (n 8,082 / EUR 4,116)
MAGMA H3 AHBA_C3 marginal (beta_std)	slope_PC2	EUR	MAGMA	-0.0075289	0.042383	0.49481	6917					6.0-vintage DK (n 8,082 / EUR 4,116)
MAGMA H3 AHBA_C3 marginal (beta_std)	slope_PC3	EUR	MAGMA	0.0017578	0.04135	0.87022	6917					6.0-vintage DK (n 8,082 / EUR 4,116)
MAGMA H3 thinning_Z_ds0 marginal (beta_std)	baseline_thickness	EUR	MAGMA	0.012554	0.0029354	0.092254	13765					6.0-vintage DK (n 8,082 / EUR 4,116)
MAGMA H3 thinning_Z_ds0 marginal (beta_std)	global_slope	EUR	MAGMA	-0.0015513	0.0029594	0.83651	13765					6.0-vintage DK (n 8,082 / EUR 4,116)
MAGMA H3 thinning_Z_ds0 marginal (beta_std)	slope_PC1	EUR	MAGMA	0.00096906	0.0029087	0.89565	13765					6.0-vintage DK (n 8,082 / EUR 4,116)
MAGMA H3 thinning_Z_ds0 marginal (beta_std)	slope_PC2	EUR	MAGMA	-0.0085909	0.0029247	0.24754	13765					6.0-vintage DK (n 8,082 / EUR 4,116)
MAGMA H3 thinning_Z_ds0 marginal (beta_std)	slope_PC3	EUR	MAGMA	-0.0075124	0.0028975	0.30741	13765					6.0-vintage DK (n 8,082 / EUR 4,116)
MAGMA H3 thinning_Z_ds0 | AHBA_C3 (beta_std)	baseline_thickness	EUR	MAGMA	-0.0086945	0.0062046	0.59417	6917					6.0-vintage DK (n 8,082 / EUR 4,116)
MAGMA H3 thinning_Z_ds0 | AHBA_C3 (beta_std)	global_slope	EUR	MAGMA	0.029194	0.0061643	0.07178	6917					6.0-vintage DK (n 8,082 / EUR 4,116)
MAGMA H3 thinning_Z_ds0 | AHBA_C3 (beta_std)	slope_PC1	EUR	MAGMA	-0.019003	0.0061427	0.23951	6917					6.0-vintage DK (n 8,082 / EUR 4,116)
MAGMA H3 thinning_Z_ds0 | AHBA_C3 (beta_std)	slope_PC2	EUR	MAGMA	-0.020335	0.0061742	0.21048	6917					6.0-vintage DK (n 8,082 / EUR 4,116)
MAGMA H3 thinning_Z_ds0 | AHBA_C3 (beta_std)	slope_PC3	EUR	MAGMA	-0.0090709	0.0060242	0.56698	6917					6.0-vintage DK (n 8,082 / EUR 4,116)
MAGMA H3 thinning_Z_ds25 marginal (beta_std)	baseline_thickness	EUR	MAGMA	0.0035441	0.0034242	0.68442	10325					6.0-vintage DK (n 8,082 / EUR 4,116)
MAGMA H3 thinning_Z_ds25 marginal (beta_std)	global_slope	EUR	MAGMA	0.0082037	0.003449	0.35028	10325					6.0-vintage DK (n 8,082 / EUR 4,116)
MAGMA H3 thinning_Z_ds25 marginal (beta_std)	slope_PC1	EUR	MAGMA	0.0034907	0.0033861	0.68561	10325					6.0-vintage DK (n 8,082 / EUR 4,116)
MAGMA H3 thinning_Z_ds25 marginal (beta_std)	slope_PC2	EUR	MAGMA	-0.0037091	0.003407	0.66901	10325					6.0-vintage DK (n 8,082 / EUR 4,116)
MAGMA H3 thinning_Z_ds25 marginal (beta_std)	slope_PC3	EUR	MAGMA	-0.012497	0.0033566	0.14374	10325					6.0-vintage DK (n 8,082 / EUR 4,116)
MAGMA H3 thinning_Z_ds25 | AHBA_C3 (beta_std)	baseline_thickness	EUR	MAGMA	-0.0099826	0.00647	0.54907	6829					6.0-vintage DK (n 8,082 / EUR 4,116)
MAGMA H3 thinning_Z_ds25 | AHBA_C3 (beta_std)	global_slope	EUR	MAGMA	0.030995	0.0064295	0.061236	6829					6.0-vintage DK (n 8,082 / EUR 4,116)
MAGMA H3 thinning_Z_ds25 | AHBA_C3 (beta_std)	slope_PC1	EUR	MAGMA	-0.019354	0.0064065	0.24075	6829					6.0-vintage DK (n 8,082 / EUR 4,116)
MAGMA H3 thinning_Z_ds25 | AHBA_C3 (beta_std)	slope_PC2	EUR	MAGMA	-0.019925	0.0064306	0.22891	6829					6.0-vintage DK (n 8,082 / EUR 4,116)
MAGMA H3 thinning_Z_ds25 | AHBA_C3 (beta_std)	slope_PC3	EUR	MAGMA	-0.0075703	0.0062751	0.63943	6829					6.0-vintage DK (n 8,082 / EUR 4,116)
MAGMA H3 thinning_Z_ds50 marginal (beta_std)	baseline_thickness	EUR	MAGMA	0.004895	0.004337	0.65398	6935					6.0-vintage DK (n 8,082 / EUR 4,116)
MAGMA H3 thinning_Z_ds50 marginal (beta_std)	global_slope	EUR	MAGMA	0.013114	0.0043002	0.22587	6935					6.0-vintage DK (n 8,082 / EUR 4,116)
MAGMA H3 thinning_Z_ds50 marginal (beta_std)	slope_PC1	EUR	MAGMA	0.0097387	0.004269	0.36496	6935					6.0-vintage DK (n 8,082 / EUR 4,116)
MAGMA H3 thinning_Z_ds50 marginal (beta_std)	slope_PC2	EUR	MAGMA	-0.0080244	0.0043003	0.45866	6935					6.0-vintage DK (n 8,082 / EUR 4,116)
MAGMA H3 thinning_Z_ds50 marginal (beta_std)	slope_PC3	EUR	MAGMA	-0.0079362	0.0042021	0.45324	6935					6.0-vintage DK (n 8,082 / EUR 4,116)
MAGMA H3 thinning_Z_ds50 | AHBA_C3 (beta_std)	baseline_thickness	EUR	MAGMA	-0.0061749	0.0071954	0.73387	6055					6.0-vintage DK (n 8,082 / EUR 4,116)
MAGMA H3 thinning_Z_ds50 | AHBA_C3 (beta_std)	global_slope	EUR	MAGMA	0.032869	0.0071089	0.067027	6055					6.0-vintage DK (n 8,082 / EUR 4,116)
MAGMA H3 thinning_Z_ds50 | AHBA_C3 (beta_std)	slope_PC1	EUR	MAGMA	-0.0038513	0.0070893	0.82959	6055					6.0-vintage DK (n 8,082 / EUR 4,116)
MAGMA H3 thinning_Z_ds50 | AHBA_C3 (beta_std)	slope_PC2	EUR	MAGMA	-0.013016	0.0071016	0.46777	6055					6.0-vintage DK (n 8,082 / EUR 4,116)
MAGMA H3 thinning_Z_ds50 | AHBA_C3 (beta_std)	slope_PC3	EUR	MAGMA	-0.0048667	0.0069445	0.78129	6055					6.0-vintage DK (n 8,082 / EUR 4,116)
MAGMA gene-set MDD_pool (marginal beta)	MDD	EUR	MAGMA	1.2366	0.033581	4.239e-284	1880	1.2366	0.033581	4.239e-284	1880	6.0-vintage DK (n 8,082 / EUR 4,116)
MAGMA gene-set MDD_pool (marginal beta)	SCZ	EUR	MAGMA	0.5843	0.035588	2.4709e-60	1884	0.5843	0.035588	2.4709e-60	1884	6.0-vintage DK (n 8,082 / EUR 4,116)
MAGMA gene-set MDD_pool (marginal beta)	baseline_thickness	EUR	MAGMA	0.0093389	0.026462	0.36208	1881	0.020912	0.026161	0.21205	1881	6.0-vintage DK (n 8,082 / EUR 4,116)
