readout	phenotype	arm	method	estimate	se	p	n	legacy_estimate	legacy_se	legacy_p	legacy_n	legacy_note
PRS C+T min-p permutation ALZ (legacy design)	global_slope	full	CT	0.022489			8596					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZ (legacy design)	slope_PC1	EUR	CT	0.012994			4308					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZ (legacy design)	slope_PC1	full	CT	0.58521			8596					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZ (legacy design)	slope_PC2	EUR	CT	0.2014			4308					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZ (legacy design)	slope_PC2	full	CT	0.35932			8596					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZ (legacy design)	slope_PC3	EUR	CT	0.084958			4308					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZ (legacy design)	slope_PC3	full	CT	0.81559			8596					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZ (matched design)	baseline_thickness	EUR	CT	0.14393			4308					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZ (matched design)	global_slope	EUR	CT	0.025987			4308	0.076962			4116	6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZ (matched design)	slope_PC1	EUR	CT	0.003998			4308					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZ (matched design)	slope_PC2	EUR	CT	0.078961			4308					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZ (matched design)	slope_PC3	EUR	CT	0.034483			4308					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZ_IGAP (matched design)	baseline_thickness	EUR	CT	0.38181			4308					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZ_IGAP (matched design)	global_slope	EUR	CT	0.069465			4308					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZ_IGAP (matched design)	slope_PC1	EUR	CT	0.14543			4308					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZ_IGAP (matched design)	slope_PC2	EUR	CT	0.29985			4308					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZ_IGAP (matched design)	slope_PC3	EUR	CT	0.35982			4308					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZ_IGAP_noAPOE (matched design)	baseline_thickness	EUR	CT	0.04098			4308					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZ_IGAP_noAPOE (matched design)	global_slope	EUR	CT	0.10395			4308					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZ_IGAP_noAPOE (matched design)	slope_PC1	EUR	CT	0.85257			4308					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZ_IGAP_noAPOE (matched design)	slope_PC2	EUR	CT	0.51124			4308					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZ_IGAP_noAPOE (matched design)	slope_PC3	EUR	CT	0.90405			4308					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZ_noAPOE (matched design)	baseline_thickness	EUR	CT	0.043478			4308					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZ_noAPOE (matched design)	global_slope	EUR	CT	0.09995			4308					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZ_noAPOE (matched design)	slope_PC1	EUR	CT	0.5967			4308					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZ_noAPOE (matched design)	slope_PC2	EUR	CT	0.73313			4308					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZ_noAPOE (matched design)	slope_PC3	EUR	CT	0.45527			4308					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZnoAPOE (legacy design)	baseline_thickness	EUR	CT	0.036482			4308					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZnoAPOE (legacy design)	baseline_thickness	full	CT	0.38531			8596					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZnoAPOE (legacy design)	global_slope	EUR	CT	0.25787			4308					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZnoAPOE (legacy design)	global_slope	full	CT	0.11144			8596					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZnoAPOE (legacy design)	slope_PC1	EUR	CT	0.61719			4308					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZnoAPOE (legacy design)	slope_PC1	full	CT	0.72064			8596					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZnoAPOE (legacy design)	slope_PC2	EUR	CT	0.6092			4308					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZnoAPOE (legacy design)	slope_PC2	full	CT	0.4013			8596					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZnoAPOE (legacy design)	slope_PC3	EUR	CT	0.38131			4308					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZnoAPOE (legacy design)	slope_PC3	full	CT	0.73013			8596					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ASD (legacy design)	baseline_thickness	EUR	CT	0.026487			4308					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ASD (legacy design)	baseline_thickness	full	CT	0.0014993			8596					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ASD (legacy design)	global_slope	EUR	CT	0.076462			4308					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ASD (legacy design)	global_slope	full	CT	0.0029985			8596					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ASD (legacy design)	slope_PC1	EUR	CT	0.31284			4308					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ASD (legacy design)	slope_PC1	full	CT	0.12844			8596					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ASD (legacy design)	slope_PC2	EUR	CT	0.73413			4308					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ASD (legacy design)	slope_PC2	full	CT	0.28936			8596					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ASD (legacy design)	slope_PC3	EUR	CT	0.17341			4308					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ASD (legacy design)	slope_PC3	full	CT	0.090955			8596					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ASD (matched design)	baseline_thickness	EUR	CT	0.026487			4308					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ASD (matched design)	global_slope	EUR	CT	0.076462			4308	0.26487			4116	6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ASD (matched design)	slope_PC1	EUR	CT	0.31284			4308					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ASD (matched design)	slope_PC2	EUR	CT	0.73413			4308					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ASD (matched design)	slope_PC3	EUR	CT	0.17341			4308					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation EA (matched design)	baseline_thickness	EUR	CT	0.37131			4308					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation EA (matched design)	global_slope	EUR	CT	0.12344			4308					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation EA (matched design)	slope_PC1	EUR	CT	0.77511			4308					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation EA (matched design)	slope_PC2	EUR	CT	0.28736			4308					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation EA (matched design)	slope_PC3	EUR	CT	0.63568			4308					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation MDD (legacy design)	baseline_thickness	EUR	CT	0.29835			4308					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation MDD (legacy design)	baseline_thickness	full	CT	0.067966			8596					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation MDD (legacy design)	global_slope	EUR	CT	0.26987			4308					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation MDD (legacy design)	global_slope	full	CT	0.046477			8596					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation MDD (legacy design)	slope_PC1	EUR	CT	0.65817			4308					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation MDD (legacy design)	slope_PC1	full	CT	0.093453			8596					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation MDD (legacy design)	slope_PC2	EUR	CT	0.47326			4308					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation MDD (legacy design)	slope_PC2	full	CT	0.32134			8596					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation MDD (legacy design)	slope_PC3	EUR	CT	0.53823			4308					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation MDD (legacy design)	slope_PC3	full	CT	0.30685			8596					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation MDD_eur (matched design)	baseline_thickness	EUR	CT	0.35882			4308					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation MDD_eur (matched design)	global_slope	EUR	CT	0.4048			4308					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation MDD_eur (matched design)	slope_PC1	EUR	CT	0.27986			4308					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation MDD_eur (matched design)	slope_PC2	EUR	CT	0.42429			4308					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation MDD_eur (matched design)	slope_PC3	EUR	CT	0.10295			4308					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation MDD_pooled (matched design)	baseline_thickness	full	CT	0.042479			8596					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation MDD_pooled (matched design)	global_slope	full	CT	0.098951			8596					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation MDD_pooled (matched design)	slope_PC1	full	CT	0.053973			8596					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation MDD_pooled (matched design)	slope_PC2	full	CT	0.34833			8596					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation MDD_pooled (matched design)	slope_PC3	full	CT	0.18191			8596					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation SCZ (legacy design)	baseline_thickness	EUR	CT	0.78711			4308					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation SCZ (legacy design)	baseline_thickness	full	CT	0.51374			8596					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation SCZ (legacy design)	global_slope	EUR	CT	0.06047			4308					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation SCZ (legacy design)	global_slope	full	CT	0.010495			8596					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation SCZ (legacy design)	slope_PC1	EUR	CT	0.12644			4308					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation SCZ (legacy design)	slope_PC1	full	CT	0.0069965			8596					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation SCZ (legacy design)	slope_PC2	EUR	CT	0.38931			4308					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation SCZ (legacy design)	slope_PC2	full	CT	0.10345			8596					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation SCZ (legacy design)	slope_PC3	EUR	CT	0.21389			4308					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation SCZ (legacy design)	slope_PC3	full	CT	0.083458			8596					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation SCZ_eur (matched design)	baseline_thickness	EUR	CT	0.6067			4308					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation SCZ_eur (matched design)	global_slope	EUR	CT	0.052974			4308					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation SCZ_eur (matched design)	slope_PC1	EUR	CT	0.018491			4308					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation SCZ_eur (matched design)	slope_PC2	EUR	CT	0.030485			4308					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation SCZ_eur (matched design)	slope_PC3	EUR	CT	0.32384			4308					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation SCZ_pooled (matched design)	baseline_thickness	full	CT	0.54423			8596					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation SCZ_pooled (matched design)	global_slope	full	CT	0.0064968			8596					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation SCZ_pooled (matched design)	slope_PC1	full	CT	0.0094953			8596					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation SCZ_pooled (matched design)	slope_PC2	full	CT	0.15142			8596					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation SCZ_pooled (matched design)	slope_PC3	full	CT	0.15292			8596					6.0-vintage DK (n 8,082 / EUR 4,116); legacy min-p was the ancestry-MISMATCHED design
PRS EA -> EUR (beta SD/SD, p_adj)	baseline_thickness	EUR	CT	0.023765	0.015254	0.95458	4308	0.030877	0.016029	0.43305	4116	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS EA -> EUR (beta SD/SD, p_adj)	baseline_thickness	EUR	PRSCS	0.024841	0.015814	0.11629	4308	0.031687	0.016137	0.049638	4116	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS EA -> EUR (beta SD/SD, p_adj)	baseline_thickness	EUR	SBayesR	0.021107	0.015882	0.18392	4308	0.028005	0.016202	0.083974	4116	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS EA -> EUR (beta SD/SD, p_adj)	baseline_thickness	EUR	SBayesRC	0.010986	0.015857	0.48847	4308	0.018114	0.016175	0.26284	4116	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS EA -> EUR (beta SD/SD, p_adj)	global_slope	EUR	CT	0.032161	0.014914	0.24885	4308	0.036155	0.015373	0.14986	4116	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS EA -> EUR (beta SD/SD, p_adj)	global_slope	EUR	PRSCS	0.033472	0.014832	0.024079	4308	0.034455	0.015334	0.024704	4116	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS EA -> EUR (beta SD/SD, p_adj)	global_slope	EUR	SBayesR	0.031792	0.014864	0.032507	4308	0.029948	0.015345	0.051057	4116	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS EA -> EUR (beta SD/SD, p_adj)	global_slope	EUR	SBayesRC	0.029617	0.014855	0.04625	4308	0.024466	0.015342	0.11086	4116	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS MDD_eur -> EUR (beta SD/SD, p_adj)	baseline_thickness	EUR	CT	-0.022168	0.015372	1	4308	-0.016936	0.015875	1	4116	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS MDD_eur -> EUR (beta SD/SD, p_adj)	baseline_thickness	EUR	PRSCS	-0.026129	0.015492	0.091755	4308	-0.025382	0.015959	0.11182	4116	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS MDD_eur -> EUR (beta SD/SD, p_adj)	baseline_thickness	EUR	SBayesR	-0.018791	0.015705	0.23159	4308	-0.014552	0.016134	0.36714	4116	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS MDD_eur -> EUR (beta SD/SD, p_adj)	baseline_thickness	EUR	SBayesRC	-0.019794	0.015613	0.20493	4308	-0.01771	0.016045	0.26975	4116	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS MDD_eur -> EUR (beta SD/SD, p_adj)	global_slope	EUR	CT	-0.023521	0.014439	0.82723	4308	-0.025653	0.015128	0.72015	4116	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS MDD_eur -> EUR (beta SD/SD, p_adj)	global_slope	EUR	PRSCS	-0.015783	0.014557	0.27833	4308	-0.011543	0.015169	0.44672	4116	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS MDD_eur -> EUR (beta SD/SD, p_adj)	global_slope	EUR	SBayesR	-0.028192	0.014724	0.055595	4308	-0.022911	0.015288	0.13404	4116	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS MDD_eur -> EUR (beta SD/SD, p_adj)	global_slope	EUR	SBayesRC	-0.020666	0.014635	0.158	4308	-0.017211	0.0152	0.25756	4116	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS MDD_pooled -> full (beta SD/SD, p_adj)	baseline_thickness	full	CT	-0.014114	0.010928	1	8596	-0.013403	0.011122	1	8082	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS MDD_pooled -> full (beta SD/SD, p_adj)	baseline_thickness	full	PRSCS	-0.0083746	0.010856	0.44048	8596	-0.0077734	0.011221	0.48849	8082	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS MDD_pooled -> full (beta SD/SD, p_adj)	baseline_thickness	full	SBayesR	-0.00094635	0.010992	0.93139	8596	0.00034932	0.011364	0.97548	8082	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS MDD_pooled -> full (beta SD/SD, p_adj)	baseline_thickness	full	SBayesRC	-0.0015835	0.01088	0.88429	8596	-0.0013736	0.011243	0.90277	8082	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS MDD_pooled -> full (beta SD/SD, p_adj)	global_slope	full	CT	-0.021584	0.010456	0.31227	8596	-0.020375	0.010918	0.49647	8082	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS MDD_pooled -> full (beta SD/SD, p_adj)	global_slope	full	PRSCS	-0.02064	0.010438	0.048031	8596	-0.018756	0.010886	0.084934	8082	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS MDD_pooled -> full (beta SD/SD, p_adj)	global_slope	full	SBayesR	-0.028962	0.010532	0.0059771	8596	-0.028377	0.010986	0.0098138	8082	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS MDD_pooled -> full (beta SD/SD, p_adj)	global_slope	full	SBayesRC	-0.022346	0.010447	0.032463	8596	-0.021538	0.010891	0.048012	8082	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS SCZ_eur -> EUR (beta SD/SD, p_adj)	baseline_thickness	EUR	CT	-0.017485	0.015353	1	4308	0.018191	0.01606	1	4116	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS SCZ_eur -> EUR (beta SD/SD, p_adj)	baseline_thickness	EUR	PRSCS	0.010003	0.015592	0.52118	4308	0.010001	0.016619	0.54734	4116	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS SCZ_eur -> EUR (beta SD/SD, p_adj)	baseline_thickness	EUR	SBayesR	0.015287	0.015629	0.32808	4308	0.014409	0.016059	0.36963	4116	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS SCZ_eur -> EUR (beta SD/SD, p_adj)	baseline_thickness	EUR	SBayesRC	0.01694	0.015524	0.27521	4308	0.018391	0.015978	0.24979	4116	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS SCZ_eur -> EUR (beta SD/SD, p_adj)	global_slope	EUR	CT	-0.038245	0.014653	0.072706	4308	-0.046719	0.015226	0.017337	4116	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS SCZ_eur -> EUR (beta SD/SD, p_adj)	global_slope	EUR	PRSCS	-0.026123	0.014628	0.074211	4308	-0.026545	0.01577	0.092402	4116	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS SCZ_eur -> EUR (beta SD/SD, p_adj)	global_slope	EUR	SBayesR	-0.02657	0.014695	0.070663	4308	-0.03471	0.015279	0.023155	4116	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS SCZ_eur -> EUR (beta SD/SD, p_adj)	global_slope	EUR	SBayesRC	-0.026976	0.014594	0.064623	4308	-0.035292	0.015204	0.02033	4116	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS SCZ_pooled -> full (beta SD/SD, p_adj)	baseline_thickness	full	CT	0.014969	0.01094	1	8596	0.01516	0.011233	1	8082	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS SCZ_pooled -> full (beta SD/SD, p_adj)	baseline_thickness	full	PRSCS	0.0025872	0.010815	0.81094	8596	0.0017769	0.011186	0.87379	8082	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS SCZ_pooled -> full (beta SD/SD, p_adj)	baseline_thickness	full	SBayesR	0.012858	0.010876	0.23713	8596	0.010174	0.011212	0.3642	8082	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS SCZ_pooled -> full (beta SD/SD, p_adj)	baseline_thickness	full	SBayesRC	0.0059099	0.010779	0.58352	8596	0.0032078	0.011119	0.77297	8082	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS SCZ_pooled -> full (beta SD/SD, p_adj)	global_slope	full	CT	-0.033694	0.010367	0.0092673	8596	-0.032756	0.010775	0.018995	8082	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS SCZ_pooled -> full (beta SD/SD, p_adj)	global_slope	full	PRSCS	-0.024173	0.01041	0.020249	8596	-0.01492	0.010868	0.16985	8082	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS SCZ_pooled -> full (beta SD/SD, p_adj)	global_slope	full	SBayesR	-0.030262	0.010472	0.0038652	8596	-0.02875	0.010897	0.0083469	8082	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS SCZ_pooled -> full (beta SD/SD, p_adj)	global_slope	full	SBayesRC	-0.028928	0.010388	0.0053698	8596	-0.024435	0.010814	0.02388	8082	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS between-family beta_B ALZ	baseline_thickness	EUR	CT	-0.029644	0.016639	0.074895	726	-0.031378	0.01703	0.065486	686	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS between-family beta_B ALZ	baseline_thickness	EUR	PRSCS	-0.0039347	0.016596	0.8126	726	-0.0089415	0.017021	0.59939	686	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS between-family beta_B ALZ	baseline_thickness	EUR	SBayesR	-0.018264	0.016574	0.27054	726	-0.022172	0.016983	0.19181	686	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS between-family beta_B ALZ	baseline_thickness	EUR	SBayesRC	-0.018055	0.016563	0.27574	726	-0.021454	0.016973	0.20631	686	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS between-family beta_B ALZ	global_slope	EUR	CT	-0.041823	0.015082	0.0055813	726	-0.04924	0.01567	0.0016901	686	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS between-family beta_B ALZ	global_slope	EUR	PRSCS	-0.036698	0.015066	0.014907	726	-0.035786	0.015597	0.021829	686	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS between-family beta_B ALZ	global_slope	EUR	SBayesR	-0.025975	0.015055	0.084543	726	-0.028436	0.015561	0.067721	686	6.0-vintage DK (n 8,082 / EUR 4,116)
