phenotype	n_snps	n_mean	lambda_gc	n_p5e8	n_p1e5	min_p	n_chr
baseline_thickness	9426204	8395	1.0388	0	343	6.52408200560988e-08	22
global_slope	9426204	8395	1.0265	0	130	3.11047595964909e-07	22
slope_PC1	9426204	8395	1.0196	0	66	5.44801023066029e-07	22
slope_PC2	9426204	8395	1.047	1	125	4.62156596350266e-09	22
slope_PC3	9426204	8395	1.0149	0	84	1.36890358246578e-07	22
