method	trait	trait_arm	discovery_ancestry	target_stratum	matched	score	discovery_gwas	phenotype	threshold	n	n_families	n_snps	beta	se	p	p_adj
CT	BIP	BIP_pooled	multi	full	yes	zanc	PGC bip2024 multi-ancestry (EUR+AFR+EAS+LAT)	baseline_thickness	5e-8	8596	7198	127	-0.0217574472602242	0.010631458227006	0.0407360730698455	0.325888584558764
CT	BIP	BIP_pooled	multi	full	yes	zanc	PGC bip2024 multi-ancestry (EUR+AFR+EAS+LAT)	slope_PC3	0p1	8596	7198	79137	0.0196306769855274	0.0110254971143612	0.0750352943177932	0.600282354542346
CT	BIP	BIP_pooled	multi	full	yes	zanc	PGC bip2024 multi-ancestry (EUR+AFR+EAS+LAT)	global_slope	0p05	8596	7198	51175	-0.0177780013151897	0.0104422791526356	0.088699613853005	0.70959691082404
CT	BIP	BIP_pooled	multi	full	yes	zanc	PGC bip2024 multi-ancestry (EUR+AFR+EAS+LAT)	slope_PC2	0p001	8596	7198	5025	0.0170177581676637	0.010950875242572	0.120220944510564	0.961767556084515
CT	BIP	BIP_pooled	multi	full	yes	zanc	PGC bip2024 multi-ancestry (EUR+AFR+EAS+LAT)	slope_PC1	1e-5	8596	7198	623	0.0146903053070531	0.0106844266155933	0.169192370748186	1.0
CT	ADHD	ADHD	EUR	full	no	raw	Demontis 2023 iPSYCH+deCODE+PGC	slope_PC3	1e-5	8596	7198	280	-0.0183487421049675	0.0108375705482595	0.0904806783785686	0.723845427028549
CT	ADHD	ADHD	EUR	full	no	raw	Demontis 2023 iPSYCH+deCODE+PGC	slope_PC1	0p01	8596	7198	15068	-0.0251190527737472	0.0151759675605636	0.0979255188857628	0.783404151086102
CT	ADHD	ADHD	EUR	full	no	raw	Demontis 2023 iPSYCH+deCODE+PGC	slope_PC2	0p01	8596	7198	15068	-0.021395681511874	0.0155641266215712	0.169268571488068	1.0
CT	ADHD	ADHD	EUR	full	no	raw	Demontis 2023 iPSYCH+deCODE+PGC	baseline_thickness	1	8596	7198	274972	-0.0207092467341912	0.0169027864764343	0.22053471067011	1.0
CT	ADHD	ADHD	EUR	full	no	raw	Demontis 2023 iPSYCH+deCODE+PGC	global_slope	0p001	8596	7198	3313	-0.01205019960882	0.0111277469498924	0.278886269148564	1.0
