method	trait_arm	score	disorder	threshold	phenotype	stratum	n	n_families	n_multi_families	n_pairs	beta_within	se_within	p_within	beta_between	se_between	p_between	beta_diff	se_diff	z_diff	p_diff
CT	BIP_eur	raw	BIPeur	0p001	baseline_thickness	EUR	4308	3601	691	726	-0.0330014493311564	0.0389410199454068	0.397001336042633	0.0291026589847564	0.0167604986088713	0.0825814336115495	0.0621041083159127	0.0424054453168441	1.46453144995612	0.143048796466974
CT	BIP_eur	raw	BIPeur	0p01	baseline_thickness	EUR	4308	3601	691	726	-0.017110783269739	0.0395733253780575	0.665588570690036	0.0405571188876941	0.0169040664750517	0.0164789343042357	0.0576679021574331	0.0430497249940662	1.33956493718326	0.180386829482465
CT	BIP_eur	raw	BIPeur	0p05	baseline_thickness	EUR	4308	3601	691	726	-0.0117747941641608	0.0416755127477419	0.777611509389879	0.037097455212163	0.017164569693157	0.0307394216506054	0.0488722493763237	0.045098849600708	1.08366953501086	0.278511347931596
CT	BIP_eur	raw	BIPeur	0p1	baseline_thickness	EUR	4308	3601	691	726	-0.0212466762553088	0.0419211909938259	0.612427750057585	0.026840887835146	0.0172131178936406	0.119006273814206	0.0480875640904548	0.0453406663506105	1.0605835326416	0.288879209518036
CT	BIP_eur	raw	BIPeur	0p5	baseline_thickness	EUR	4308	3601	691	726	-0.0094161217470735	0.0426225678303742	0.825216097425556	0.0219757826907199	0.0173707189047742	0.205915228673941	0.0313919044377934	0.0460525025027826	0.681654692617337	0.495457322716641
CT	BIP_eur	raw	BIPeur	1	baseline_thickness	EUR	4308	3601	691	726	-0.0087991429602527	0.0426846493168492	0.836735325703672	0.0192269079820254	0.0173735657092319	0.268507611696542	0.0280260509422781	0.0461083458032069	0.607830327765279	0.543300012550942
CT	BIP_eur	raw	BIPeur	1e-5	baseline_thickness	EUR	4308	3601	691	726	-0.0768839784920622	0.0391494813699832	0.0499164905161944	-0.0188605145959204	0.0167973700364142	0.261587042643359	0.0580234638961418	0.0425871475369104	1.36246419992916	0.173051434856661
CT	BIP_eur	raw	BIPeur	5e-8	baseline_thickness	EUR	4308	3601	691	726	-0.0485974698908576	0.0381237280790267	0.202799846394462	-0.0337701044077207	0.0167207913982831	0.0434938372242789	0.0148273654831368	0.0416240763312542	0.356220889206939	0.721675149336737
CT	BIP_eur	raw	BIPeur	0p001	baseline_thickness	full	8596	7198	1350	1449	-0.0632750791561494	0.0275611369028064	0.0218263585202947	0.0236571819163096	0.0116858521438652	0.0429628142459179	0.086932261072459	0.0299436482155452	2.90319537708596	0.0036937612065253
CT	BIP_eur	raw	BIPeur	0p01	baseline_thickness	full	8596	7198	1350	1449	-0.048572508111074	0.0284287024088102	0.0877404037891849	0.0205723389546789	0.0118713440716783	0.0831489318918329	0.0691448470657528	0.0308183654007839	2.24362474020099	0.0248565560750716
CT	BIP_eur	raw	BIPeur	0p05	baseline_thickness	full	8596	7198	1350	1449	-0.0113801699834525	0.0323992326344991	0.725452329870216	0.0154542666486071	0.0132790249616118	0.244539521682642	0.0268344366320596	0.0350134315698277	0.766404074920315	0.443435908923865
CT	BIP_eur	raw	BIPeur	0p1	baseline_thickness	full	8596	7198	1350	1449	-0.011030135006289	0.0333270182028933	0.740716551691435	0.0143994666432878	0.0135131162534702	0.286643898063088	0.0254296016495768	0.0359504394322982	0.707351622153764	0.479347992865123
CT	BIP_eur	raw	BIPeur	0p5	baseline_thickness	full	8596	7198	1350	1449	-0.0104121763826287	0.0344569401841727	0.762557853261837	0.0073773658090934	0.0139336499916771	0.596499947323024	0.0177895421917222	0.037146613715429	0.478900777551446	0.63200921778577
CT	BIP_eur	raw	BIPeur	1	baseline_thickness	full	8596	7198	1350	1449	-0.0116969578955703	0.0347041000951303	0.736128346616496	0.0055578454858331	0.0139958407602337	0.691300363260677	0.0172548033814034	0.0373970585802498	0.461394666759061	0.644515477153188
CT	BIP_eur	raw	BIPeur	1e-5	baseline_thickness	full	8596	7198	1350	1449	-0.0923840409508969	0.0278541655837085	0.0009330201384405	-0.0078018983660703	0.011763504389367	0.507205215267387	0.0845821425848266	0.0302302436110352	2.79793122652676	0.0051431062282007
CT	BIP_eur	raw	BIPeur	5e-8	baseline_thickness	full	8596	7198	1350	1449	-0.0567226876099092	0.0276692506574875	0.0405380878511682	-0.0111595999074592	0.0118729126509184	0.347289646411786	0.04556308770245	0.0300851422897041	1.51447140464557	0.129906321055703
CT	BIP_eur	raw	BIPeur	0p001	global_slope	EUR	4308	3601	691	726	-0.0340991686233017	0.0475769550617938	0.473758541002475	-0.0290732852337676	0.0152005099953295	0.0558746383719996	0.0050258833895341	0.0499537142010791	0.100610804820306	0.919859419226535
