method	trait_arm	disorder	threshold	phenotype	analysis	stratum	n	n_families	beta	se	p	chisq	df	n_thresholds	p_adj
CT	BIP_eur	BIPeur	1	baseline_thickness	within_stratum	EURanchor	4308	3601	0.0152291806316091	0.0160824645388893	0.343721184914207			8	1.0
CT	BIP_eur	BIPeur	1e-5	baseline_thickness	within_stratum	EURanchor	4308	3601	-0.0278601525245725	0.0154428924834441	0.071289557068066			8	0.570316456544528
CT	BIP_eur	BIPeur	5e-8	baseline_thickness	within_stratum	EURanchor	4308	3601	-0.0361643295702194	0.0153131545036964	0.0182381592520456			8	0.145905274016365
CT	BIP_eur	BIPeur	0p001	baseline_thickness	within_stratum	EURlike	5665	4676	0.0223496577227168	0.0134904279824479	0.0976347577292437			8	0.78107806183395
CT	BIP_eur	BIPeur	0p01	baseline_thickness	within_stratum	EURlike	5665	4676	0.0276249554360861	0.0136562626126836	0.0431327994518687			8	0.345062395614949
CT	BIP_eur	BIPeur	0p05	baseline_thickness	within_stratum	EURlike	5665	4676	0.0279508656575104	0.0141320489637346	0.0479960566194199			8	0.38396845295536
CT	BIP_eur	BIPeur	0p1	baseline_thickness	within_stratum	EURlike	5665	4676	0.0206701062330081	0.0142121549591781	0.145892317739942			8	1.0
CT	BIP_eur	BIPeur	0p5	baseline_thickness	within_stratum	EURlike	5665	4676	0.0157396871644569	0.014330510416652	0.272105767578535			8	1.0
CT	BIP_eur	BIPeur	1	baseline_thickness	within_stratum	EURlike	5665	4676	0.0138134417390318	0.0143362828972538	0.335323013693934			8	1.0
CT	BIP_eur	BIPeur	1e-5	baseline_thickness	within_stratum	EURlike	5665	4676	-0.0162528183902603	0.0135062968642755	0.228891002218923			8	1.0
CT	BIP_eur	BIPeur	5e-8	baseline_thickness	within_stratum	EURlike	5665	4676	-0.0174704784940381	0.0133936303284046	0.192154806816099			8	1.0
CT	BIP_eur	BIPeur	0p001	baseline_thickness	within_stratum	cluster1	1623	1397	-0.0243542047992067	0.0249672096520986	0.329484930816332			8	1.0
CT	BIP_eur	BIPeur	0p01	baseline_thickness	within_stratum	cluster1	1623	1397	-0.0186781747035651	0.0251216091011267	0.457281552714598			8	1.0
CT	BIP_eur	BIPeur	0p05	baseline_thickness	within_stratum	cluster1	1623	1397	-0.0119593576053177	0.0260348261618503	0.646037799816619			8	1.0
CT	BIP_eur	BIPeur	0p1	baseline_thickness	within_stratum	cluster1	1623	1397	-0.0017242818851247	0.0262608961120774	0.947656947722457			8	1.0
CT	BIP_eur	BIPeur	0p5	baseline_thickness	within_stratum	cluster1	1623	1397	-0.0149747086128817	0.026542793287645	0.57271553963239			8	1.0
CT	BIP_eur	BIPeur	1	baseline_thickness	within_stratum	cluster1	1623	1397	-0.0142196955220661	0.0266124226109026	0.593190228012082			8	1.0
CT	BIP_eur	BIPeur	1e-5	baseline_thickness	within_stratum	cluster1	1623	1397	-0.0633533059114815	0.025108936426258	0.0117272910860441			8	0.0938183286883528
CT	BIP_eur	BIPeur	5e-8	baseline_thickness	within_stratum	cluster1	1623	1397	-0.0219904318820697	0.0252316126835215	0.383589443224851			8	1.0
CT	BIP_eur	BIPeur	0p001	baseline_thickness	within_stratum	cluster2	928	824	0.0015945496166644	0.0336022997963677	0.962162196891827			8	1.0
CT	BIP_eur	BIPeur	0p01	baseline_thickness	within_stratum	cluster2	928	824	-0.0392221146700521	0.0339265956665779	0.247947971508864			8	1.0
CT	BIP_eur	BIPeur	0p05	baseline_thickness	within_stratum	cluster2	928	824	-0.0606262123703236	0.0340511122008954	0.0753354789603584			8	0.602683831682867
CT	BIP_eur	BIPeur	0p1	baseline_thickness	within_stratum	cluster2	928	824	-0.031539996406257	0.0342347620273555	0.357145362212087			8	1.0
CT	BIP_eur	BIPeur	0p5	baseline_thickness	within_stratum	cluster2	928	824	-0.0260231799578522	0.0349348933919386	0.456521567492039			8	1.0
CT	BIP_eur	BIPeur	1	baseline_thickness	within_stratum	cluster2	928	824	-0.0268543573705332	0.0349045353486833	0.441876229524272			8	1.0
CT	BIP_eur	BIPeur	1e-5	baseline_thickness	within_stratum	cluster2	928	824	0.0135926925428461	0.0333451966615223	0.683636745847033			8	1.0
CT	BIP_eur	BIPeur	5e-8	baseline_thickness	within_stratum	cluster2	928	824	-0.0175200117132357	0.034426238636008	0.610935087912654			8	1.0
CT	BIP_eur	BIPeur	0p001	baseline_thickness	within_stratum	cluster3	380	329	-0.0120564946005997	0.0530062399317757	0.82020004919058			8	1.0
CT	BIP_eur	BIPeur	0p01	baseline_thickness	within_stratum	cluster3	380	329	-0.0336302034011966	0.0554086870733619	0.54426200845041			8	1.0
CT	BIP_eur	BIPeur	0p05	baseline_thickness	within_stratum	cluster3	380	329	-0.026844903013805	0.0576234367708133	0.641587714022488			8	1.0
CT	BIP_eur	BIPeur	0p1	baseline_thickness	within_stratum	cluster3	380	329	-0.0452461960597957	0.0609377017325904	0.458266530822139			8	1.0
CT	BIP_eur	BIPeur	0p5	baseline_thickness	within_stratum	cluster3	380	329	-0.0695632881797418	0.0649895462381725	0.285164359040231			8	1.0
CT	BIP_eur	BIPeur	1	baseline_thickness	within_stratum	cluster3	380	329	-0.074312554977819	0.0652526935921203	0.255524853525154			8	1.0
CT	BIP_eur	BIPeur	1e-5	baseline_thickness	within_stratum	cluster3	380	329	-0.0058772972252305	0.052303264769996	0.910592068864817			8	1.0
CT	BIP_eur	BIPeur	5e-8	baseline_thickness	within_stratum	cluster3	380	329	-0.0023090521460843	0.0523547630092932	0.964846461769275			8	1.0
CT	BIP_eur	BIPeur	0p001	global_slope	heterogeneity_PRSxStratum	all	8596	7198			0.259342852206178	4.0197175034009	3.0	8	1.0
CT	BIP_eur	BIPeur	0p01	global_slope	heterogeneity_PRSxStratum	all	8596	7198			0.0537130847752335	7.65473744249903	3.0	8	0.429704678201868
CT	BIP_eur	BIPeur	0p05	global_slope	heterogeneity_PRSxStratum	all	8596	7198			0.118472281718955	5.86293976365778	3.0	8	0.947778253751644
CT	BIP_eur	BIPeur	0p1	global_slope	heterogeneity_PRSxStratum	all	8596	7198			0.2372857868416	4.23393951913386	3.0	8	1.0
CT	BIP_eur	BIPeur	0p5	global_slope	heterogeneity_PRSxStratum	all	8596	7198			0.570431771839487	2.0095266364151	3.0	8	1.0
CT	BIP_eur	BIPeur	1	global_slope	heterogeneity_PRSxStratum	all	8596	7198			0.579667468955686	1.96516862576027	3.0	8	1.0
CT	BIP_eur	BIPeur	1e-5	global_slope	heterogeneity_PRSxStratum	all	8596	7198			0.0156521510772247	10.3723706774035	3.0	8	0.125217208617797
CT	BIP_eur	BIPeur	5e-8	global_slope	heterogeneity_PRSxStratum	all	8596	7198			0.0054573065493758	12.6502772779168	3.0	8	0.043658452395007
CT	BIP_eur	BIPeur	0p001	global_slope	pooled_stratumFE	all	8596	7198	-0.014389653431177	0.010322703703081	0.163360858988329			8	1.0
CT	BIP_eur	BIPeur	0p01	global_slope	pooled_stratumFE	all	8596	7198	-0.0099179433689859	0.0104197841587689	0.341207250305679			8	1.0
CT	BIP_eur	BIPeur	0p05	global_slope	pooled_stratumFE	all	8596	7198	-0.0182542513248164	0.0107058671643867	0.0882194099957829			8	0.705755279966263
CT	BIP_eur	BIPeur	0p1	global_slope	pooled_stratumFE	all	8596	7198	-0.0180065858341693	0.0107742061529417	0.0947070615512409			8	0.757656492409927
CT	BIP_eur	BIPeur	0p5	global_slope	pooled_stratumFE	all	8596	7198	-0.0087971837551069	0.0108795781057205	0.41877112405835			8	1.0
CT	BIP_eur	BIPeur	1	global_slope	pooled_stratumFE	all	8596	7198	-0.0084034409749019	0.010886904502413	0.440204756918293			8	1.0
CT	BIP_eur	BIPeur	1e-5	global_slope	pooled_stratumFE	all	8596	7198	-0.0002012919173369	0.0103257709302187	0.984447394886685			8	1.0
CT	BIP_eur	BIPeur	5e-8	global_slope	pooled_stratumFE	all	8596	7198	0.0037790998528882	0.0103393510545094	0.714742743422834			8	1.0
CT	BIP_eur	BIPeur	0p001	global_slope	within_stratum	EURanchor	4308	3601	-0.029539431874283	0.0144763680952737	0.0413624773157852			8	0.330899818526282
CT	BIP_eur	BIPeur	0p01	global_slope	within_stratum	EURanchor	4308	3601	-0.0352508550662721	0.0146208739008357	0.015953185519588			8	0.127625484156704
CT	BIP_eur	BIPeur	0p05	global_slope	within_stratum	EURanchor	4308	3601	-0.0428431695674526	0.0148681625842809	0.0039784631567043			8	0.0318277052536344
CT	BIP_eur	BIPeur	0p1	global_slope	within_stratum	EURanchor	4308	3601	-0.039748588069957	0.0149314984281864	0.0077971765477447			8	0.062377412381958
CT	BIP_eur	BIPeur	0p5	global_slope	within_stratum	EURanchor	4308	3601	-0.0228020232099128	0.0150782887154279	0.130551040147068			8	1.0
CT	BIP_eur	BIPeur	1	global_slope	within_stratum	EURanchor	4308	3601	-0.0213726849527522	0.0150846859564804	0.156605399738413			8	1.0
CT	BIP_eur	BIPeur	1e-5	global_slope	within_stratum	EURanchor	4308	3601	-0.0098253479406664	0.0144977787091477	0.497992267310868			8	1.0
CT	BIP_eur	BIPeur	5e-8	global_slope	within_stratum	EURanchor	4308	3601	-0.0064878614157246	0.0144282374524108	0.652976614808645			8	1.0
CT	BIP_eur	BIPeur	0p001	global_slope	within_stratum	EURlike	5665	4676	-0.0271984952420062	0.0127516125762278	0.0329744810724003			8	0.263795848579202
CT	BIP_eur	BIPeur	0p01	global_slope	within_stratum	EURlike	5665	4676	-0.0292480059717391	0.0129042710324642	0.0234582343536567			8	0.187665874829253
CT	BIP_eur	BIPeur	0p05	global_slope	within_stratum	EURlike	5665	4676	-0.0385904339430555	0.013305835879467	0.003743882474825			8	0.0299510597986005
CT	BIP_eur	BIPeur	0p1	global_slope	within_stratum	EURlike	5665	4676	-0.0357417738590418	0.013379013667378	0.0075749106800511			8	0.0605992854404089
CT	BIP_eur	BIPeur	0p5	global_slope	within_stratum	EURlike	5665	4676	-0.0187393533576175	0.0134886130564247	0.164808772474643			8	1.0
CT	BIP_eur	BIPeur	1	global_slope	within_stratum	EURlike	5665	4676	-0.0177886131322008	0.0134951300923183	0.187510530489477			8	1.0
CT	BIP_eur	BIPeur	1e-5	global_slope	within_stratum	EURlike	5665	4676	-0.0092573507939147	0.0127421972540601	0.467557435821906			8	1.0
CT	BIP_eur	BIPeur	5e-8	global_slope	within_stratum	EURlike	5665	4676	-0.0082304643871605	0.012672716402604	0.516066690106654			8	1.0
CT	BIP_eur	BIPeur	0p001	global_slope	within_stratum	cluster1	1623	1397	0.0156904835224764	0.0238845404825727	0.511320587788844			8	1.0
CT	BIP_eur	BIPeur	0p01	global_slope	within_stratum	cluster1	1623	1397	0.0336147612633793	0.023943887858726	0.160546977232241			8	1.0
CT	BIP_eur	BIPeur	0p05	global_slope	within_stratum	cluster1	1623	1397	0.025544663338298	0.0248263780140911	0.303669639820522			8	1.0
CT	BIP_eur	BIPeur	0p1	global_slope	within_stratum	cluster1	1623	1397	0.0184110440962419	0.0250402952337207	0.462292756374969			8	1.0
CT	BIP_eur	BIPeur	0p5	global_slope	within_stratum	cluster1	1623	1397	0.0199215149984515	0.0253437735079097	0.431954865349964			8	1.0
CT	BIP_eur	BIPeur	1	global_slope	within_stratum	cluster1	1623	1397	0.0205251514658431	0.0254026330128682	0.419216081827556			8	1.0
CT	BIP_eur	BIPeur	1e-5	global_slope	within_stratum	cluster1	1623	1397	0.0249787400025867	0.0239614287092376	0.297361123060187			8	1.0
