trait	model	set	submodel	n_genes	beta	beta_std	se	p
baseline_thickness	cond_on_pool	SCZ_locus_pool	5	455	0.16051	0.025017	0.05833	0.002967
baseline_thickness	cond_on_pool	SCZ_prioritised	5	101	-0.027022	-0.0020039	0.10423	0.60228
baseline_thickness	cond_on_pool	SCZ_locus_pool	6	455	0.16051	0.025017	0.05833	0.002967
baseline_thickness	cond_on_pool	SCZ_prioritised_pc	6	101	-0.027022	-0.0020039	0.10423	0.60228
global_slope	cond_on_pool	SCZ_locus_pool	1	455	0.063257	0.0098592	0.092608	0.24729
global_slope	cond_on_pool	SCZ_pool_not_prio	1	354	0.086507	0.011926	0.10488	0.20474
global_slope	cond_on_pool	SCZ_locus_pool	2	455	0.15519	0.024188	0.057387	0.0034261
global_slope	cond_on_pool	SCZ_prio_finemap	2	61	-0.14502	-0.0083672	0.12784	0.87169
global_slope	cond_on_pool	SCZ_locus_pool	3	455	0.11595	0.018072	0.052066	0.012979
global_slope	cond_on_pool	SCZ_prio_rare	3	7	0.59665	0.011679	0.38914	0.06262
global_slope	cond_on_pool	SCZ_locus_pool	4	455	0.12343	0.019237	0.053464	0.010491
global_slope	cond_on_pool	SCZ_prio_smr	4	44	0.03337	0.0016359	0.14311	0.40782
global_slope	cond_on_pool	SCZ_locus_pool	5	455	0.14976	0.023342	0.058691	0.0053645
global_slope	cond_on_pool	SCZ_prioritised	5	101	-0.086507	-0.0064152	0.10488	0.79526
global_slope	cond_on_pool	SCZ_locus_pool	6	455	0.14976	0.023342	0.058691	0.0053645
global_slope	cond_on_pool	SCZ_prioritised_pc	6	101	-0.086507	-0.0064152	0.10488	0.79526
MDD	cond_on_pool	SCZ_locus_pool	1	460	1.0753	0.16511	0.13264	2.8017e-16
MDD	cond_on_pool	SCZ_pool_not_prio	1	356	-0.45473	-0.061596	0.14922	0.99884
MDD	cond_on_pool	SCZ_locus_pool	2	460	0.63991	0.098257	0.076738	4.0849e-17
MDD	cond_on_pool	SCZ_prio_finemap	2	64	0.50372	0.029156	0.17696	0.0022127
MDD	cond_on_pool	SCZ_locus_pool	3	460	0.70493	0.10824	0.070379	7.7322e-24
MDD	cond_on_pool	SCZ_prio_rare	3	7	1.3726	0.026313	0.51066	0.0036002
MDD	cond_on_pool	SCZ_locus_pool	4	460	0.71988	0.11054	0.071695	6.0304e-24
MDD	cond_on_pool	SCZ_prio_smr	4	44	0.15209	0.0073029	0.22186	0.24652
MDD	cond_on_pool	SCZ_locus_pool	5	460	0.62059	0.095291	0.078596	1.5432e-15
MDD	cond_on_pool	SCZ_prioritised	5	104	0.45473	0.033516	0.14922	0.0011561
MDD	cond_on_pool	SCZ_locus_pool	6	460	0.62059	0.095291	0.078596	1.5432e-15
MDD	cond_on_pool	SCZ_prioritised_pc	6	104	0.45473	0.033516	0.14922	0.0011561
SCZ	cond_on_pool	SCZ_locus_pool	1	457	2.8797	0.44762	0.12716	6.6372e-112
SCZ	cond_on_pool	SCZ_pool_not_prio	1	356	-0.61254	-0.08427	0.14238	0.99999
SCZ	cond_on_pool	SCZ_locus_pool	2	457	2.322	0.36093	0.07356	7.4965e-212
SCZ	cond_on_pool	SCZ_prio_finemap	2	61	0.53106	0.030489	0.1728	0.0010604
SCZ	cond_on_pool	SCZ_locus_pool	3	457	2.3867	0.37098	0.067689	1.2398e-261
SCZ	cond_on_pool	SCZ_prio_rare	3	7	1.5601	0.030385	0.50579	0.0010217
SCZ	cond_on_pool	SCZ_locus_pool	4	457	2.3754	0.36923	0.068965	3.0933e-250
SCZ	cond_on_pool	SCZ_prio_smr	4	44	0.51378	0.025063	0.20867	0.0069114
SCZ	cond_on_pool	SCZ_locus_pool	5	457	2.2672	0.35241	0.075325	2.1718e-193
SCZ	cond_on_pool	SCZ_prioritised	5	101	0.61254	0.045201	0.14238	8.5096e-06
SCZ	cond_on_pool	SCZ_locus_pool	6	457	2.2672	0.35241	0.075325	2.1718e-193
SCZ	cond_on_pool	SCZ_prioritised_pc	6	101	0.61254	0.045201	0.14238	8.5096e-06
slope_PC1	cond_on_pool	SCZ_locus_pool	1	455	-0.10158	-0.015832	0.09138	0.86683
slope_PC1	cond_on_pool	SCZ_pool_not_prio	1	354	0.11316	0.015601	0.10349	0.13709
slope_PC1	cond_on_pool	SCZ_locus_pool	2	455	-0.0068059	-0.0010608	0.056629	0.54783
slope_PC1	cond_on_pool	SCZ_prio_finemap	2	61	-0.059992	-0.0034612	0.12615	0.68281
slope_PC1	cond_on_pool	SCZ_locus_pool	3	455	-0.024751	-0.0038576	0.051379	0.685
slope_PC1	cond_on_pool	SCZ_prio_rare	3	7	0.34196	0.0066932	0.38401	0.18661
slope_PC1	cond_on_pool	SCZ_locus_pool	4	455	-0.0049233	-0.00076734	0.052754	0.53718
slope_PC1	cond_on_pool	SCZ_prio_smr	4	44	-0.13973	-0.0068502	0.14121	0.83879
slope_PC1	cond_on_pool	SCZ_locus_pool	5	455	0.011587	0.0018059	0.057913	0.42071
slope_PC1	cond_on_pool	SCZ_prioritised	5	101	-0.11316	-0.008392	0.10349	0.86291
slope_PC1	cond_on_pool	SCZ_locus_pool	6	455	0.011587	0.0018059	0.057913	0.42071
slope_PC1	cond_on_pool	SCZ_prioritised_pc	6	101	-0.11316	-0.008392	0.10349	0.86291
slope_PC2	cond_on_pool	SCZ_locus_pool	1	455	-0.013333	-0.002078	0.092878	0.55707
slope_PC2	cond_on_pool	SCZ_pool_not_prio	1	354	0.10713	0.01477	0.10518	0.15422
slope_PC2	cond_on_pool	SCZ_locus_pool	2	455	0.084118	0.013111	0.057557	0.071954
slope_PC2	cond_on_pool	SCZ_prio_finemap	2	61	-0.096121	-0.0055457	0.12821	0.77327
slope_PC2	cond_on_pool	SCZ_locus_pool	3	455	0.060035	0.0093569	0.052222	0.12516
slope_PC2	cond_on_pool	SCZ_prio_rare	3	7	0.2885	0.005647	0.39031	0.22991
slope_PC2	cond_on_pool	SCZ_locus_pool	4	455	0.070992	0.011065	0.05362	0.092768
slope_PC2	cond_on_pool	SCZ_prio_smr	4	44	-0.058917	-0.0028883	0.14353	0.65927
slope_PC2	cond_on_pool	SCZ_locus_pool	5	455	0.093802	0.01462	0.058863	0.055526
slope_PC2	cond_on_pool	SCZ_prioritised	5	101	-0.10713	-0.0079449	0.10518	0.84578
slope_PC2	cond_on_pool	SCZ_locus_pool	6	455	0.093802	0.01462	0.058863	0.055526
slope_PC2	cond_on_pool	SCZ_prioritised_pc	6	101	-0.10713	-0.0079449	0.10518	0.84578
slope_PC3	cond_on_pool	SCZ_locus_pool	1	455	-0.11978	-0.018669	0.091921	0.90372
slope_PC3	cond_on_pool	SCZ_pool_not_prio	1	354	0.12711	0.017523	0.1041	0.11105
slope_PC3	cond_on_pool	SCZ_locus_pool	2	455	0.0075927	0.0011834	0.056962	0.44698
slope_PC3	cond_on_pool	SCZ_prio_finemap	2	61	-0.17387	-0.010031	0.12689	0.91468
slope_PC3	cond_on_pool	SCZ_locus_pool	3	455	-0.031126	-0.0048513	0.051685	0.72648
slope_PC3	cond_on_pool	SCZ_prio_rare	3	7	0.25262	0.0049446	0.3863	0.25658
slope_PC3	cond_on_pool	SCZ_locus_pool	4	455	-0.018062	-0.0028151	0.053068	0.6332
slope_PC3	cond_on_pool	SCZ_prio_smr	4	44	-0.087049	-0.0042674	0.14205	0.72999
slope_PC3	cond_on_pool	SCZ_locus_pool	5	455	0.0073226	0.0011413	0.058256	0.44999
slope_PC3	cond_on_pool	SCZ_prioritised	5	101	-0.12711	-0.0094259	0.1041	0.88895
slope_PC3	cond_on_pool	SCZ_locus_pool	6	455	0.0073226	0.0011413	0.058256	0.44999
slope_PC3	cond_on_pool	SCZ_prioritised_pc	6	101	-0.12711	-0.0094259	0.1041	0.88895
