phenotype	n_snps	n_mean	lambda_gc	n_p5e8	n_p1e5	min_p	n_chr
baseline_thickness	7470569	4205	1.0212	0	162	3.78465946818179e-07	22
global_slope	7470569	4205	0.9935	0	49	1.69032378480989e-07	22
slope_PC1	7470569	4205	1.0106	0	62	2.83980343834079e-07	22
slope_PC2	7470569	4205	1.0165	0	117	4.96377171839428e-07	22
slope_PC3	7470569	4205	1.0099	3	87	1.2328171938208601e-09	22
