n_visits,n,mean,median,q25,q75
2,2205,0.173804287965613,0.0927765620016081,0.0603536207745192,0.335811383048335
3,3508,0.317910955583698,0.352807386996355,0.227338746382839,0.367313286104098
4,3003,0.380184925725665,0.378249144024094,0.367867926264593,0.389238370723657
