label,base,baseline_ct,slope_mm_per_yr
lh_1,1,2.57758,-0.01633
lh_10d,10d,2.94642,-0.03203
lh_10pp,10pp,2.92908,-0.03026
lh_10r,10r,2.58092,-0.03145
lh_10v,10v,2.96865,-0.03059
lh_11l,11l,2.95326,-0.03252
lh_13l,13l,2.9116,-0.02413
lh_2,2,2.35737,-0.02078
lh_23c,23c,2.69459,-0.02568
lh_23d,23d,3.28826,-0.03205
lh_24dd,24dd,2.98595,-0.01813
lh_24dv,24dv,2.8692,-0.02062
lh_25,25,3.1975,-0.02458
lh_31a,31a,2.93105,-0.02841
lh_31pd,31pd,2.57539,-0.02632
lh_31pv,31pv,2.69622,-0.02681
lh_33pr,33pr,2.42662,-0.01102
lh_3a,3a,2.08941,-0.01718
lh_3b,3b,1.75641,-0.01475
lh_4,4,2.7724,-0.00657
lh_43,43,3.02679,-0.01515
lh_44,44,2.92048,-0.0148
lh_45,45,2.8708,-0.0219
lh_46,46,2.73036,-0.02232
lh_47l,47l,3.01886,-0.0231
lh_47m,47m,2.8048,-0.02496
lh_47s,47s,3.24521,-0.02065
lh_52,52,2.62844,-0.01749
lh_55b,55b,2.96237,-0.00518
lh_5L,5L,2.59478,-0.02713
lh_5m,5m,2.58823,-0.02659
lh_5mv,5mv,2.52704,-0.02687
lh_6a,6a,2.69652,-0.00862
lh_6d,6d,3.01655,-0.00014
lh_6ma,6ma,3.07787,-0.01501
lh_6mp,6mp,2.8889,-0.01008
lh_6r,6r,2.84365,-0.01131
lh_6v,6v,3.25503,-0.0073
lh_7AL,7AL,2.53348,-0.02247
lh_7Am,7Am,2.68311,-0.0277
lh_7PC,7PC,2.65138,-0.01981
lh_7PL,7PL,2.72393,-0.02994
lh_7Pm,7Pm,2.74752,-0.02898
lh_7m,7m,2.8585,-0.027
lh_8Ad,8Ad,2.74958,-0.01515
lh_8Av,8Av,3.02204,-0.01974
lh_8BL,8BL,3.34973,-0.0254
lh_8BM,8BM,3.30938,-0.02413
lh_8C,8C,2.73607,-0.01674
lh_9-46d,9-46d,2.58742,-0.02267
lh_9a,9a,2.78637,-0.0232
lh_9m,9m,3.17931,-0.02893
lh_9p,9p,2.8718,-0.01938
lh_A1,A1,2.73832,-0.02064
lh_A4,A4,3.15176,-0.01632
lh_A5,A5,3.29647,-0.02039
lh_AAIC,AAIC,3.80718,-0.01578
lh_AIP,AIP,2.50477,-0.02225
lh_AVI,AVI,3.05557,-0.02031
lh_DVT,DVT,2.5143,-0.02499
lh_EC,EC,2.48757,-0.00942
lh_FEF,FEF,2.71873,-0.00357
lh_FFC,FFC,2.9555,-0.01835
lh_FOP1,FOP1,3.11088,-0.01698
lh_FOP2,FOP2,2.85858,-0.01932
lh_FOP3,FOP3,2.73089,-0.01405
lh_FOP4,FOP4,3.00418,-0.01557
lh_FOP5,FOP5,2.71108,-0.01737
lh_FST,FST,2.62462,-0.02029
lh_IFJa,IFJa,2.71431,-0.01638
lh_IFJp,IFJp,2.66679,-0.01211
lh_IFSa,IFSa,2.68749,-0.02311
lh_IFSp,IFSp,2.71195,-0.01973
lh_IP0,IP0,2.50402,-0.02237
lh_IP1,IP1,2.57036,-0.02342
lh_IP2,IP2,2.56345,-0.02253
lh_IPS1,IPS1,2.43189,-0.0246
lh_Ig,Ig,2.95945,-0.02236
lh_LBelt,LBelt,2.64842,-0.01361
lh_LIPd,LIPd,2.44031,-0.0218
lh_LIPv,LIPv,2.39137,-0.01826
lh_LO1,LO1,2.37109,-0.01703
lh_LO2,LO2,2.79609,-0.01983
lh_LO3,LO3,2.59186,-0.02074
lh_MBelt,MBelt,2.80764,-0.01675
lh_MI,MI,3.36059,-0.02439
lh_MIP,MIP,2.42718,-0.02131
