var,x,density
thickness_mm,2.44197911045461,5.41410210459599e-05
thickness_mm,2.44457338688008,0.000117142550023196
thickness_mm,2.44716766330556,0.000235822340075728
thickness_mm,2.44976193973104,0.000441280888356228
thickness_mm,2.45235621615651,0.000770536525476487
thickness_mm,2.45495049258199,0.00126123568738618
thickness_mm,2.45754476900746,0.00195138749908103
thickness_mm,2.46013904543294,0.00282944861250669
thickness_mm,2.46273332185842,0.0038605044678871
thickness_mm,2.46532759828389,0.00497560482786697
thickness_mm,2.46792187470937,0.00607703492722946
thickness_mm,2.47051615113484,0.00704597186366979
thickness_mm,2.47311042756032,0.007796497663509
thickness_mm,2.4757047039858,0.00828395345853881
thickness_mm,2.47829898041127,0.00852231932199075
thickness_mm,2.48089325683675,0.00859428607944737
thickness_mm,2.48348753326222,0.00867354095490716
thickness_mm,2.4860818096877,0.00897251361522835
thickness_mm,2.48867608611317,0.00969801441671541
thickness_mm,2.49127036253865,0.0110061042879533
thickness_mm,2.49386463896413,0.0129717085977985
thickness_mm,2.4964589153896,0.0154611332832908
thickness_mm,2.49905319181508,0.0181970830832634
thickness_mm,2.50164746824055,0.0208387612610092
thickness_mm,2.50424174466603,0.0230544567588136
thickness_mm,2.50683602109151,0.02458183589801
thickness_mm,2.50943029751698,0.0254453897361001
thickness_mm,2.51202457394246,0.0258685573337057
thickness_mm,2.51461885036793,0.0262072520830689
thickness_mm,2.51721312679341,0.0268553337545063
thickness_mm,2.51980740321889,0.0281747934355433
thickness_mm,2.52240167964436,0.0302415207466125
thickness_mm,2.52499595606984,0.0329563599372419
thickness_mm,2.52759023249531,0.0360776071396167
thickness_mm,2.53018450892079,0.0393028292026424
thickness_mm,2.53277878534626,0.0423530665769742
thickness_mm,2.53537306177174,0.045122787304908
thickness_mm,2.53796733819722,0.0476880139275968
thickness_mm,2.54056161462269,0.0503012374051941
thickness_mm,2.54315589104817,0.0533887630791115
thickness_mm,2.54575016747364,0.057491050288714
thickness_mm,2.54834444389912,0.0630236676884436
thickness_mm,2.5509387203246,0.0702440659412088
thickness_mm,2.55353299675007,0.079136721664361
thickness_mm,2.55612727317555,0.0893910871705968
thickness_mm,2.55872154960102,0.100286605100632
thickness_mm,2.5613158260265,0.111052349430974
thickness_mm,2.56391010245198,0.121095263426159
thickness_mm,2.56650437887745,0.130164070376688
thickness_mm,2.56909865530293,0.138485823102206
thickness_mm,2.5716929317284,0.146921789468865
thickness_mm,2.57428720815388,0.156592087559631
thickness_mm,2.57688148457935,0.168683851412186
thickness_mm,2.57947576100483,0.184237129654924
thickness_mm,2.58207003743031,0.204270392372056
thickness_mm,2.58466431385578,0.228810422784558
thickness_mm,2.58725859028126,0.257831539994124
thickness_mm,2.58985286670673,0.291183270717341
thickness_mm,2.59244714313221,0.328778844907604
thickness_mm,2.59504141955769,0.370711479129202
thickness_mm,2.59763569598316,0.416692896248499
thickness_mm,2.60022997240864,0.466501126365839
thickness_mm,2.60282424883411,0.519655426996141
thickness_mm,2.60541852525959,0.575449554049451
thickness_mm,2.60801280168507,0.632928439782001
thickness_mm,2.61060707811054,0.69123791077856
thickness_mm,2.61320135453602,0.749988273103153
thickness_mm,2.61579563096149,0.809266296287581
thickness_mm,2.61838990738697,0.869741890598893
thickness_mm,2.62098418381245,0.93257326094981
thickness_mm,2.62357846023792,0.999124699606822
thickness_mm,2.6261727366634,1.07095765230308
thickness_mm,2.62876701308887,1.1496545353061
thickness_mm,2.63136128951435,1.23710045003148
thickness_mm,2.63395556593982,1.33394874139051
thickness_mm,2.6365498423653,1.44017297038137
thickness_mm,2.63914411879078,1.55506849445062
thickness_mm,2.64173839521625,1.67723578687401
thickness_mm,2.64433267164173,1.80506629704688
thickness_mm,2.6469269480672,1.93632680929745
thickness_mm,2.64952122449268,2.06968195369149
thickness_mm,2.65211550091816,2.20436257439645
thickness_mm,2.65470977734363,2.34007567104033
thickness_mm,2.65730405376911,2.47674616363608
thickness_mm,2.65989833019458,2.61403080679669
thickness_mm,2.66249260662006,2.75128836059494
thickness_mm,2.66508688304554,2.88759197261687
thickness_mm,2.66768115947101,3.02191598983888
thickness_mm,2.67027543589649,3.15356505688385
thickness_mm,2.67286971232196,3.28273906522659
thickness_mm,2.67546398874744,3.41018057991921
thickness_mm,2.67805826517291,3.53699361179701
thickness_mm,2.68065254159839,3.66427257371968
thickness_mm,2.68324681802387,3.79257539215689
thickness_mm,2.68584109444934,3.92168584182142
thickness_mm,2.68843537087482,4.05105107436096
thickness_mm,2.69102964730029,4.18029567120052
thickness_mm,2.69362392372577,4.30986082686458
thickness_mm,2.69621820015125,4.44130607672477
thickness_mm,2.69881247657672,4.57655171927095
thickness_mm,2.7014067530022,4.71687907855201
