outcome	model	fit	brain	beta	se	p	n	n_cases	est	lo	hi	source
external	change	alone	baseline_thickness	-0.0031399	0.0079711	0.69365	8185		-0.0036013	-0.02152	0.014318	7.0 p/mh_p_cbcl.tsv + y/mh_{p,y}_ksads; single-LMM HCP phenotypes
depress	change	alone	baseline_thickness	0.0041021	0.00696	0.5556	8181		0.0058082	-0.013507	0.025124	7.0 p/mh_p_cbcl.tsv + y/mh_{p,y}_ksads; single-LMM HCP phenotypes
thought	change	alone	baseline_thickness	0.0073046	0.0059259	0.2177	8183		0.012125	-0.0071542	0.031403	7.0 p/mh_p_cbcl.tsv + y/mh_{p,y}_ksads; single-LMM HCP phenotypes
mdd_youth_DX	ksads_logit	alone	baseline_thickness	-0.073309	0.032626	0.024644	8716	1111	0.92931	0.87175	0.99068	7.0 p/mh_p_cbcl.tsv + y/mh_{p,y}_ksads; single-LMM HCP phenotypes
mdd_parent_DX	ksads_logit	alone	baseline_thickness	0.0042436	0.037308	0.90944	8716	791	1.0043	0.93344	1.0804	7.0 p/mh_p_cbcl.tsv + y/mh_{p,y}_ksads; single-LMM HCP phenotypes
psychosis_parent_DX	ksads_logit	alone	baseline_thickness	-0.11578	0.0505	0.021867	8716	398	0.89067	0.80674	0.98334	7.0 p/mh_p_cbcl.tsv + y/mh_{p,y}_ksads; single-LMM HCP phenotypes
pfactor	change	joint	global_slope	-0.047461	0.022134	0.032009	8162		-0.02141	-0.040979	-0.0018402	7.0 p/mh_p_cbcl.tsv + y/mh_{p,y}_ksads; single-LMM HCP phenotypes
pfactor	change	joint	baseline_thickness	0.034796	0.01971	0.077505	8162		0.015696	-0.0017307	0.033123	7.0 p/mh_p_cbcl.tsv + y/mh_{p,y}_ksads; single-LMM HCP phenotypes
internal	change	joint	global_slope	-0.016541	0.0091336	0.070143	8189		-0.01849	-0.038501	0.0015214	7.0 p/mh_p_cbcl.tsv + y/mh_{p,y}_ksads; single-LMM HCP phenotypes
internal	change	joint	baseline_thickness	0.015847	0.0084148	0.059666	8189		0.017714	-0.00072186	0.036151	7.0 p/mh_p_cbcl.tsv + y/mh_{p,y}_ksads; single-LMM HCP phenotypes
external	change	joint	global_slope	-0.019244	0.0087162	0.027251	8185		-0.022072	-0.041666	-0.0024782	7.0 p/mh_p_cbcl.tsv + y/mh_{p,y}_ksads; single-LMM HCP phenotypes
