ct_bin,dct_bin,N
2.625,-20.6,10
2.635,-20.2,13
2.645,-21.8,10
2.645,-21,11
2.645,-20.2,13
2.645,-19.4,14
2.645,-18.6,14
2.655,-21.4,10
2.655,-21,17
2.655,-20.6,16
2.655,-20.2,21
2.655,-19.8,18
2.655,-19.4,15
2.655,-18.6,12
2.665,-22.6,10
2.665,-22.2,13
2.665,-21.8,17
2.665,-21,24
2.665,-20.6,20
2.665,-20.2,16
2.665,-19.8,18
2.665,-19.4,12
2.665,-19,17
2.665,-18.6,13
2.665,-18.2,15
2.675,-22.6,11
2.675,-21.8,21
2.675,-21.4,20
2.675,-21,20
2.675,-20.6,12
2.675,-20.2,28
2.675,-19.8,24
2.675,-19.4,21
2.675,-19,18
2.675,-18.6,11
2.675,-18.2,12
2.675,-17.8,11
2.685,-22.6,13
2.685,-22.2,11
2.685,-21.8,28
2.685,-21.4,19
2.685,-21,20
2.685,-20.6,26
2.685,-20.2,21
2.685,-19.8,26
2.685,-19.4,28
2.685,-19,26
2.685,-18.6,19
2.685,-18.2,14
2.685,-17.8,11
2.685,-17.4,13
2.695,-23,14
2.695,-22.6,12
2.695,-22.2,14
2.695,-21.8,18
2.695,-21.4,24
2.695,-21,23
2.695,-20.6,26
2.695,-20.2,34
2.695,-19.8,35
2.695,-19.4,30
2.695,-19,27
2.695,-18.6,17
2.695,-18.2,24
2.695,-17.8,18
2.695,-17.4,15
2.705,-23.4,11
2.705,-22.6,13
2.705,-22.2,11
2.705,-21.8,21
2.705,-21.4,28
2.705,-21,23
2.705,-20.6,33
2.705,-20.2,37
2.705,-19.8,30
2.705,-19.4,34
2.705,-19,37
2.705,-18.6,26
2.705,-18.2,23
2.705,-17.4,12
2.715,-23.8,10
2.715,-23.4,12
2.715,-23,16
2.715,-22.6,17
2.715,-22.2,28
2.715,-21.8,22
2.715,-21.4,36
2.715,-21,25
2.715,-20.6,46
2.715,-20.2,43
2.715,-19.8,37
2.715,-19.4,39
2.715,-19,32
2.715,-18.6,28
2.715,-18.2,20
2.715,-17.8,26
2.715,-17.4,14
2.715,-16.2,12
2.725,-23,17
2.725,-22.6,14
2.725,-22.2,31
2.725,-21.8,22
2.725,-21.4,27
2.725,-21,27
2.725,-20.6,39
2.725,-20.2,32
2.725,-19.8,46
2.725,-19.4,34
2.725,-19,35
2.725,-18.6,28
2.725,-18.2,27
2.725,-17.8,18
2.725,-17.4,15
2.725,-16.6,11
2.735,-23,10
2.735,-22.6,19
2.735,-22.2,17
2.735,-21.8,20
2.735,-21.4,26
2.735,-21,40
2.735,-20.6,31
2.735,-20.2,43
2.735,-19.8,46
2.735,-19.4,48
2.735,-19,34
2.735,-18.6,29
2.735,-18.2,23
2.735,-17.4,17
2.735,-17,10
2.735,-16.6,14
2.745,-23,19
2.745,-22.6,17
2.745,-22.2,17
2.745,-21.8,32
2.745,-21.4,31
2.745,-21,33
2.745,-20.6,42
2.745,-20.2,36
2.745,-19.8,46
2.745,-19.4,39
2.745,-19,37
2.745,-18.6,24
2.745,-18.2,29
2.745,-17.8,16
2.745,-17.4,19
2.755,-23.4,10
2.755,-23,14
2.755,-22.6,15
2.755,-22.2,21
2.755,-21.8,30
2.755,-21.4,33
2.755,-21,30
2.755,-20.6,66
2.755,-20.2,38
2.755,-19.8,43
2.755,-19.4,50
2.755,-19,32
2.755,-18.6,35
2.755,-18.2,26
2.755,-17.8,21
2.755,-17.4,14
2.755,-16.6,11
2.765,-23,15
2.765,-22.2,23
2.765,-21.8,28
2.765,-21.4,24
2.765,-21,22
2.765,-20.6,45
2.765,-20.2,37
2.765,-19.8,45
2.765,-19.4,41
2.765,-19,26
2.765,-18.6,32
2.765,-18.2,16
2.765,-17.8,27
2.765,-17.4,20
2.765,-17,14
2.775,-23.4,10
2.775,-23,14
2.775,-22.6,23
2.775,-22.2,21
2.775,-21.8,15
2.775,-21.4,24
2.775,-21,30
2.775,-20.6,23
2.775,-20.2,45
2.775,-19.8,30
2.775,-19.4,39
2.775,-19,29
2.775,-18.6,31
2.775,-18.2,21
2.775,-17.8,19
2.775,-17.4,14
2.775,-17,15
2.775,-16.6,10
2.785,-23,14
2.785,-22.6,12
2.785,-22.2,17
2.785,-21.8,22
2.785,-21.4,33
2.785,-21,27
2.785,-20.6,29
2.785,-20.2,31
2.785,-19.8,50
2.785,-19.4,30
2.785,-19,27
2.785,-18.6,32
2.785,-18.2,23
2.785,-17.8,15
2.785,-17.4,12
2.785,-17,13
2.785,-16.6,12
2.795,-21.8,21
2.795,-21.4,18
2.795,-21,30
2.795,-20.6,30
2.795,-20.2,31
2.795,-19.8,40
2.795,-19.4,48
2.795,-19,21
2.795,-18.6,17
2.795,-18.2,32
2.795,-17.8,17
2.795,-17.4,15
2.795,-17,10
2.795,-16.6,13
2.795,-16.2,10
2.805,-22.6,14
2.805,-22.2,11
2.805,-21.8,13
2.805,-21.4,14
2.805,-21,21
2.805,-20.6,17
2.805,-20.2,23
2.805,-19.8,25
2.805,-19.4,32
2.805,-19,28
2.805,-18.6,25
2.805,-18.2,22
2.805,-17.8,25
2.805,-17.4,15
2.815,-22.2,13
2.815,-21.8,18
2.815,-21.4,11
2.815,-21,11
2.815,-20.6,28
2.815,-20.2,24
