kind	disorder_result	phenotype	construction	variable	n_genes	beta	se	p
forward	SCZ25_METAnaive	baseline_thickness	1lmm	SCZ25_METAnaive	17882	0.0025998	0.0060627	0.66806
gene-set	MDD sets	baseline_thickness	1lmm	MDD_hc_expression	56	-0.005903	0.11498	0.52047
gene-set	MDD sets	baseline_thickness	1lmm	MDD_hc_finemap	159	0.033792	0.073809	0.32354
gene-set	MDD sets	baseline_thickness	1lmm	MDD_hc_protein	10	-0.11176	0.23586	0.68219
gene-set	MDD sets	baseline_thickness	1lmm	MDD_highconf	212	0.026547	0.062794	0.33624
gene-set	MDD sets	baseline_thickness	1lmm	MDD_pool	1849	0.024252	0.026222	0.17753
gene-set	MDD sets	baseline_thickness	1lmm	MDD_pool_not_hc	1637	0.021256	0.027292	0.21805
gene-set	SCZ sets	baseline_thickness	1lmm	PGC3_genesig	700	0.054063	0.048771	0.13383
gene-set	SCZ sets	baseline_thickness	1lmm	PGC3_locus_pool	852	0.05584	0.046238	0.11359
gene-set	SCZ sets	baseline_thickness	1lmm	SCZ25_genesig	775	0.029272	0.043189	0.24897
gene-set	SCZ sets	baseline_thickness	1lmm	SCZ25_genesig_new	214	-0.011942	0.06281	0.5754
gene-set	SCZ sets	baseline_thickness	1lmm	SCZ25_locus_pool	1103	0.019902	0.039929	0.3091
gene-set	SCZ sets	baseline_thickness	1lmm	SCZ25_locus_pool_new	302	-0.036036	0.058774	0.7301
gene-set	SCZ sets	baseline_thickness	1lmm	SCZ_locus_pool	451	0.051075	0.050771	0.15722
gene-set	SCZ sets	baseline_thickness	1lmm	SCZ_pool_not_prio	351	0.023082	0.055836	0.33967
gene-set	SCZ sets	baseline_thickness	1lmm	SCZ_prio_finemap	61	0.14521	0.11199	0.097399
gene-set	SCZ sets	baseline_thickness	1lmm	SCZ_prio_rare	7	0.0042593	0.34603	0.49509
gene-set	SCZ sets	baseline_thickness	1lmm	SCZ_prio_smr	43	-0.010052	0.12707	0.53153
gene-set	SCZ sets	baseline_thickness	1lmm	SCZ_prioritised	100	0.091928	0.086067	0.14275
gene-set	SCZ sets	baseline_thickness	1lmm	SCZ_prioritised_pc	100	0.091928	0.086067	0.14275
forward	ALZ	baseline_thickness	perregion	ALZ	17772	-0.0023808	0.0074284	0.7486
forward	ALZ_noAPOE	baseline_thickness	perregion	ALZ_noAPOE	17689	-0.0015288	0.0075197	0.8389
forward	ASD	baseline_thickness	perregion	ASD	17727	-0.0017077	0.0075364	0.82075
