phenotype	n_snps	n_mean	lambda_gc	n_p5e8	n_p1e5	min_p
baseline_thickness	8777886	4119	1.0323	0	216	4.38613e-07
global_slope	8777886	4119	1.0059	0	155	8.11909e-07
slope_PC3	8777886	4119	0.9996	0	87	1.04274e-07
slope_PC2	8777886	4119	1.0233	0	82	2.48614e-07
slope_PC1	8777886	4119	1.0125	0	75	2.4182e-07
