label,hemi,region,fe_age_51,fe_age_t_51,sd_slope_51,fe_age_70_mv3,fe_age_t_70_mv3,sd_slope_70_mv3,pc1_loading,slope_noglobal,slope_split,slope_single,old_delta_peryr,C1,C2,C3,pc1_loading_z,tau_slope,reliability,lobe,slope_total_70
lh_bankssts,lh,bankssts,-0.0087708163431144,-22.970705014687717,0.0047361476387194,-0.0066769602238806,-22.05572530733765,0.0043546660150529,0.0143649920801651,-0.0221509985629063,-0.0067416849943639,-0.0050638455962381,-0.0238639884743799,0.1407100543643779,0.0729593873663376,1.4139222032754866,-0.0148835013865094,0.0043546660150529,0.601503091794746,temporal,-0.02068555823398139
lh_caudalanteriorcingulate,lh,caudalanteriorcingulate,-0.0111207223772122,-19.426164827213864,0.0079024701156652,-0.0115650077862095,-24.955218094751476,0.0058016292325028,-0.0389223220884275,-0.0178127994212754,-0.0089179446780641,-0.0059435857422953,-0.018077245009152,-1.0925575346527152,0.7396108813806815,-1.4091191565614147,-0.086219490554655,0.0058016292325028,0.5539912529345111,cingulate,-0.017616046124018948
lh_caudalmiddlefrontal,lh,caudalmiddlefrontal,0.0118433768787491,30.414760747662733,0.0054290554157558,0.0094709974023091,31.77247000075313,0.0016728181532719,0.0003566259101831,-0.0105524022663685,0.0103374963820433,0.0075522392896008,-0.0126480321527062,0.1535693545379682,2.0818747600893004,0.105364827799875,-0.0796830621190482,0.0016728181532719,0.5208763515230536,frontal,-0.010549650568087904
lh_cuneus,lh,cuneus,-0.0089468687375218,-25.54393684521201,0.0037384880087776,-0.0046519385102682,-16.44591195211371,0.0033769227842615,0.0183767200567898,-0.0222317819255279,-0.0071673663748047,-0.0061115570643717,-0.0220695311620636,1.849644313260182,-1.6649477095495966,-1.3272300812986135,0.2126043778056348,0.0033769227842615,0.5681051796853893,occipital,-0.01717509434714345
lh_entorhinal,lh,entorhinal,0.0225342746436939,20.16233143211148,0.0035938696175657,0.0193079035417168,21.386521777769264,0.0092546421414406,0.0181798921607782,0.0001343562634803,0.0168115521039131,0.013638654419673,0.000111120601845,-1.473222854022817,-0.6772028466662705,-1.9568618091493803,-0.0059051725814742,0.0092546421414406,0.5264853354236807,temporal,0.0011825656155523973
lh_fusiform,lh,fusiform,-0.0020745675098763,-6.972220381361485,0.0013577504918012,-0.0010941365141279,-4.440489091080071,0.0030403947241479,0.0009866145785602,-0.0176428986545643,-0.0031843092306938,-0.0025570155142793,-0.0179961760285657,-0.4682820766031505,-0.9420887750281154,0.8385364123958069,-0.0337450316393337,0.0030403947241479,0.5398087627826157,temporal,-0.015271379852516802
lh_inferiorparietal,lh,inferiorparietal,-0.004773989762075,-15.309983765863992,0.004862790122559,-0.0058885537112057,-24.551823111468774,0.0039216350332711,0.0228394887813017,-0.0257926044914191,-0.0064860035001262,-0.0071976127402034,-0.0270443168212835,0.6519887660378392,-0.1152676054907078,1.2698196346446733,0.0921145092508173,0.0039216350332711,0.5653533020055834,parietal,-0.023983890489067135
lh_inferiortemporal,lh,inferiortemporal,0.0020136985844631,5.510051957978775,0.0061786566870196,0.0006177031888469,2.1369864489381616,0.004199284538131,0.0014322772574338,-0.0174381204509437,0.0011893803260028,0.0008063021887339,-0.0188099132096213,-0.5964594331865798,-0.6203072232830259,1.0736087794378268,-0.0670299811628193,0.004199284538131,0.5488538132764197,temporal,-0.016424054441431073
lh_isthmuscingulate,lh,isthmuscingulate,-0.0131174677869818,-33.57133131348601,0.0044549615899934,-0.0117713124625534,-36.212467323521565,0.0042742678746127,-0.0081771016069423,-0.0192698587100291,-0.0110561392697691,-0.0093997395297777,-0.0205506989491323,0.4343652797110854,-0.2539995149891346,0.1403243234280502,-0.0349002107895854,0.0042742678746127,0.5449193815321174,cingulate,-0.019530983102333276
lh_lateraloccipital,lh,lateraloccipital,0.0006951192960708,2.5579035083710355,0.0024466242720155,0.0030624399320345,13.835777235489829,0.0032215450014973,0.0332481944998259,-0.0163227069561249,0.0027340563439771,0.0043724291737706,-0.0170486539273999,1.6243021477430482,-1.4783131049786016,-0.671700969412944,0.2237051484600911,0.0032215450014973,0.5569537886536371,occipital,-0.013290510665128631
lh_lateralorbitofrontal,lh,lateralorbitofrontal,-0.0079759282833204,-18.008060374574963,0.0041924853167563,-0.0060963021782263,-16.662232544991415,0.0058001918379167,-0.0514624961006663,-0.0215521124727406,-0.0065106284015473,-0.006087696585579,-0.0229509110846273,-0.888875945568834,0.4741893436930512,0.9282185232538284,-0.1129699591384544,0.0058001918379167,0.5519913219129688,frontal,-0.02072113091976608
lh_lingual,lh,lingual,-0.0082870247982251,-26.437277744280937,0.0008548770392346,-0.0040876635168958,-15.94203977611479,0.0030507604562533,0.0211897781015647,-0.0205574593781095,-0.0068232619119536,-0.0062725068636131,,1.6980505008057802,-1.661921752093279,-1.0710853433336256,0.1924444929375293,0.0030507604562533,0.5559983699228224,occipital,-0.016216830601963255
lh_medialorbitofrontal,lh,medialorbitofrontal,-0.0105718032159268,-19.22213062043012,0.0070154278311359,-0.0091148126066711,-19.87773566531488,0.0061457797962529,-0.0989104487077192,-0.0213362900161977,-0.0117104419380847,-0.0122681829063658,-0.0214386014078104,-1.1503049692369554,-0.0219474790792828,0.5298201791501582,-0.1088448529737838,0.0061457797962529,0.5536709521709335,frontal,-0.019605405159426742
lh_middletemporal,lh,middletemporal,0.0044447772995458,10.385870361856696,0.0022348230840372,0.0024598513272006,7.507028935024373,0.0031130803500991,0.0061000957094196,-0.0169780201865853,0.0041836751673657,0.0047925585831767,,-0.5565177700657783,-0.3037337526835471,0.8730265777072516,-0.0533670166633042,0.0031130803500991,0.5922559005874192,temporal,-0.0160137077454763
lh_parahippocampal,lh,parahippocampal,-0.0058249954459949,-10.052510514312344,0.0092707088867743,-0.0028870289681012,-6.256265816495836,0.0071829487679264,0.0009670859651751,-0.0161930002158523,-0.0048265799821144,-0.0019289960693093,-0.0161098596873273,-1.0452363705394614,-1.08944791265163,-1.0688182024673225,-0.056161164050783,0.0071829487679264,0.5503821306287167,temporal,-0.012926172995034388
lh_paracentral,lh,paracentral,-0.0028346838575899,-7.70565613777609,0.0061006070792344,-0.0017717448514411,-5.7632264979688275,0.0056595842468791,0.0364131537761072,-0.0235249496680483,-0.0026956988783203,-0.0034183001382883,-0.0258843958278051,0.7128757257247061,1.145034763805803,-0.9477211825403208,0.1086664043093925,0.0056595842468791,0.5718407253554362,frontal,-0.02189759778602835
lh_parsopercularis,lh,parsopercularis,0.0022551990683476,6.229723604534899,0.0026676360927427,0.0016703828337631,5.7961842733673015,0.0039752926108815,-0.0096849480949949,-0.0125713641656657,0.0031118346811122,0.0035287198164508,-0.0141570916331682,-0.3944387242373662,1.1707044699117857,0.7733697976444989,-0.1105150545964217,0.0039752926108815,0.5419984706515794,frontal,-0.012630750240670346
lh_parsorbitalis,lh,parsorbitalis,-0.009738041892512,-18.58559042957358,0.0042680079160233,-0.0085975538422996,-20.286565829627698,0.0061071858202307,-0.074552298906721,-0.0255273071112247,-0.0083728033613045,-0.0071542457546127,-0.0269806328668729,-0.2574468603972208,0.8695018938019848,1.2826595371620746,-0.1190805873646032,0.0061071858202307,0.5526912283537546,frontal,-0.0245155425311418
lh_parstriangularis,lh,parstriangularis,-0.0038830507034759,-9.543137803909454,0.0053742617314976,-0.0030302695612637,-9.432348192477312,0.0045827796228563,-0.0354859041085818,-0.0199866862340102,-0.0039624793785001,-0.0032387499643265,-0.0210988704397387,-0.1245744248222201,1.3190226983413351,1.1982285218608604,-0.1196358306200281,0.0045827796228563,0.5555375305743855,frontal,-0.018709703583908444
lh_pericalcarine,lh,pericalcarine,-0.0021986355474154,-4.940474810396394,0.004446047640378,0.0009188773769999,2.497150784997928,0.0049382693055397,0.0273130404468921,-0.0135323110522141,0.0018940220155535,0.0030079400205698,-0.0141575231353118,1.9047860753527448,-1.9423582657731144,-1.7297885232059391,0.2143390800399801,0.0049382693055397,0.538722822292719,occipital,-0.010369646139658333
lh_postcentral,lh,postcentral,-0.0013134726419713,-3.767135807188563,0.0048767107136269,0.0001394247064636,0.4740727551534635,0.0043690179290529,0.0486413752854097,-0.0191687654861054,-0.0003312674628512,0.0005047731078095,-0.0199824619562843,1.1224347540943138,0.2873447907683655,-0.7956149188362478,0.1354387612022794,0.0043690179290529,0.580472577093531,parietal,-0.01596708249179669
lh_posteriorcingulate,lh,posteriorcingulate,-0.0118545940590862,-33.768797580477184,0.0026082933524888,-0.0116205342547602,-40.91354884852561,0.0029775060864822,-0.0075356544573895,-0.019036279422198,-0.0097308455339497,-0.0082301775018675,-0.020749903808427,-0.2296728024402309,0.5257735107281039,-0.0102666031760695,-0.0666569607871883,0.0029775060864822,0.561602358027896,cingulate,-0.019635419595423836
lh_precentral,lh,precentral,0.0184134323909381,49.56342781067585,0.0050875287749287,0.0170627246364178,53.15291388642377,0.0042337132519768,0.0069379778773809,-0.0037353026153287,0.017833178462131,0.0162692333722224,-0.0060133416878208,0.7940244461881448,1.7356240006433723,-1.376269003920261,0.0593002406606635,0.0042337132519768,0.5380711932789306,frontal,-0.0030452954289189108
