trait	model	set	submodel	n_genes	beta	beta_std	se	p
slope_topC3	cond_on_pool	SCZ_locus_pool	2	455	0.088134	0.013734	0.056265	0.058636
slope_topC3	cond_on_pool	SCZ_prio_finemap	2	61	0.019304	0.0011136	0.12836	0.44023
slope_topC3	cond_on_pool	SCZ_locus_pool	3	455	0.082461	0.01285	0.051257	0.053845
slope_topC3	cond_on_pool	SCZ_prio_rare	3	7	0.52202	0.010216	0.38514	0.087652
slope_topC3	cond_on_pool	SCZ_locus_pool	4	455	0.11274	0.017569	0.052526	0.01593
slope_topC3	cond_on_pool	SCZ_prio_smr	4	44	-0.22408	-0.010984	0.14297	0.94147
slope_topC3	cond_on_pool	SCZ_locus_pool	5	455	0.11472	0.017877	0.057422	0.022875
slope_topC3	cond_on_pool	SCZ_prioritised	5	101	-0.089359	-0.0066256	0.10426	0.80428
slope_topC3	cond_on_pool	SCZ_locus_pool	6	455	0.11472	0.017877	0.057422	0.022875
slope_topC3	cond_on_pool	SCZ_prioritised_pc	6	101	-0.089359	-0.0066256	0.10426	0.80428
slope_topDelta	cond_on_pool	SCZ_locus_pool	1	455	0.004924	0.00076733	0.092716	0.47882
slope_topDelta	cond_on_pool	SCZ_pool_not_prio	1	354	0.16195	0.022324	0.10433	0.060315
slope_topDelta	cond_on_pool	SCZ_locus_pool	2	455	0.15594	0.024301	0.056303	0.0028088
slope_topDelta	cond_on_pool	SCZ_prio_finemap	2	61	-0.16268	-0.0093844	0.12845	0.89732
slope_topDelta	cond_on_pool	SCZ_locus_pool	3	455	0.12597	0.01963	0.051298	0.0070393
slope_topDelta	cond_on_pool	SCZ_prio_rare	3	7	-0.038276	-0.00074907	0.38545	0.53955
slope_topDelta	cond_on_pool	SCZ_locus_pool	4	455	0.14026	0.021857	0.052567	0.0038165
slope_topDelta	cond_on_pool	SCZ_prio_smr	4	44	-0.16009	-0.0078467	0.14308	0.86838
slope_topDelta	cond_on_pool	SCZ_locus_pool	5	455	0.16687	0.026005	0.057461	0.0018442
slope_topDelta	cond_on_pool	SCZ_prioritised	5	101	-0.16195	-0.012008	0.10433	0.93968
slope_topDelta	cond_on_pool	SCZ_locus_pool	6	455	0.16687	0.026005	0.057461	0.0018442
slope_topDelta	cond_on_pool	SCZ_prioritised_pc	6	101	-0.16195	-0.012008	0.10433	0.93968
